"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
13,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.6858,1083.04492,-1510.97949,NA,NA,NA,NA,NA,NA,-600.76813,823.7735,-1418.81995,NA,NA,NA,-385.58856,995.56836,-1360.46436,NA,NA,NA,-126.7987,412.15201,-1472.82373,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.9829,1083.49805,-1509.30664,NA,NA,NA,NA,NA,NA,-605.89972,824.57617,-1425.8739,NA,NA,NA,-386.57947,994.68585,-1361.15369,NA,NA,NA,-128.13605,411.38593,-1472.5946,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.82625,1082.26343,-1505.56201,NA,NA,NA,NA,NA,NA,-610.14838,824.71643,-1431.95288,NA,NA,NA,-387.20255,993.80164,-1364.46277,NA,NA,NA,-129.11859,410.73273,-1473.0741,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.57294,1081.38733,-1505.54407,NA,NA,NA,NA,NA,NA,-616.66595,822.25208,-1444.97974,NA,NA,NA,-388.11646,992.99512,-1364.73218,NA,NA,NA,-129.29643,410.72348,-1473.38489,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.60041,1081.47144,-1501.68823,NA,NA,NA,NA,NA,NA,-620.12927,823.24799,-1457.01721,NA,NA,NA,-389.22974,992.92053,-1364.12122,NA,NA,NA,-128.91638,411.05145,-1474.26794,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.68539,1080.53625,-1499.97607,NA,NA,NA,NA,NA,NA,-624.03259,826.51379,-1450.89587,NA,NA,NA,-390.54089,991.89252,-1362.82556,NA,NA,NA,-129.73732,411.27365,-1475.53528,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.63384,1080.49316,-1497.65527,NA,NA,NA,NA,NA,NA,-627.54474,827.48419,-1458.64282,NA,NA,NA,-392.11176,993.40277,-1359.25,NA,NA,NA,-130.10716,411.31924,-1475.85254,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.41032,1078.36072,-1498.44958,NA,NA,NA,NA,NA,NA,-632.22913,828.67462,-1466.19629,NA,NA,NA,-392.78522,993.08588,-1357.9801,NA,NA,NA,-130.60303,411.3338,-1476.49524,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.5079,1077.49426,-1497.02222,NA,NA,NA,NA,NA,NA,-635.5415,828.80377,-1472.74927,NA,NA,NA,-393.06934,992.73242,-1359.48999,NA,NA,NA,-131.32388,410.92102,-1476.52429,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.66854,1077.09558,-1498.03955,NA,NA,NA,NA,NA,NA,-640.00604,828.40887,-1477.24438,NA,NA,NA,-394.92871,992.77777,-1357.63586,NA,NA,NA,-131.85286,410.73392,-1477.44421,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.67915,1076.25061,-1496.07397,NA,NA,NA,NA,NA,NA,-643.19476,830.15295,-1485.69849,NA,NA,NA,-397.34348,992.43591,-1359.28638,NA,NA,NA,-132.42737,410.42172,-1478.43323,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.95093,1075.79834,-1494.45605,NA,NA,NA,NA,NA,NA,-646.51556,830.63123,-1491.91602,NA,NA,NA,-398.96863,991.98108,-1360.84644,NA,NA,NA,-133.67854,410.09839,-1478.02881,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.19722,1075.33801,-1494.58447,NA,NA,NA,NA,NA,NA,-650.0354,830.28644,-1496.15259,NA,NA,NA,-399.72839,992.42206,-1361.328,NA,NA,NA,-135.3174,409.95447,-1478.62695,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.38604,1074.10376,-1491.35999,NA,NA,NA,NA,NA,NA,-653.29681,830.44452,-1500.66492,NA,NA,NA,-400.75345,990.97479,-1361.3324,NA,NA,NA,-135.61221,409.66095,-1479.61584,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.51608,1073.25195,-1492.04028,NA,NA,NA,NA,NA,NA,-656.43091,831.13879,-1505.96265,NA,NA,NA,-402.6571,991.27032,-1357.5885,NA,NA,NA,-136.26971,408.74106,-1480.16809,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.26032,1072.71118,-1488.04993,NA,NA,NA,NA,NA,NA,-659.44135,831.49084,-1509.63599,NA,NA,NA,-405.32559,991.97754,-1355.03113,NA,NA,NA,-136.83437,408.46017,-1481.71008,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.20724,1072.49866,-1487.50952,NA,NA,NA,NA,NA,NA,-661.80371,831.88129,-1513.47083,NA,NA,NA,-406.9787,990.15857,-1359.15894,NA,NA,NA,-136.28255,408.63647,-1483.23206,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91.97935,1072.48572,-1485.0365,NA,NA,NA,NA,NA,NA,-664.48047,832.20361,-1516.57422,NA,NA,NA,-409.30997,989.48218,-1356.84277,NA,NA,NA,-136.81419,407.97272,-1485.6438,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.61148,1072.44275,-1484.8031,NA,NA,NA,NA,NA,NA,-666.64685,832.17242,-1518.67188,NA,NA,NA,-411.94562,990.29132,-1354.13647,NA,NA,NA,-137.08934,407.90021,-1485.92786,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.08797,1072.19543,-1483.21448,NA,NA,NA,NA,NA,NA,-668.61798,833.06348,-1521.82568,NA,NA,NA,-412.85419,989.05829,-1358.86499,NA,NA,NA,-138.24289,407.27637,-1486.55334,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.47165,1071.95654,-1481.11279,NA,NA,NA,NA,NA,NA,-670.17871,832.69281,-1522.69592,NA,NA,NA,-417.52032,990.3952,-1353.85596,NA,NA,NA,-139.16905,406.9776,-1488.89075,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.52854,1071.7688,-1481.31458,NA,NA,NA,NA,NA,NA,-671.85559,832.83209,-1524.11755,NA,NA,NA,-418.9234,989.71838,-1357.61365,NA,NA,NA,-140.17343,406.21841,-1489.55042,NA,NA,NA,NA,NA,NA,NA,NA,NA
