"Mode","Composition","d_2_vs_0","d_1_vs_0","d_2_vs_1"
"AR","2R0V",-0.713428988192458,-0.260673189784727,-0.374816195099617
"AR","1R1V",3.62787620138,-0.529897203517021,1.51589795517428
"AR","0R2V",-1.64718782446966,-1.03152036052375,-0.582444473180763
"VR","2R0V",2.06512138773672,1.39690880363479,-0.0621021001256982
