"Mode","Composition","d_2_vs_0","d_1_vs_0","d_2_vs_1"
"AR","2R0V",-0.394634108736978,-0.138607364824481,-0.242530592882807
"AR","1R1V",-0.289124000495451,-0.552782407902254,0.3273170378816
"AR","0R2V",-0.493537435370766,-0.741149887759096,0.284596939474162
"VR","2R0V",-0.911632773410914,-0.234950762817652,-1.02788869900213
