"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.92724,1203.26794,-1610.22986,100.46752,918.97876,-1657.91663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.39992,702.4223,-1544.151,NA,NA,NA,-57.98137,829.66095,-1528.27649,NA,NA,NA,NA,NA,NA,6.60003,399.70761,-1536.36011,NA,NA,NA,89.96563,57.33141,-1681.25049,-461.30212,688.48206,-1632.68152
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.82816,1203.74463,-1610.54272,100.89024,916.36865,-1647.15833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.44404,702.2207,-1541.81262,NA,NA,NA,-60.40591,827.70923,-1528.86218,NA,NA,NA,NA,NA,NA,5.01373,398.73074,-1538.4325,NA,NA,NA,88.13487,60.19566,-1678.72974,-463.23645,688.42285,-1632.8197
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.53289,1203.92578,-1610.26794,92.87978,915.54602,-1655.32837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.7476,701.73633,-1538.51721,NA,NA,NA,-62.81869,826.98212,-1526.4281,NA,NA,NA,NA,NA,NA,0.75385,401.33472,-1531.18311,NA,NA,NA,87.88572,61.58025,-1675.66882,-466.63535,686.23743,-1640.26575
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.53251,1203.82556,-1609.3833,91.64866,915.06689,-1654.82922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.61277,701.48834,-1532.85205,NA,NA,NA,-66.34792,826.30408,-1524.96289,NA,NA,NA,NA,NA,NA,-4.17112,402.78171,-1522.34351,NA,NA,NA,87.63784,67.43839,-1674.93079,-469.19449,686.48859,-1638.71021
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1777,1204.04712,-1609.1366,89.64236,914.9743,-1652.13477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.6369,701.89508,-1531.79529,NA,NA,NA,-69.50138,823.78345,-1528.81213,NA,NA,NA,NA,NA,NA,-6.30726,403.28357,-1515.78772,NA,NA,NA,86.74184,69.59525,-1670.64368,-471.63168,686.39368,-1636.51428
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.86039,1203.83936,-1607.82764,87.53251,914.81708,-1649.90393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.50334,702.06354,-1528.24756,NA,NA,NA,-72.33283,824.9953,-1521.98022,NA,NA,NA,NA,NA,NA,-9.56795,405.6929,-1504.12268,NA,NA,NA,84.26703,72.93423,-1665.97424,-475.44739,684.88934,-1643.65063
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.02117,1202.65344,-1604.49622,86.4213,914.32446,-1649.10583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.58945,702.16986,-1525.47168,NA,NA,NA,-73.88431,824.17987,-1520.98718,NA,NA,NA,NA,NA,NA,-12.28937,408.36258,-1493.73877,NA,NA,NA,84.07966,78.20029,-1663.00806,-478.56949,683.67743,-1640.01868
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.37328,1202.66211,-1603.75403,84.85622,913.44958,-1646.50378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.53915,702.36212,-1521.34583,NA,NA,NA,-78.49311,824.74426,-1518.76599,NA,NA,NA,NA,NA,NA,-16.65088,410.60132,-1482.64832,NA,NA,NA,81.10044,82.73742,-1657.61621,-480.1163,682.05817,-1640.47021
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.02884,1201.70789,-1600.84399,81.25271,913.17322,-1640.77979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.63226,702.09961,-1517.56775,NA,NA,NA,-80.90704,822.85358,-1522.01208,NA,NA,NA,NA,NA,NA,-20.99404,413.54694,-1472.0415,NA,NA,NA,79.35535,86.81738,-1651.28918,-484.97443,680.32501,-1645.62537
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2501,1201.29712,-1598.99402,79.64728,913.4231,-1640.61633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.66512,702.63245,-1514.59607,NA,NA,NA,-83.88028,821.81915,-1516.9491,NA,NA,NA,NA,NA,NA,-25.48022,415.94446,-1461.48645,NA,NA,NA,75.68583,91.15304,-1645.15857,-487.30194,682.12805,-1643.08667
11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46801,1201.76526,-1598.7644,77.49889,913.4079,-1638.1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.32468,702.93646,-1511.26379,NA,NA,NA,-85.18221,821.03302,-1515.64722,NA,NA,NA,NA,NA,NA,-30.65867,418.85056,-1453.22375,NA,NA,NA,72.92783,97.24689,-1640.60327,-489.47083,681.72729,-1641.94458
12,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18964,1201.62402,-1596.99805,75.3481,913.35602,-1635.80908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3428,703.44733,-1509.97119,NA,NA,NA,-88.36182,820.75153,-1516.69666,NA,NA,NA,NA,NA,NA,-36.33498,421.09836,-1445.33643,NA,NA,NA,67.78442,100.17617,-1633.67957,-492.80215,679.01532,-1651.25256
13,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07246,1201.92566,-1596.28516,74.99914,913.50861,-1636.44385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.7928,703.81299,-1504.29089,NA,NA,NA,-92.27,821.44904,-1514.55762,NA,NA,NA,NA,NA,NA,-43.85876,422.77768,-1437.85962,NA,NA,NA,62.56726,103.08434,-1626.78894,-495.33841,678.75177,-1649.52124
14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72896,1202.55115,-1595.97961,73.47236,913.77417,-1636.01733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.90369,702.99182,-1500.41858,NA,NA,NA,-93.18988,820.83026,-1515.04993,NA,NA,NA,NA,NA,NA,-49.8175,424.64673,-1434.47021,NA,NA,NA,57.61015,106.43751,-1619.86487,-497.63956,679.12122,-1649.0415
15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.70898,1202.27869,-1593.17273,69.95607,914.3446,-1632.1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.91559,704.26422,-1500.05579,NA,NA,NA,-95.76856,822.54034,-1506.71765,NA,NA,NA,NA,NA,NA,-55.30043,427.24701,-1427.7616,NA,NA,NA,51.90389,108.58268,-1612.20557,-501.9895,676.86438,-1652.48315
16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.87409,1201.5658,-1589.55261,68.38205,913.49286,-1629.54504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.07245,704.1239,-1495.93665,NA,NA,NA,-95.93872,822.08905,-1507.84741,NA,NA,NA,NA,NA,NA,-62.81799,429.73199,-1419.10291,NA,NA,NA,46.33727,109.52139,-1603.61902,-503.64127,675.69653,-1654.78381
17,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.66948,1202.60449,-1589.20715,67.08374,913.5144,-1628.20984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.95937,704.62061,-1493.21814,NA,NA,NA,-97.64436,822.24097,-1504.47485,NA,NA,NA,NA,NA,NA,-69.22127,433.22137,-1411.03687,NA,NA,NA,40.69975,112.11665,-1596.0144,-506.07852,676.71307,-1649.53845
18,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.80471,1202.00793,-1585.06934,63.14737,913.33124,-1623.23352,NA,NA,NA,NA,NA,NA,NA,NA,NA,-238.45729,1128.7666,-1512.75378,71.57224,705.15857,-1489.6709,NA,NA,NA,-99.5856,821.90436,-1502.68726,NA,NA,NA,NA,NA,NA,-75.25701,434.26465,-1407.1438,NA,NA,NA,33.82438,111.60829,-1584.17627,-509.37894,675.53552,-1654.77625
19,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.71492,1201.88928,-1581.5835,62.70405,915.20624,-1625.00903,NA,NA,NA,NA,NA,NA,NA,NA,NA,-239.78102,1128.23877,-1510.9729,70.85693,705.90967,-1488.57849,NA,NA,NA,-102.57901,822.59698,-1497.20032,NA,NA,NA,NA,NA,NA,-81.08924,436.18674,-1403.15894,NA,NA,NA,27.21133,112.8693,-1575.33801,-511.689,673.01141,-1658.91992
20,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.44582,1202.76172,-1580.11877,61.023,914.44775,-1622.51587,NA,NA,NA,NA,NA,NA,NA,NA,NA,-243.1196,1129.42114,-1505.08337,67.74846,706.72205,-1484.70081,NA,NA,NA,-103.63165,821.51672,-1498.55432,NA,NA,NA,NA,NA,NA,-87.91136,439.00327,-1397.27649,-340.54654,370.05118,-1634.17163,20.10433,111.82132,-1564.02478,-513.20087,673.69543,-1654.60339
21,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.36753,1203.42212,-1577.82874,57.49122,915.32013,-1617.99377,NA,NA,NA,NA,NA,NA,NA,NA,NA,-244.1019,1127.95349,-1510.8147,65.91762,707.58459,-1483.76758,NA,NA,NA,-105.10515,821.08014,-1499.20435,NA,NA,NA,NA,NA,NA,-93.86609,440.54889,-1394.19397,-341.24164,369.75378,-1633.06006,13.08885,110.66904,-1553.28259,-515.43951,676.3717,-1650.68286
22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.05077,1203.76282,-1574.89893,55.88625,915.80725,-1617.27405,NA,NA,NA,NA,NA,NA,NA,NA,NA,-247.62442,1128.71667,-1505.9928,64.52136,708.11743,-1482.21912,NA,NA,NA,-108.43629,822.40656,-1492.10303,NA,NA,NA,NA,NA,NA,-101.19874,443.22171,-1386.37,-341.52374,369.29221,-1631.92578,4.05268,108.99629,-1541.01453,-517.7616,674.48779,-1655.93127
23,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.10975,1204.48682,-1572.47815,54.46424,916.47504,-1616.03992,NA,NA,NA,NA,NA,NA,NA,NA,NA,-248.9093,1127.86267,-1503.95483,62.43674,708.46411,-1478.80896,NA,NA,NA,-109.71328,822.4118,-1490.73462,NA,NA,NA,NA,NA,NA,-107.91224,445.71411,-1381.89844,-342.18237,368.84622,-1629.19617,-4.38856,106.578,-1528.72253,-520.52606,673.58118,-1657.7041
24,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.65105,1205.40125,-1570.2063,51.13161,916.90967,-1611.30042,NA,NA,NA,NA,NA,NA,NA,NA,NA,-251.07408,1126.78638,-1499.2179,60.63453,708.43707,-1476.65173,NA,NA,NA,-110.84474,822.14453,-1488.38757,NA,NA,NA,NA,NA,NA,-114.51079,447.89026,-1376.41577,-342.21149,368.47437,-1629.28552,-13.38424,104.23392,-1517.53955,-520.91327,673.08051,-1659.57751
25,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.85021,1205.62244,-1566.7937,50.62727,917.33777,-1611.7804,NA,NA,NA,NA,NA,NA,NA,NA,NA,-254.12988,1127.77588,-1489.48035,60.02472,709.04236,-1475.37622,NA,NA,NA,-113.37145,823.4765,-1480.41943,NA,NA,NA,NA,NA,NA,-120.7774,449.60413,-1371.74487,-342.27222,367.78598,-1627.87939,-23.06922,100.33743,-1503.49902,-521.99445,673.61371,-1657.85779
26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.14635,1204.5946,-1560.55603,48.12371,917.93878,-1609.14819,NA,NA,NA,NA,NA,NA,NA,NA,NA,-254.67896,1126.71301,-1492.61011,57.81626,709.02625,-1471.45874,NA,NA,NA,-115.75469,824.36896,-1476.46631,NA,NA,NA,NA,NA,NA,-126.45612,449.83701,-1369.73523,-342.9537,368.60477,-1624.78394,-33.3009,97.0697,-1490.10388,-524.31873,675.83411,-1650.60803
27,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.28073,1204.13379,-1555.18396,45.90292,918.24426,-1606.20203,NA,NA,NA,NA,NA,NA,NA,NA,NA,-258.27405,1127.4668,-1488.32166,57.05445,709.34216,-1470.495,NA,NA,NA,-119.42184,824.04126,-1475.5929,NA,NA,NA,NA,NA,NA,-133.00491,451.39453,-1365.44653,-343.36606,368.27423,-1622.74072,-43.41891,92.08177,-1476.14355,-525.73431,675.62537,-1650.44141
28,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.9228,1204.21155,-1551.29358,44.61138,918.87915,-1604.21448,NA,NA,NA,NA,NA,NA,NA,NA,NA,-261.28329,1125.70203,-1486.35669,54.50831,708.43585,-1465.24402,NA,NA,NA,-120.7972,822.63385,-1479.06909,NA,NA,NA,NA,NA,NA,-138.98679,453.34436,-1358.11719,-342.77127,365.90732,-1624.57605,-54.01593,88.31658,-1460.56323,-527.26105,673.50513,-1653.47388
29,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.6144,1205.07471,-1549.21472,40.87921,918.9353,-1598.07019,NA,NA,NA,NA,NA,NA,NA,NA,NA,-262.84592,1124.48865,-1485.95569,54.03553,708.62555,-1464.22656,NA,NA,NA,-124.85841,825.55243,-1468.07092,NA,NA,NA,NA,NA,NA,-144.62318,451.87152,-1360.16187,-343.91351,366.53165,-1619.75989,-65.10755,83.8389,-1444.71875,-528.21124,671.70239,-1657.91479
30,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.88339,1205.32385,-1545.68591,39.4829,918.43396,-1594.41968,NA,NA,NA,NA,NA,NA,NA,NA,NA,-265.75363,1125.16736,-1477.64478,53.78706,708.82904,-1462.89246,NA,NA,NA,-126.53368,824.75104,-1466.36279,NA,NA,NA,NA,NA,NA,-149.94354,454.46933,-1353.40393,-343.91486,366.13892,-1619.67969,-75.69007,80.36314,-1429.552,-531.29944,670.46716,-1651.26343
31,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.80622,1203.63623,-1537.9657,38.61415,918.32849,-1592.11621,NA,NA,NA,NA,NA,NA,NA,NA,NA,-268.21234,1124.2384,-1470.79395,51.46717,707.80121,-1457.52502,NA,NA,NA,-129.9005,824.41522,-1457.54431,NA,NA,NA,NA,NA,NA,-154.90289,452.2576,-1353.45129,-344.76312,366.0307,-1616.13269,-85.81456,77.06376,-1413.45996,-532.5141,671.03625,-1649.73767
32,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.77514,1203.29993,-1533.38086,36.73373,918.42493,-1588.68164,NA,NA,NA,NA,NA,NA,NA,NA,NA,-270.65143,1124.24402,-1464.99365,51.29751,707.90466,-1456.11328,NA,NA,NA,-131.41243,822.46832,-1458.87683,NA,NA,NA,NA,NA,NA,-160.74243,453.64139,-1349.9679,-345.09949,364.51489,-1615.51172,-97.54958,73.25858,-1396.91272,-533.26886,670.16779,-1649.11194
33,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.56132,1203.34778,-1529.67493,34.97191,918.62134,-1584.66418,NA,NA,NA,NA,NA,NA,NA,NA,NA,-272.4241,1122.83423,-1466.75403,49.85697,706.8764,-1451.13464,NA,NA,NA,-135.7653,823.01208,-1455.15063,NA,NA,NA,NA,NA,NA,-165.67107,451.58441,-1349.83167,-345.67188,364.16333,-1613.6825,-109.46154,70.62026,-1378.60669,-533.81036,669.62769,-1647.47717
34,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.77861,1203.47974,-1525.92102,33.90543,917.66156,-1581.01294,NA,NA,NA,NA,NA,NA,NA,NA,NA,-276.23056,1122.25916,-1461.72607,49.12785,706.99274,-1448.87964,NA,NA,NA,-138.90829,822.65363,-1449.03516,NA,NA,NA,NA,NA,NA,-170.30257,452.25256,-1346.72852,-346.28406,363.73639,-1612.07202,-120.62398,70.96686,-1364.3551,-535.62891,668.94159,-1640.58435
35,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.40525,1201.77356,-1518.48621,31.01003,916.91669,-1573.53833,NA,NA,NA,NA,NA,NA,NA,NA,NA,-279.13214,1119.55908,-1459.07434,49.26833,706.01617,-1445.67468,NA,NA,NA,-141.61908,823.15295,-1442.04065,NA,NA,NA,NA,NA,NA,-176.43172,449.83789,-1344.90198,-347.25964,363.44226,-1608.75842,-132.28961,70.72265,-1350.37805,-537.34784,669.11005,-1635.52612
36,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.0832,1201.6322,-1514.20874,31.05802,919.92578,-1565.77539,NA,NA,NA,NA,NA,NA,NA,NA,NA,-281.96524,1120.82361,-1450.61768,48.21329,705.42279,-1440.82214,NA,NA,NA,-143.14445,821.00275,-1440.82666,NA,NA,NA,NA,NA,NA,-182.69501,450.36069,-1338.42627,-348.19333,363.04813,-1606.10913,-141.2738,76.37929,-1339.4906,-538.50659,667.38208,-1632.51855
37,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.15849,1200.6864,-1508.2384,28.52833,916.86938,-1567.16699,NA,NA,NA,NA,NA,NA,NA,NA,NA,-283.79657,1119.70605,-1445.04993,47.65932,704.31226,-1437.67493,NA,NA,NA,-146.81818,821.19397,-1428.56934,-390.29697,799.83295,-1476.48596,NA,NA,NA,-186.97968,446.612,-1342.04443,-348.85873,361.49716,-1604.3252,-149.41985,81.77093,-1328.33044,-538.64172,664.92944,-1634.76929
38,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.57722,1199.36108,-1501.453,25.0391,915.5755,-1558.03406,NA,NA,NA,NA,NA,NA,NA,NA,NA,-286.75284,1119.21863,-1436.57141,46.47676,703.56934,-1433.2865,NA,NA,NA,-148.58617,819.72272,-1429.06787,-404.28131,788.75293,-1527.28601,-170.12314,877.84521,-1736.81677,-191.5412,446.64261,-1337.39929,-350.59991,362.8407,-1598.10754,-156.75272,87.98127,-1319.51294,-541.80469,666.23444,-1623.54138
39,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.51731,1200.23425,-1499.28748,23.64304,915.487,-1554.62622,NA,NA,NA,NA,NA,NA,NA,NA,NA,-289.41943,1117.30847,-1431.0033,46.61516,702.9325,-1430.36304,NA,NA,NA,-152.83995,817.63306,-1423.26099,-406.09113,786.79547,-1523.82214,-171.23836,877.22784,-1731.39819,-196.0569,445.50598,-1335.82458,-351.61026,361.76318,-1598.68994,-163.9221,92.27287,-1309.13354,-543.48975,664.02307,-1620.98462
40,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.22953,1197.99182,-1490.05298,22.98238,914.39459,-1550.02563,NA,NA,NA,NA,NA,NA,NA,NA,NA,-292.36554,1115.92822,-1427.14844,45.46167,701.30249,-1424.77991,NA,NA,NA,-155.35211,814.57794,-1425.52026,-408.51852,786.7749,-1517.92896,-172.21811,876.76019,-1726.02405,-202.36319,443.17392,-1330.63818,-353.11786,359.80225,-1597.96741,-171.52069,95.81924,-1298.56213,-544.28589,661.55908,-1624.42676
41,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.36953,1197.72156,-1485.15369,19.69618,913.83014,-1542.58643,NA,NA,NA,NA,NA,NA,NA,NA,NA,-295.4791,1114.40527,-1424.24414,44.59805,700.79163,-1420.82666,NA,NA,NA,-159.1434,814.50867,-1414.18201,-410.56039,785.23621,-1516.1814,-173.53227,876.51794,-1721.13452,-205.80888,440.77576,-1329.65527,-354.51874,358.8551,-1597.13904,-182.49434,97.73171,-1288.86121,-547.39337,662.60956,-1612.94629
42,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.51908,1196.17651,-1477.55493,18.2423,913.88354,-1539.0564,NA,NA,NA,NA,NA,NA,NA,NA,NA,-298.35663,1112.90173,-1420.96875,43.83698,699.74402,-1416.10974,NA,NA,NA,-160.54872,812.20148,-1412.21143,-412.70187,784.0285,-1511.7085,-174.67888,875.96759,-1715.59644,-210.90306,439.19556,-1326.60828,-357.07211,359.38525,-1591.17432,-192.8636,100.63087,-1275.04199,-548.83923,661.33557,-1609.42407
43,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.32199,1195.20178,-1471.12317,17.03605,912.34937,-1532.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300.76999,1111.8717,-1414.65222,43.78325,698.63562,-1412.96277,NA,NA,NA,-164.20692,811.83209,-1400.10364,-415.03333,784.1568,-1505.82983,-175.88486,875.34955,-1709.86658,-215.10973,437.6532,-1322.04089,-358.7478,357.1297,-1592.70715,-200.85544,102.73372,-1264.49805,-550.21997,659.41168,-1609.6145
44,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,-435.7789,1340.54089,-1391.42261,-70.03341,1194.41309,-1465.32898,13.3925,911.45142,-1523.77588,NA,NA,NA,NA,NA,NA,NA,NA,NA,-303.08817,1111.10645,-1406.91833,42.22153,696.77545,-1406.7782,NA,NA,NA,-166.90793,811.80737,-1394.7356,-417.97589,782.65717,-1501.59619,-177.20848,874.50769,-1703.50269,-220.04362,435.46515,-1316.41479,-360.71042,356.36722,-1589.76135,-209.01689,106.50089,-1252.6095,-553.19897,658.5661,-1599.24939
45,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,-437.5415,1340.53528,-1387.03479,-73.2379,1192.67358,-1457.22217,12.49232,910.38281,-1520.01843,NA,NA,NA,NA,NA,NA,NA,NA,NA,-305.46957,1109.95007,-1400.46753,40.27168,696.08551,-1401.82446,-523.4906,928.11969,-1639.22583,-170.31352,808.61279,-1387.47656,-420.24622,782.45251,-1494.04834,-178.76167,873.85022,-1697.58691,-224.85542,434.66415,-1309.99597,-363.39691,355.83444,-1583.41504,-217.10011,110.21101,-1241.4353,-554.12567,658.0531,-1597.5033
46,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-439.8826,1339.5155,-1379.20898,-74.64288,1190.44104,-1448.40051,10.07109,909.30133,-1512.18945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-307.88364,1108.13354,-1393.18347,40.74904,694.42126,-1397.65723,-526.02026,925.47919,-1630.44812,-174.30492,807.44141,-1383.17651,-422.45596,781.54553,-1493.57422,-180.38928,872.81683,-1691.27905,-228.57881,432.31973,-1308.15906,-365.48203,354.5817,-1581.34961,-224.84734,112.21655,-1231.22791,-555.38269,656.58203,-1593.03198
47,0.46,-491.72974,1172.83606,-1537.91101,NA,NA,NA,NA,NA,NA,-441.16507,1339.00696,-1373.43494,-77.73996,1189.50122,-1442.24475,7.48788,907.97382,-1505.42664,NA,NA,NA,NA,NA,NA,NA,NA,NA,-310.77731,1108.89185,-1384.49695,39.06903,692.73718,-1392.073,NA,NA,NA,-177.09206,804.59418,-1379.14868,-425.69199,780.51678,-1484.43799,-182.12886,871.97614,-1684.73303,-232.10092,431.03146,-1303.47363,-367.50308,354.66141,-1577.4176,-231.81923,114.77213,-1222.52734,-558.3974,656.76886,-1581.10339
48,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,-442.66409,1339.81299,-1371.09619,-79.51164,1187.85376,-1434.93213,4.91419,906.9173,-1498.0542,NA,NA,NA,NA,NA,NA,NA,NA,NA,-313.10251,1105.66333,-1382.03906,38.78459,691.10248,-1387.24109,NA,NA,NA,-181.48428,802.64386,-1371.7887,-427.35226,778.75824,-1485.10168,-183.95081,870.91553,-1677.61768,-237.08351,429.49854,-1296.71716,-369.97784,351.41574,-1576.98303,-237.50705,117.0179,-1215.07373,-559.77832,655.09717,-1577.23682
49,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,-444.8696,1338.7196,-1362.56287,-82.13406,1186.78333,-1429.01135,2.63938,905.02856,-1490.6283,NA,NA,NA,NA,NA,NA,NA,NA,NA,-316.3548,1104.94275,-1375.19568,37.48126,689.62109,-1381.91016,-532.56354,925.89441,-1616.83582,-185.03694,803.62115,-1360.2865,-430.81549,778.85675,-1478.24512,-185.93817,869.94189,-1671.0127,-240.14444,428.07379,-1288.44434,-372.81219,350.5817,-1571.48584,-243.08136,117.85816,-1207.91199,-562.57971,656.63562,-1564.67358
50,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,-446.10309,1337.58203,-1354.745,-83.78963,1183.70776,-1418.61438,1.25046,903.56134,-1485.93445,NA,NA,NA,NA,NA,NA,NA,NA,NA,-318.5965,1102.40173,-1372.40613,36.03025,688.16412,-1376.04285,-534.87964,924.1076,-1608.052,-187.57321,800.03284,-1354.30798,-433.19208,777.32068,-1472.78235,-188.08211,868.755,-1664.02844,-243.95755,427.58847,-1284.50232,-375.75363,349.43051,-1566.55127,-249.74869,118.32041,-1200.58472,-562.65247,655.11597,-1564.67297
