"cBlock","p_A","p_B","p_AB","d_A","d_B","d_AB","p_A_adj","p_B_adj","p_AB_adj"
"c1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"c12",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
