"Participant","from","to","metric","p","d","mean_from","mean_to","delta","p_adj"
"P2","c1","c2","DistAminusB",0.651916299920402,0.419420807742384,91.4536498411497,29.1815894155955,-62.2720604255542,0.896384912390553
"P2","c2","c3","DistAminusB",0.622558419192022,0.435652471541979,29.1815894155955,-52.4874195469985,-81.669008962594,0.896384912390553
"P2","c3","c4","DistAminusB",0.458182402949778,-0.670431275957444,-52.4874195469985,57.3761276649583,109.863547211957,0.896384912390553
"P2","c4","c5","DistAminusB",0.97729203447982,-0.024738593366964,57.3761276649583,61.046371584335,3.67024391937662,0.994695713071656
"P2","c5","c6","DistAminusB",0.994695713071656,0.00594888798186002,61.046371584335,60.4020172952483,-0.644354289086635,0.994695713071656
"P2","c6","c7","DistAminusB",0.337905986463707,0.999297839107062,60.4020172952483,-154.779969762204,-215.181987057452,0.896384912390553
"P2","c7","c8","DistAminusB",0.450797377984581,-0.703512606728938,-154.779969762204,14.1984740171906,168.978443779395,0.896384912390553
"P2","c8","c9","DistAminusB",0.897433510980994,-0.112583981548539,14.1984740171906,30.3789034332341,16.1804294160436,0.994695713071656
"P2","c9","c10","DistAminusB",0.557047262178119,0.569532688800881,30.3789034332341,-19.3856811873318,-49.7645846205659,0.896384912390553
"P2","c10","c11","DistAminusB",0.315265827640957,2.26406695498903,-19.3856811873318,-381.135791102675,-361.750109915344,0.896384912390553
"P2","c11","c12","DistAminusB",0.462561268753082,-0.776420260052718,-381.135791102675,-154.779969762204,226.355821340471,0.896384912390553
