"Participant","metric","mean_early","mean_late","delta","p","d"
"P1.2","mean_dist_A",NA,NA,NA,NA,NA
"P2","mean_dist_A",1559.19461724719,1503.47661779076,-55.7179994564328,0.22603637712873,0.657198858124173
"P1.2","mean_dist_B",NA,NA,NA,NA,NA
"P2","mean_dist_B",1536.47867734394,1664.0726846725,127.594007328561,0.186742138292858,-0.677926226012986
"P1.2","DistAminusB",NA,NA,NA,NA,NA
"P2","DistAminusB",22.7159399032489,-160.596066881745,-183.312006784994,0.090827446154329,0.923406017326275
