"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
13,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.17299,921.82587,-1560.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-315.53391,832.95782,-1462.59912,139.60562,703.50848,-1451.01245,NA,NA,NA,-33.52782,832.98914,-1420.52625,-4.37004,391.31836,-1459.38,NA,NA,NA,NA,NA,NA,-328.55685,69.46643,-1520.55688,NA,NA,NA,NA,NA,NA
14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.98772,921.07697,-1551.07056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-316.0354,832.22321,-1465.34631,138.91328,704.02893,-1446.82349,NA,NA,NA,-35.68774,832.37598,-1419.09534,-6.43657,390.73553,-1459.97949,NA,NA,NA,NA,NA,NA,-334.34763,71.49065,-1514.49146,NA,NA,NA,NA,NA,NA
15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.95079,921.20483,-1546.54468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-317.68488,832.89111,-1462.09314,138.89803,704.0556,-1441.71362,NA,NA,NA,-36.58792,831.84802,-1419.6759,-7.95422,390.05145,-1457.04822,NA,NA,NA,NA,NA,NA,-341.4585,74.0478,-1506.40308,NA,NA,NA,NA,NA,NA
16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.73566,921.19318,-1539.87695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-319.35474,833.69916,-1459.51746,137.92218,704.30579,-1435.65173,NA,NA,NA,-39.39089,834.60986,-1411.56836,-9.45769,390.01486,-1456.22876,NA,NA,NA,NA,NA,NA,-347.57492,72.53288,-1501.65051,NA,NA,NA,NA,NA,NA
17,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.26398,921.89569,-1535.61499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-320.75278,833.13037,-1458.17993,137.4547,705.39001,-1430.56506,NA,NA,NA,-40.20137,834.43182,-1410.9574,-12.12463,389.25403,-1454.04602,NA,NA,NA,NA,NA,NA,-355.39532,72.7135,-1493.96106,NA,NA,NA,NA,NA,NA
18,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.59311,922.11841,-1529.5415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-322.02652,833.33838,-1457.32617,136.12727,706.21332,-1424.03174,NA,NA,NA,-40.99587,833.78394,-1410.66614,-13.30463,389.23654,-1453.68164,NA,NA,NA,NA,NA,NA,-363.82019,74.87302,-1482.57556,NA,NA,NA,-345.21368,419.95932,-1422.14111
19,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.60027,922.84729,-1527.60486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-323.45242,832.95947,-1455.12122,134.99606,707.25665,-1417.95715,NA,NA,NA,-42.12585,833.92664,-1409.08447,-14.98534,389.82211,-1451.97571,NA,NA,NA,NA,NA,NA,-372.92661,74.87263,-1474.71423,NA,NA,NA,-350.35159,421.30051,-1419.33533
20,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.42371,921.73889,-1517.39526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-325.16727,833.18878,-1451.87964,135.07764,708.51343,-1413.37146,NA,NA,NA,-45.44585,835.37744,-1402.01685,-16.57671,388.98508,-1450.74683,NA,NA,NA,NA,NA,NA,-383.61401,76.73495,-1459.98157,NA,NA,NA,-355.81387,426.09555,-1409.18152
21,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.2808,922.58844,-1515.04004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-326.767,832.79791,-1448.5238,133.14233,708.98566,-1405.71289,NA,NA,NA,-46.45638,834.34503,-1403.34033,-18.52445,388.35965,-1448.11023,NA,NA,NA,NA,NA,NA,-392.23303,76.61734,-1452.3905,NA,NA,NA,-360.27301,426.94214,-1409.50488
22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.91418,923.26569,-1511.11438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-325.98166,826.96698,-1459.2406,132.34761,710.01062,-1400.47339,NA,NA,NA,-48.46774,833.84363,-1402.69885,-19.97318,387.83301,-1445.5863,NA,NA,NA,NA,NA,NA,-401.99615,77.96368,-1441.25439,NA,NA,NA,-365.245,425.95456,-1410.12695
23,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.81056,924.19147,-1508.45764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-329.12473,827.38623,-1454.45984,130.62541,710.52625,-1393.60974,NA,NA,NA,-51.83375,832.84283,-1397.71472,-22.00926,387.77438,-1443.97534,NA,NA,NA,NA,NA,NA,-412.10422,78.90522,-1432.21545,NA,NA,NA,-369.80637,429.02722,-1399.91467
24,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.25548,923.84692,-1503.13159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-330.61887,827.05768,-1450.66187,129.67116,711.09863,-1386.89526,NA,NA,NA,-52.16515,832.04675,-1399.99365,-23.83067,386.79382,-1442.6532,NA,NA,NA,NA,NA,NA,-421.01508,80.20744,-1421.95032,NA,NA,NA,-375.88086,429.64493,-1399.67029
25,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.50798,923.91901,-1500.72852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-333.00107,826.86676,-1446.14929,127.75339,711.92603,-1381.03308,NA,NA,NA,-53.37066,831.95135,-1396.8186,-25.47866,387.59113,-1440.83728,NA,NA,NA,NA,NA,NA,-429.95325,82.4386,-1410.21826,NA,NA,NA,-381.45593,429.34201,-1400.72302
26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.80074,923.01215,-1493.11023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-336.51273,826.52136,-1441.401,126.42349,712.2016,-1376.10474,NA,NA,NA,-55.88981,833.52112,-1388.32654,-26.69771,386.57034,-1439.06909,NA,NA,NA,NA,NA,NA,-438.98172,83.20806,-1401.05334,NA,NA,NA,-386.98273,430.91516,-1391.47681
27,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.87445,923.54291,-1488.88037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-337.01852,826.55792,-1440.56665,124.09167,712.53064,-1369.12939,NA,NA,NA,-57.72123,831.71619,-1384.1228,-28.90101,386.20053,-1437.11829,NA,NA,NA,NA,NA,NA,-447.20032,85.21131,-1391.62634,NA,NA,NA,-392.59799,431.08914,-1387.71399
28,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.63242,924.00787,-1487.28271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-339.86923,825.70886,-1435.88452,121.19677,713.04169,-1361.87756,NA,NA,NA,-59.0063,830.21967,-1382.23193,-30.9289,384.7139,-1433.81494,NA,NA,NA,NA,NA,NA,-455.99463,87.89554,-1379.28174,NA,NA,NA,-397.60071,431.18353,-1384.19714
29,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.65565,923.79736,-1478.17566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-343.14508,824.33881,-1430.84558,118.3922,712.80969,-1354.94873,NA,NA,NA,-61.83797,832.64264,-1372.06885,-32.55994,384.78833,-1433.34363,NA,NA,NA,NA,NA,NA,-465.59714,89.48617,-1371.11267,NA,NA,NA,-402.43567,430.70435,-1381.88184
30,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.65686,923.06458,-1473.06372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-346.00967,823.5332,-1426.901,116.03192,713.04211,-1350.49988,NA,NA,NA,-62.91489,830.09039,-1370.28967,-34.90725,383.78546,-1430.4198,NA,NA,NA,NA,NA,NA,-475.22986,92.54344,-1359.40991,NA,NA,NA,-407.97491,430.6478,-1377.87256
