"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.59574,708.87219,-1423.00818,-466.7124,694.69861,-1473.00781,-56.56031,834.47882,-1390.45996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.67289,54.06996,-1592.68774,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.32967,708.48407,-1420.93811,-471.04916,693.8313,-1476.06165,-59.41135,832.4776,-1395.04333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.56533,55.48305,-1591.54382,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.17429,708.26263,-1415.7135,-473.04099,694.95782,-1474.03027,-64.66469,831.27588,-1388.67175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.63619,55.80616,-1590.07617,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.98573,708.24823,-1414.59302,-477.13977,694.53619,-1474.27832,-69.09274,832.78131,-1380.26648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.78252,56.79622,-1587.69421,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.08448,706.83734,-1413.69031,-480.67905,694.84845,-1477.22144,-71.48537,830.3548,-1385.21008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.74828,57.42884,-1586.27625,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.15498,706.87213,-1410.55273,-483.987,694.49805,-1475.59277,-76.69911,831.14282,-1382.2533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.14862,58.80004,-1584.88867,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.98692,706.0575,-1411.91553,-487.46127,693.96533,-1475.70544,-80.75594,832.28864,-1371.05103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.36919,60.90272,-1583.55603,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.25051,705.92725,-1404.82141,-490.88425,693.78424,-1476.29492,-85.03536,829.72211,-1376.79944,NA,NA,NA,NA,NA,NA,-47.07676,388.6189,-1434.26624,NA,NA,NA,49.37838,63.48494,-1581.8479,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.46178,705.91718,-1404.54968,-495.09302,693.78027,-1476.97913,-89.39114,829.61353,-1372.57837,NA,NA,NA,NA,NA,NA,-50.99408,388.45047,-1427.94531,NA,NA,NA,48.07602,65.53002,-1580.93848,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.34883,705.33649,-1400.55298,-498.30658,693.13348,-1476.59521,-94.35316,830.34143,-1367.98657,NA,NA,NA,NA,NA,NA,-52.55322,387.15225,-1420.73816,NA,NA,NA,46.75378,66.88193,-1578.03943,NA,NA,NA
