"TrialNum","SourceFile","n_frames","mean_visible_markers","mean_dist_A","mean_dist_B","cBlock","Mode","Composition","Collider","Participant","DistAminusB"
16,"P2_Trial16_raw.csv",483,13.2650103519669,1610.26013770099,1585.5166593197,"c1","AR","0R2V","1","P2",24.7434783812919
17,"P2_Trial17_raw.csv",1033,15.2604065827687,1488.14375742376,1351.17264457518,"c1","AR","0R2V","1","P2",136.971112848575
18,"P2_Trial18_raw.csv",433,14.2332563510393,1543.35838582644,1430.71202753285,"c1","AR","0R2V","1","P2",112.646358293582
22,"P2_Trial22_raw.csv",624,13.1955128205128,1592.18056889091,1591.96804578481,"c2","AR","2R0V","0","P2",0.212523106099297
23,"P2_Trial23_raw.csv",1217,14.6754313886606,1539.7225077485,1296.12491489833,"c2","AR","2R0V","0","P2",243.597592850169
24,"P2_Trial24_raw.csv",597,11.142378559464,1649.52322447238,1805.78857218187,"c2","AR","2R0V","0","P2",-156.265347709482
25,"P2_Trial25_raw.csv",529,12.9621928166352,1541.98602550159,1631.62274406705,"c3","AR","1R1V","0","P2",-89.636718565454
26,"P2_Trial26_raw.csv",948,12.3270042194093,1521.98637971026,1386.64135632554,"c3","AR","1R1V","0","P2",135.345023384715
27,"P2_Trial27_raw.csv",501,12.1377245508982,1545.59056794989,1748.76113141014,"c3","AR","1R1V","0","P2",-203.170563460256
13,"P2_Trial13_raw.csv",567,12.7848324514991,1576.26736783326,1681.95156757005,"c4","AR","1R1V","2","P2",-105.68419973679
14,"P2_Trial14_raw.csv",781,14.0192061459667,1603.50888179954,1400.7122768214,"c4","AR","1R1V","2","P2",202.796604978149
15,"P2_Trial15_raw.csv",440,14.6954545454545,1616.96095889626,1541.94498114274,"c4","AR","1R1V","2","P2",75.0159777535159
31,"P2_Trial31_raw.csv",812,10.3374384236453,1725.07362257999,1697.26263317513,"c5","AR","0R2V","0","P2",27.8109894048589
32,"P2_Trial32_raw.csv",1499,13.0166777851902,1590.09520601783,1373.97504938728,"c5","AR","0R2V","0","P2",216.120156630548
33,"P2_Trial33_raw.csv",556,11.3741007194245,1560.5583863024,1621.35041758481,"c5","AR","0R2V","0","P2",-60.7920312824024
19,"P2_Trial19_raw.csv",540,13.9833333333333,1600.29025033798,1475.20806092122,"c6","AR","2R0V","2","P2",125.082189416762
20,"P2_Trial20_raw.csv",787,14.9224904701398,1478.41905415014,1432.24255645188,"c6","AR","2R0V","2","P2",46.1764976982608
21,"P2_Trial21_raw.csv",600,10.79,1574.7707499406,1564.82338516988,"c6","AR","2R0V","2","P2",9.94736477072206
10,"P2_Trial10_raw.csv",837,10.4384707287933,1474.80539928696,1886.56970273484,"c7","AR","2R0V","1","P2",-411.764303447881
11,"P2_Trial11_raw.csv",1163,11.4316423043852,1692.29642166081,1519.23460756678,"c7","AR","2R0V","1","P2",173.06181409403
12,"P2_Trial12_raw.csv",653,11.114854517611,1473.570795367,1699.20821529976,"c7","AR","2R0V","1","P2",-225.637419932761
37,"P2_Trial37_raw.csv",563,13.5044404973357,1456.98018858211,1616.14714258501,"c8","AR","1R1V","1","P2",-159.166954002898
38,"P2_Trial38_raw.csv",1099,13.8544131028208,1451.26618895628,1290.61708459843,"c8","AR","1R1V","1","P2",160.649104357844
39,"P2_Trial39_raw.csv",539,14.6586270871985,1603.36114116023,1562.24786946361,"c8","AR","1R1V","1","P2",41.1132716966256
28,"P2_Trial28_raw.csv",472,14.1165254237288,1536.19293663051,1608.10056326749,"c9","AR","0R2V","2","P2",-71.9076266369723
29,"P2_Trial29_raw.csv",762,12.8700787401575,1525.22725340772,1357.97657973893,"c9","AR","0R2V","2","P2",167.250673668793
30,"P2_Trial30_raw.csv",591,13.6937394247039,1501.71398276801,1505.92031950013,"c9","AR","0R2V","2","P2",-4.20633673211864
7,"P2_Trial7_raw.csv",784,13.7806122448979,1581.14410540118,1609.74967220598,"c10","VR","2R0V","2","P2",-28.6055668048014
8,"P2_Trial8_raw.csv",932,14.6180257510729,1468.9159369657,1486.81762960994,"c10","VR","2R0V","2","P2",-17.9016926442437
9,"P2_Trial9_raw.csv",622,14.2974276527331,1572.10118116533,1583.75096527828,"c10","VR","2R0V","2","P2",-11.6497841129503
5,"P2_Trial5_raw.csv",1110,16.1315315315315,1312.35595559107,1497.99132399163,"c11","VR","2R0V","0","P2",-185.635368400563
6,"P2_Trial6_raw.csv",1009,9.83349851337958,1452.62314688802,2029.25936069281,"c11","VR","2R0V","0","P2",-576.636213804788
10,"P2_Trial10_raw.csv",837,10.4384707287933,1474.80539928696,1886.56970273484,"c12","VR","2R0V","1","P2",-411.764303447881
11,"P2_Trial11_raw.csv",1163,11.4316423043852,1692.29642166081,1519.23460756678,"c12","VR","2R0V","1","P2",173.06181409403
12,"P2_Trial12_raw.csv",653,11.114854517611,1473.570795367,1699.20821529976,"c12","VR","2R0V","1","P2",-225.637419932761
