"Pair","Box","Delta_mm"
"16->18","A",83.5334857116698
"16->18","B",-63.7525591175438
"19->21","A",107.562306762809
"19->21","B",18.9881005435143
"22->24","A",-106.601393139357
"22->24","B",129.537991475399
"25->27","A",-110.949047877436
"25->27","B",-102.815667634464
"28->30","A",-27.9675212608645
"28->30","B",-0.876086855606445
"31->33","A",-97.2235911729749
"31->33","B",-19.7782559169318
