"Group","Participant","TrialNum","File","Reason"
"G2","P2",23,"P2_Trial23.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G2","P2",24,"P2_Trial24.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G3","P1",22,"P1_boxCal22.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G3","P1",23,"P1_boxCal23.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G3","P1",24,"P1_boxCal24.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G3","P2",25,"P2_Trial25.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G3","P2",26,"P2_Trial26.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G3","P2",27,"P2_Trial27.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G4","P1",25,"P1_boxCal25.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G4","P1",26,"P1_boxCal26.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
