"Participant","TrialNum","n_frames","has_time","t0","t1","duration_sec","dt","mean_markers","median_markers","max_markers","pct_frames_16plus"
"P2",23,1217,TRUE,0,12.16,12.16,0.00999999999999979,14.6754313886606,18,19,56.0394412489729
"P2",24,597,TRUE,0,5.96,5.96,0.01,11.142378559464,13,19,36.3484087102178
"P2",25,529,TRUE,0,5.28,5.28,0.01,12.9621928166352,16,19,50.4725897920605
"P2",26,948,TRUE,0,9.47,9.47,0.00999999999999979,12.3270042194093,14,19,42.0886075949367
"P2",27,501,TRUE,0,5,5,0.01,12.1377245508982,14,19,41.7165668662675
"P2",28,472,TRUE,0,4.71,4.71,0.01,14.1165254237288,17,19,55.2966101694915
"P2",29,762,TRUE,0,7.61,7.61,0.00999999999999979,12.8700787401575,17,19,53.6745406824147
"P2",30,591,TRUE,0,5.9,5.9,0.01,13.6937394247039,16,19,52.7918781725888
"P2",31,812,TRUE,0,8.11,8.11,0.00999999999999979,10.3374384236453,12,19,38.9162561576355
"P2",32,1499,TRUE,0,14.98,14.98,0.00999999999999979,13.0166777851902,15,18,49.8999332888592
"P2",33,556,TRUE,0,5.55,5.55,0.01,11.3741007194245,15,19,46.5827338129496
"P2",34,663,TRUE,0,6.62,6.62,0.01,10.7058823529412,14,19,44.4947209653092
"P2",35,1148,TRUE,0,11.47,11.47,0.00999999999999979,12.8719512195123,13,19,40.9407665505227
"P2",36,641,TRUE,0,6.4,6.4,0.01,12.6396255850234,17,19,56.1622464898596
"P2",37,563,TRUE,0,5.62,5.62,0.01,13.5044404973357,15,19,47.246891651865
"P2",38,1099,TRUE,0,10.98,10.98,0.00999999999999979,13.8544131028208,18,19,60.9645131938126
"P2",39,539,TRUE,0,5.38,5.38,0.01,14.6586270871985,17,19,60.1113172541744
"P2",40,479,TRUE,0,4.78,4.78,0.01,14.9686847599165,17,19,64.7181628392484
