"Participant","Collider","n_trials","mean_abs_deltaAB","sd_abs_deltaAB"
"P1.2",0,12,90.2914784287056,76.1624275954589
"P1.2",1,12,212.457384817079,196.97365084897
"P1.2",2,12,176.963131632142,127.570084241042
"P2",0,12,174.766975829288,143.018889636638
"P2",1,12,146.114215764934,74.3510305894095
"P2",2,12,83.2896855582404,122.519484559767
