Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P4,12
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.73193,838.16302,-1606.19861,,,,,,,,,,,,,,,,,,,,,,,,,NA,P4,12
2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.44061,837.76245,-1604.10925,,,,,,,,,,,,,,,,,,,,,,,,,NA,P4,12
3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.56970,837.64673,-1601.99304,,,,,,,,,,,,,,,,,,,,,,,,,NA,P4,12
4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.76784,836.99585,-1598.46069,,,,,,,,,,,,,,,,,,,,,,,,,NA,P4,12
5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.52821,836.47662,-1594.63831,,,,,,,,,,,,,,,,,,,,,,,,,NA,P4,12
6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.14646,836.51520,-1590.90869,,,,,,,,,,,,,,,,,,,,,,,,,NA,P4,12
7,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.62987,836.41553,-1586.41504,,,,31.19212,982.13202,-1588.78992,,,,,,,,,,,,,,,,,,,NA,P4,12
8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.79100,834.95081,-1585.81091,-445.91553,835.25464,-1648.77161,26.82816,981.26111,-1583.73413,,,,,,,,,,,,,,,,,,,NA,P4,12
9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.86507,836.01868,-1575.70288,-452.10083,831.22986,-1655.51489,22.53021,977.93250,-1579.94604,,,,,,,,,,,,,,,,,,,NA,P4,12
10,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.88881,835.25238,-1569.32104,-456.57486,826.11407,-1663.74951,18.32855,977.55835,-1570.99304,,,,,,,,,,,,,,,,,,,NA,P4,12
11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.35921,834.55420,-1562.92297,-461.70615,823.47235,-1666.23328,14.77149,976.62042,-1562.77832,,,,,,,,,,,,,,,,,,,NA,P4,12
12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.10502,833.71033,-1555.43652,-465.52124,818.82941,-1679.66687,11.40175,973.46808,-1560.26343,,,,,,,,,,,,,,,,,,,NA,P4,12
13,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42812,832.61108,-1547.11108,-470.74094,816.53833,-1681.22363,5.91609,972.09082,-1555.43628,,,,,,,,,,,,,,,,,,,NA,P4,12
14,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.26038,831.98956,-1539.72278,-474.78204,813.60303,-1686.32410,-0.08169,972.13544,-1542.96240,,,,,,,,,,,,,,,,,,,NA,P4,12
15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.44733,830.47113,-1531.31653,-480.52744,810.88507,-1690.49683,-3.43851,969.89606,-1537.48755,,,,,,,,,,,,,,,,,,,NA,P4,12
16,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.87375,827.02020,-1526.09546,-482.77661,806.83850,-1696.62012,-8.46510,967.82391,-1530.73938,,,,,,,,,,,,,,,,,,,NA,P4,12
17,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22086,828.21991,-1513.40332,-488.51880,805.17615,-1697.80151,-13.87613,964.45050,-1527.82520,,,,,,,,,,,,,,,,,,,NA,P4,12
18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.43589,826.39996,-1503.94165,-490.90073,801.62634,-1704.76123,-19.01323,963.25269,-1516.99866,,,,,,,,,,,,,,,,,,,NA,P4,12
19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.34792,824.61578,-1493.09692,-496.14999,799.80548,-1708.34985,-24.69154,961.83105,-1507.56970,,,,,,,,,,,,,,,,,,,NA,P4,12
20,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.74294,822.78247,-1482.44971,-499.77435,797.94647,-1706.35925,-31.04492,960.69910,-1503.98328,,,,,,,,,,,,,,,,,,,NA,P4,12
21,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.46806,820.39038,-1471.06030,-505.51413,796.08679,-1705.73535,-36.86812,957.71667,-1492.15234,,,,,,,,,,,,,,,,,,,NA,P4,12
22,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.54510,819.27399,-1460.46082,-508.43176,794.71582,-1708.78235,-43.52720,955.47296,-1486.10583,,,,,,,,,,,,,,,,,,,NA,P4,12
23,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89780,817.93005,-1450.43372,-513.86108,791.87457,-1711.71240,-50.06319,953.40417,-1479.06018,,,,,,,,,,,,,,,,,,,NA,P4,12
24,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.52124,816.91589,-1439.49146,-519.21954,791.83698,-1701.79126,-56.08417,951.92120,-1472.59204,,,,,,,,,,,,,,,,,,,NA,P4,12
25,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13727,814.56860,-1427.00012,-524.32953,790.65393,-1704.62415,-64.48141,949.15857,-1463.33984,,,,,,,,,,,,,,,,,,,NA,P4,12
26,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37917,813.05896,-1414.53723,-527.86212,787.91864,-1704.44592,-72.33265,948.54010,-1453.65161,,,,,,,,,,,,,,,,,,,NA,P4,12
27,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.55547,812.17493,-1402.82629,-534.32635,785.70886,-1705.18579,-80.04011,946.66681,-1444.95752,,,,,,,,,,,,,,,,,,,NA,P4,12
28,0.27,,,,,,,,,,,,,,,,,,,,,,,,,32.29874,1115.62988,-1429.64258,,,,-15.64491,810.25586,-1389.28186,-539.28809,785.93506,-1698.16760,-88.23473,944.84888,-1441.27771,,,,,,,,,,,,,,,,,,,NA,P4,12
29,0.28,,,,,,,,,,,,,,,,,,,,,,,,,23.76392,1116.63989,-1411.03699,,,,-25.07006,809.13190,-1375.42871,-546.12567,785.84387,-1692.65491,-96.32298,944.71283,-1426.97131,,,,,,,,,,,,,,,,,,,NA,P4,12
30,0.29,,,,,,,,,,,,,,,,,,,,,,,,,14.94541,1116.91016,-1401.98730,,,,-36.19967,808.61157,-1362.43518,-551.08710,785.65869,-1686.18481,-105.96343,944.59418,-1420.31897,,,,,,,,,,,,,,,,,,,NA,P4,12
31,0.3,,,,,,,,,,,,,,,,,,,,,,,,,3.57948,1114.40723,-1394.55786,,,,-46.84804,808.41663,-1348.69043,-558.26935,784.85803,-1682.37622,-115.10848,943.64893,-1413.56335,,,,,,,,,,,,,,,,,,,NA,P4,12
32,0.31,,,,,,,,,,,,,,,,,,,,,,,,,-7.05874,1114.20227,-1380.01526,,,,-57.90681,808.71100,-1333.87244,-563.77631,785.33667,-1673.78882,-124.55966,944.03540,-1401.24475,,,,,,,,,,,,,,,,,,,NA,P4,12
33,0.32,,,,,,,,,,,,,,,,,,,,,,,,,-15.57472,1117.08447,-1367.10779,,,,-69.66788,809.96539,-1319.97656,-569.87427,786.52338,-1670.91235,-134.39243,944.85986,-1390.81348,,,,,,,-63.13630,483.54816,-1531.66858,,,,,,,,,,NA,P4,12
34,0.33,,,,,,,,,,,,,,,,,,,,,,,,,-25.65089,1117.42712,-1354.48596,,,,-81.46496,811.51025,-1306.40735,-575.90674,786.10431,-1660.29749,-145.57423,945.59894,-1381.86365,,,,,,,-70.79852,484.82013,-1511.49487,,,,,,,,,,NA,P4,12
35,0.34,,,,,,,,,,,,,,,,,,,,,,,,,-36.00555,1119.45007,-1344.70520,,,,-94.34105,813.59222,-1292.67566,-582.75800,786.43475,-1653.57568,-155.65593,945.23798,-1376.64514,,,,,,,-80.34614,483.58755,-1498.99292,,,,,,,,,,NA,P4,12
