Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P4,35
1,0,-277.41660,1106.80823,2415.46045,,,,,,,,,,,,,-93.16051,1576.84949,2355.64160,,,,-251.18665,1618.36365,2354.68799,-370.14145,1060.83972,2202.39063,43.74979,1225.10962,2388.91211,,,,,,,,,,,,,,,,-373.67429,582.54059,2309.36328,14.73533,631.06915,2237.41992,-359.33347,107.22818,2499.13232,-19.81525,118.11436,2292.74194,NA,P4,35
2,0.01,-275.14090,1105.86938,2411.86011,,,,,,,,,,,,,-90.86730,1576.11694,2351.88940,-229.72256,1853.86365,2282.21826,-248.57793,1617.57642,2349.79468,-367.35458,1059.77991,2197.81958,46.34999,1224.62866,2386.21362,,,,,,,,,,,,,,,,-371.90915,582.04498,2309.18555,18.15930,630.99493,2234.78003,-359.30984,107.28555,2499.18481,-12.63642,117.78180,2279.78345,NA,P4,35
3,0.02,-273.11493,1105.47314,2407.71045,,,,,,,,,,,,,-88.48396,1575.51855,2347.95850,-226.36723,1853.25623,2276.35278,-246.18053,1616.81909,2345.21826,-364.77032,1059.00073,2193.89136,49.22261,1224.57959,2383.26392,,,,,,,,,,,,,,,,-370.37238,582.36243,2307.56934,20.72545,630.89777,2230.56665,-359.07825,107.39783,2498.58838,-2.21813,114.52572,2265.97217,NA,P4,35
4,0.03,-271.52274,1105.53918,2404.71143,,,,,,,,,,,,,-86.04347,1574.97266,2344.13184,-223.74316,1852.33020,2271.89331,-243.61798,1616.22876,2340.61426,-361.60931,1057.93713,2189.16406,52.33592,1224.34985,2379.49097,,,,,,,,,,,,,,,,-368.35599,581.78143,2305.96875,24.87688,630.89178,2226.51685,-359.03070,107.51427,2498.69336,6.25148,114.87421,2253.78540,NA,P4,35
5,0.04,-268.56934,1103.32129,2398.80103,,,,,,,,,,,,,-83.66747,1574.25208,2340.49243,-220.27284,1851.90076,2266.15381,-240.76459,1615.45496,2335.60034,-358.46045,1057.00879,2184.15356,54.96736,1223.50305,2376.44287,,,,,,,,,,,,,,,,-367.00305,581.02222,2304.96289,27.95708,631.53577,2222.46216,-359.02530,107.55494,2498.68848,14.26735,114.88991,2242.19312,NA,P4,35
6,0.05,-266.88535,1104.13953,2395.16553,,,,,,,,,,,,,-80.35194,1573.47327,2335.53760,-217.24065,1850.69922,2261.70801,-237.92868,1614.67627,2330.57983,-355.25439,1056.01099,2180.89087,57.93570,1223.10730,2373.21094,-35.32098,1091.20459,2278.08276,,,,,,,,,,,,,-365.24890,580.88770,2301.79443,31.75261,629.77167,2220.01978,-359.04971,108.00100,2498.73193,22.07157,115.02560,2230.47754,NA,P4,35
7,0.06,-264.00479,1103.23364,2390.56494,,,,,,,,,,,,,-77.75141,1572.34473,2331.78882,-213.39816,1849.57764,2256.06152,-234.98705,1613.60425,2325.73486,-351.92377,1054.61011,2175.37231,60.72025,1222.32825,2370.19482,-31.97606,1090.58582,2274.54517,,,,,,,,,,,,,-363.45959,581.00043,2299.83276,36.13204,629.52228,2217.52124,-358.96378,108.24327,2498.90234,30.28646,114.30877,2218.43677,NA,P4,35
8,0.07,-260.76541,1101.95422,2385.46704,,,,,,,,,,,,,-74.74888,1571.78564,2327.19580,-210.02591,1848.67151,2250.99146,-231.65802,1612.76038,2320.67285,-348.65497,1053.55530,2170.59570,64.46396,1221.71826,2366.35181,-28.93207,1089.64502,2270.32471,,,,,,,,,,,,,-361.47586,579.57922,2298.26489,39.44947,628.38550,2213.39160,-358.80075,108.48758,2498.72437,37.68803,114.12495,2207.30078,NA,P4,35
9,0.08,-258.24216,1101.85461,2381.79346,,,,,,,,,,,,,-71.31805,1570.37439,2322.26538,-206.38986,1847.70215,2245.91187,-227.83112,1611.91821,2314.83252,-345.08905,1052.27014,2164.69751,67.90744,1221.02417,2363.06079,-26.03553,1088.89563,2264.47900,,,,,,,,,,,,,-358.88181,578.98907,2294.27319,42.48367,628.05634,2208.49487,-358.83292,109.24292,2499.01538,44.91125,114.57317,2196.94434,NA,P4,35
