Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P4,18
1,0,,,,,,,,,,,,,,,,,,,,,,,,,186.56181,1142.72449,-1535.40283,,,,107.44321,884.25647,-1384.55408,,,,64.01048,997.26556,-1494.05237,-271.52527,1003.19104,-1499.89795,,,,57.41456,505.76434,-1547.40674,-268.97211,518.99121,-1471.70105,,,,,,,NA,P4,18
2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,186.16183,1142.98206,-1533.90381,,,,107.10261,883.07440,-1384.06445,,,,61.78621,997.55939,-1490.71606,-272.59857,1003.83118,-1498.68042,,,,56.71325,505.80542,-1546.00940,-271.76398,522.24664,-1463.88513,,,,,,,NA,P4,18
3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,184.94077,1143.11365,-1531.83923,,,,106.73388,881.08429,-1382.04517,,,,61.48555,996.49829,-1491.81421,-272.74878,1003.82617,-1499.67126,,,,56.55817,505.38846,-1547.45300,-274.52197,523.20416,-1459.72339,,,,,,,NA,P4,18
4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,184.43742,1143.49219,-1529.70471,,,,106.00170,880.01807,-1381.77246,,,,60.35320,996.85486,-1490.66772,-273.77237,1004.53265,-1498.13989,,,,56.40968,504.98178,-1548.83447,-277.51056,524.74786,-1459.48303,,,,,,,NA,P4,18
5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,183.04688,1143.69922,-1527.15405,,,,105.48495,878.52460,-1381.06897,,,,59.31015,996.63226,-1490.03894,-274.96490,1006.67114,-1497.72937,,,,54.78125,505.92191,-1546.12939,-281.97073,526.94006,-1455.12207,,,,,,,NA,P4,18
6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,181.98840,1144.78479,-1526.04749,,,,105.02544,877.92078,-1381.58875,,,,57.58012,996.67084,-1487.10120,-275.46503,1006.99554,-1499.93774,,,,54.17270,506.16553,-1547.47168,-284.91089,528.77368,-1450.29504,,,,,,,NA,P4,18
7,0.06,,,,,,,,,,,,,,,,,,,,,,,,,181.11717,1144.81152,-1522.63904,,,,104.36449,877.01587,-1381.69885,,,,56.70123,996.83813,-1486.99829,-277.29272,1007.38055,-1499.44788,,,,52.06919,507.83725,-1544.90002,-289.27042,532.15149,-1444.55298,,,,,,,NA,P4,18
8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,180.40881,1145.27417,-1519.97339,,,,103.55688,875.39294,-1380.52808,,,,55.22457,996.95135,-1483.30908,-278.25580,1007.47571,-1503.00232,,,,51.60508,506.60126,-1549.19421,-293.99570,534.15912,-1443.11047,,,,,,,NA,P4,18
9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,177.75604,1146.38171,-1519.07129,,,,102.59457,874.21606,-1379.99731,,,,53.10018,997.62897,-1478.11670,-279.02829,1007.92657,-1504.24597,,,,51.32415,505.89536,-1551.79871,-298.46848,536.55957,-1438.16052,,,,,,,NA,P4,18
