Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P4,4
1,0,,,,,,,,,,,,,,,,,,,,,,,,,198.19554,1140.23108,-1641.02917,,,,160.23447,897.80048,-1453.69006,,,,,,,,,,,,,66.56142,512.55164,-1573.19348,,,,,,,,,,NA,P4,4
2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,198.29642,1140.17517,-1641.37866,,,,160.16667,897.86792,-1453.65137,,,,,,,,,,,,,66.56817,512.54968,-1573.12720,,,,,,,,,,NA,P4,4
3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,198.40050,1140.13733,-1641.64612,,,,160.07886,897.87720,-1453.70789,,,,,,,,,,,,,67.48993,511.65817,-1575.72498,,,,,,,,,,NA,P4,4
4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,199.09659,1139.44238,-1640.37976,,,,159.99681,897.83099,-1453.97632,,,,,,,,,,,,,66.56119,512.50378,-1573.19031,,,,,,,,,,NA,P4,4
5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,199.20982,1139.42993,-1640.53638,,,,159.88971,897.68176,-1454.39429,,,,,,,,,,,,,66.57127,512.49451,-1573.09070,,,,,,,,,,NA,P4,4
6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,199.32628,1139.43042,-1640.63452,,,,159.66725,897.47540,-1455.08105,,,,,,,,,,,,,67.47204,511.50507,-1575.88293,,,,,,,,,,NA,P4,4
7,0.06,,,,,,,,,,,,,,,,,,,,,,,,,199.76729,1139.81555,-1641.27942,,,,159.23653,897.38666,-1456.00000,,,,,,,,,,,,,66.91947,511.39478,-1573.95105,,,,,,,,,,NA,P4,4
8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,199.91449,1139.84778,-1641.25574,,,,159.17247,897.10944,-1456.78540,,,,,,,,,,,,,66.91782,511.35257,-1573.96265,,,,,,,,,,NA,P4,4
9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,200.08029,1139.87048,-1641.29309,,,,159.48473,896.64752,-1457.45911,,,,,,,,,,,,,66.92027,511.32693,-1573.93591,,,,,,,,,,NA,P4,4
10,0.09,,,,,,,,,,,,,,,,,,,,,,,,,200.23390,1139.90967,-1641.24292,,,,159.46083,896.26001,-1458.50989,,,,,,,,,,,,,66.91283,511.25235,-1574.00049,,,,,,,,,,NA,P4,4
11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,200.36807,1139.94727,-1641.18311,,,,159.44247,895.82623,-1459.53320,,,,,,,,,,,,,66.90609,511.23846,-1574.06494,,,,,,,,,,NA,P4,4
