"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-404.53595,1235.57507,-1615.77869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.23112,723.6756,-1605.61475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.96629,407.31442,-1658.81384,-409.32764,441.61996,-1531.88538,NA,NA,NA,-425.28564,68.88293,-1604.01428
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-405.12753,1235.54614,-1614.13147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.97282,723.46539,-1602.6908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.60475,407.04398,-1656.7749,-410.18369,441.87564,-1532.28662,NA,NA,NA,-427.42896,69.80071,-1595.78711
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-405.50546,1235.77954,-1613.49097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.36626,723.66974,-1598.99023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.23148,407.21106,-1654.75183,-411.80487,441.01315,-1534.33521,NA,NA,NA,-430.8385,69.32255,-1584.17798
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-406.36496,1234.79651,-1609.64319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.78694,723.87433,-1596.39209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.67353,405.90741,-1651.10938,-413.46347,440.22873,-1535.66565,NA,NA,NA,-433.71994,67.63141,-1573.5072
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-407.55551,1235.14795,-1608.71252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.63268,723.69751,-1592.92859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.71548,405.53345,-1649.28845,-416.40311,440.35941,-1532.44775,NA,NA,NA,-436.698,65.83351,-1563.30042
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.01964,1232.58118,-1603.54797,-408.07809,1234.06128,-1605.32336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.85687,722.7514,-1588.17395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.15867,405.30759,-1646.46802,-417.04977,439.26321,-1533.26599,NA,NA,NA,-438.80118,65.37256,-1558.13013
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.51299,1232.79724,-1600.47986,-409.84482,1233.58203,-1602.42822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.05302,723.24176,-1583.64148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.12937,405.59842,-1644.75793,-418.30582,439.43857,-1531.78101,NA,NA,NA,-442.61923,65.28803,-1543.23828
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.42376,1233.26501,-1597.98889,-410.63028,1233.88403,-1601.83582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.66716,723.77521,-1580.86072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.81018,404.78711,-1641.89587,-421.42801,442.77914,-1521.66357,NA,NA,NA,-446.30078,64.92825,-1532.01392
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.3738,1233.224,-1594.17419,-411.90717,1234.25989,-1601.02612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.49025,723.74847,-1576.74023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.26994,404.80515,-1639.85571,-422.25458,441.17819,-1525.80859,NA,NA,NA,-448.38065,63.48698,-1526.85242
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.15486,1233.37952,-1590.92944,-413.49481,1233.03198,-1596.79138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.16135,724.90662,-1575.06592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.34644,404.5907,-1637.04028,-424.88998,438.80106,-1530.24023,NA,NA,NA,-452.72586,63.29866,-1514.7887
11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.45987,1232.5155,-1585.56958,-414.95444,1232.82275,-1594.68835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.17634,724.3941,-1568.69006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.54619,404.43643,-1634.08081,-428.13724,439.29868,-1526.62,NA,NA,NA,-456.81284,63.76202,-1506.60046
12,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.89742,1232.16309,-1581.1947,-416.64304,1232.52612,-1592.20715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.12004,724.08624,-1561.92065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.92876,404.08932,-1631.9292,-429.53464,440.8989,-1523.55273,NA,NA,NA,-461.95984,64.12627,-1496.40662
13,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.59848,1232.60193,-1578.53137,-418.25485,1231.96777,-1589.36084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.51358,724.55133,-1558.39783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.61031,404.19583,-1628.91797,-431.94287,441.03342,-1516.46521,NA,NA,NA,-464.40732,62.08186,-1490.2489
14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.90865,1233.05981,-1576.05005,-420.89645,1232.01306,-1587.17627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.83894,725.09918,-1554.7865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.55538,402.91867,-1626.10278,-434.98477,439.41232,-1517.90637,NA,NA,NA,-467.99802,64.62605,-1478.78235
15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.74069,1233.49805,-1573.34631,-422.27277,1230.95129,-1583.3623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.82374,725.53973,-1549.47668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.6932,403.31308,-1624.21533,-437.48468,436.78,-1521.49207,NA,NA,NA,-471.4913,65.86567,-1468.25073
16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.48153,1233.15247,-1568.89929,-424.37692,1230.71167,-1580.86853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.38924,725.34271,-1544.23267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.66825,402.80994,-1622.19434,-441.14566,438.85577,-1514.14893,NA,NA,NA,-475.92218,68.79567,-1455.23425
17,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.63181,1232.29773,-1563.30859,-426.79803,1229.90833,-1577.09607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.10485,725.30768,-1539.33667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.01412,403.11917,-1619.20264,-442.34256,439.22632,-1512.42371,NA,NA,NA,-478.3111,67.33615,-1454.30127
18,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.5717,1231.93433,-1558.72241,-428.99976,1230.05713,-1575.33374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.58443,725.9679,-1535.45715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.88803,402.45618,-1617.43787,-445.73831,440.17276,-1500.09741,NA,NA,NA,-482.60992,67.44821,-1446.42151
19,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.7258,1232.54688,-1556.40881,-431.88354,1229.27271,-1571.26501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.55406,726.33325,-1531.07544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.84272,402.70294,-1614.97375,-447.46417,438.14044,-1504.25476,NA,NA,NA,-486.81567,69.66575,-1437.59998
20,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.77313,1232.04456,-1551.37866,-434.20581,1228.29211,-1567.17261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.11094,726.35114,-1526.17297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.64317,401.69818,-1611.48767,-451.29037,438.97736,-1501.5415,NA,NA,NA,-488.58359,69.26646,-1433.70593
21,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.75829,1231.23792,-1545.74573,-437.22226,1227.79272,-1563.65759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.35149,725.1521,-1519.29688,NA,NA,NA,-176.83781,829.5564,-1440.44092,NA,NA,NA,NA,NA,NA,-91.06236,402.16394,-1609.5,-453.45837,438.00763,-1499.85388,NA,NA,NA,-492.02234,71.65134,-1422.06653
22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.46705,1230.86218,-1540.95264,-439.3685,1227.39905,-1561.31213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.98949,725.78876,-1515.42627,NA,NA,NA,-179.54564,829.10114,-1435.70801,NA,NA,NA,NA,NA,NA,-93.32737,401.49332,-1605.07397,-456.43066,436.9978,-1491.75085,NA,NA,NA,-494.61932,72.86921,-1418.42212
