"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,-264.08206,826.08148,-1400.63269,-43.67524,922.51031,-1548.57654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-457.32217,820.25537,-1453.53259,-152.5201,1232.4657,-1502.60046,NA,NA,NA,NA,NA,NA,NA,NA,NA,-519.52893,1218.23071,-1573.81689,-99.29819,66.21048,-1723.91321,NA,NA,NA,NA,NA,NA,-588.25916,65.17849,-1447.13196,-133.09888,402.54132,-1589.09839,-541.37903,426.26694,-1484.24792,2.73236,744.14624,-1441.27991
2,0.01,-269.41025,822.83539,-1397.53943,-47.93476,921.55194,-1541.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-462.23486,819.98865,-1450.00159,-158.68208,1232.75439,-1499.04077,-142.18716,748.21698,338.46091,NA,NA,NA,NA,NA,NA,-525.99939,1216.95801,-1568.49658,-100.21923,68.87403,-1722.83972,NA,NA,NA,NA,NA,NA,-588.75195,64.08941,-1449.26013,-135.73772,401.84732,-1584.04602,-543.92932,424.87653,-1477.7666,-1.41157,744.35986,-1433.35291
3,0.02,-275.25891,822.63098,-1393.47583,-52.82266,922.3634,-1536.20996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-467.94791,818.91559,-1443.01758,-164.59781,1231.80835,-1492.26794,NA,NA,NA,NA,NA,NA,NA,NA,NA,-532.40967,1214.99487,-1561.75269,-100.08485,72.35852,-1723.61389,NA,NA,NA,NA,NA,NA,-589.79236,61.04961,-1447.40039,-140.21359,401.211,-1576.86462,-546.63696,423.80896,-1472.54846,-4.91747,744.66589,-1429.0968
4,0.03,-280.08142,822.58978,-1384.75366,-57.45721,922.14008,-1530.66748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-472.78876,818.06299,-1440.36353,-171.0316,1231.46216,-1486.55872,-243.45665,549.79395,-136.85266,NA,NA,NA,NA,NA,NA,-538.41071,1214.47083,-1558.43579,-101.41326,73.49945,-1721.30847,NA,NA,NA,NA,NA,NA,-590.4519,58.71568,-1445.44592,-143.91734,400.67682,-1571.09216,-550.68842,423.15262,-1463.97009,-8.48885,746.19812,-1422.21985
5,0.04,-286.73334,821.84796,-1381.2041,-63.06472,922.185,-1522.89246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.28528,1231.76929,-1482.35547,NA,NA,NA,NA,NA,NA,-250.26318,550.84265,-134.06519,-545.34082,1212.48767,-1550.89001,-102.69065,76.33297,-1719.70715,NA,NA,NA,NA,NA,NA,-592.35455,58.18245,-1439.37927,-148.66452,399.90796,-1563.61707,-555.61249,421.68997,-1467.25488,-13.04951,747.47626,-1415.65991
6,0.05,-292.32254,822.10565,-1371.71228,-68.58313,922.44836,-1516.4762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-484.24695,816.35913,-1428.22839,-183.70732,1230.76404,-1474.90808,NA,NA,NA,NA,NA,NA,NA,NA,NA,-551.45984,1212.20789,-1547.65356,-104.02713,76.99031,-1716.71912,NA,NA,NA,NA,NA,NA,-593.36877,56.48689,-1436.15784,-152.88304,399.44644,-1557.14783,-560.0127,423.70053,-1455.41736,-17.40756,747.80603,-1408.73413
7,0.06,-299.26376,821.16144,-1369.44373,-74.18344,922.19904,-1510.35754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-490.84003,815.4707,-1418.69714,-190.14648,1230.68945,-1469.51538,NA,NA,NA,NA,NA,NA,NA,NA,NA,-558.45117,1211.1969,-1541.64771,-104.454,83.08994,-1716.09509,NA,NA,NA,NA,NA,NA,-595.28351,55.89351,-1433.64465,-157.5219,398.39529,-1548.51355,-566.70795,421.2211,-1452.22937,-22.18637,748.04333,-1401.3125
8,0.07,-305.10049,822.65924,-1359.22632,-82.31293,922.23242,-1499.92175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-497.32727,816.83136,-1413.21606,-196.43303,1231.15369,-1465.32874,NA,NA,NA,NA,NA,NA,NA,NA,NA,-564.90118,1208.63623,-1532.65161,-105.5814,84.88697,-1712.12781,NA,NA,NA,NA,NA,NA,-597.81842,54.48468,-1433.95068,-162.14996,398.24722,-1540.14868,-571.08502,423.60098,-1444.13477,-26.94712,748.80164,-1394.71008
9,0.08,-312.14893,822.09448,-1355.91675,-86.47437,923.41479,-1496.06958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-502.90228,815.21387,-1410.59387,-202.70703,1230.57825,-1458.33997,NA,NA,NA,NA,NA,NA,NA,NA,NA,-571.83759,1207.92932,-1526.76892,-106.82438,88.55163,-1708.6543,NA,NA,NA,NA,NA,NA,-599.68036,52.5731,-1436.53455,-166.12469,398.9881,-1532.40857,-577.00708,422.22827,-1441.0592,-31.74971,750.05463,-1388.96057
10,0.09,-318.4082,822.19482,-1348.64673,-93.0892,922.38782,-1487.07715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-209.0199,1230.58691,-1452.57898,NA,NA,NA,NA,NA,NA,NA,NA,NA,-578.58258,1207.64465,-1521.31091,-107.95126,93.57091,-1705.29041,NA,NA,NA,NA,NA,NA,-600.95435,50.70625,-1434.55054,-169.9164,398.71875,-1524.18689,-582.11725,420.1962,-1437.91846,-38.21687,750.0047,-1383.12329
