"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-386.67847,1223.48193,-1543.30457,NA,NA,NA,NA,NA,NA,82.59413,913.32941,-1548.48096,NA,NA,NA,114.24044,728.25964,-1451.44116,NA,NA,NA,-123.3559,831.85327,-1406.1665,NA,NA,NA,-162.43254,865.81622,-1729.42786,-42.33635,408.75568,-1585.47546,-447.0939,76.58224,-1403.35522,-63.33958,53.34015,-1675.65808,-403.62436,440.86295,-1477.79871
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-389.31543,1224.10364,-1542.12793,NA,NA,NA,NA,NA,NA,81.3353,913.28345,-1544.86536,NA,NA,NA,112.10294,727.11243,-1446.03186,NA,NA,NA,-124.67897,831.35455,-1403.89148,NA,NA,NA,-164.06847,865.66235,-1725.47388,-43.70248,408.98224,-1582.58411,-450.15424,77.0872,-1396.55383,-63.33958,53.34015,-1675.65808,-406.92059,442.05423,-1464.87427
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-391.87454,1223.37,-1538.27026,NA,NA,NA,NA,NA,NA,79.39749,913.3866,-1541.09204,NA,NA,NA,110.19447,726.30219,-1440.45093,NA,NA,NA,-126.68594,830.78662,-1398.82727,NA,NA,NA,-165.83554,865.50702,-1721.62976,-44.66957,408.55014,-1579.63049,-452.85165,78.67646,-1388.13452,-63.85473,54.4639,-1675.66528,-408.5892,442.30112,-1461.66382
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-394.42453,1221.83667,-1532.26636,NA,NA,NA,NA,NA,NA,77.33259,913.63672,-1537.53162,NA,NA,NA,108.5585,726.11963,-1437.44519,NA,NA,NA,-129.4265,829.14178,-1393.03186,NA,NA,NA,-167.6562,864.7832,-1716.86584,-45.60082,408.19516,-1576.41333,-456.20831,81.437,-1377.66956,-63.83453,54.58304,-1675.38171,-411.6864,441.12592,-1462.32214
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-397.08139,1220.25781,-1526.53833,NA,NA,NA,NA,NA,NA,74.62415,913.21094,-1532.27686,NA,NA,NA,107.34525,726.32336,-1435.21472,NA,NA,NA,-131.99191,829.1322,-1387.43738,NA,NA,NA,-169.68321,864.77271,-1713.0249,-46.3196,408.48834,-1573.67749,-459.35312,82.44777,-1371.59375,-63.62444,54.8602,-1674.55688,-414.80774,440.19138,-1462.19202
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-399.94955,1219.59863,-1522.64893,NA,NA,NA,NA,NA,NA,72.76294,912.47522,-1527.21631,NA,NA,NA,105.25761,725.7821,-1429.47729,NA,NA,NA,-134.16751,828.51636,-1384.94897,NA,NA,NA,-171.72191,864.08319,-1707.93384,-47.51869,407.81348,-1569.84509,-463.13724,82.30898,-1369.03113,-63.62862,55.10755,-1674.01465,-418.90518,439.7934,-1453.43262
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-402.59933,1219.79553,-1521.04846,NA,NA,NA,NA,NA,NA,70.39324,912.72754,-1523.15332,NA,NA,NA,103.89841,725.47327,-1426.76917,NA,NA,NA,-138.23216,828.74957,-1380.01685,NA,NA,NA,-174.00435,863.39618,-1703.19104,-48.43928,407.47614,-1566.52405,-467.04517,81.63307,-1364.16492,-63.65371,55.39785,-1673.3988,-419.98242,439.81302,-1450.02197
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-405.95731,1219.13184,-1517.02136,NA,NA,NA,NA,NA,NA,67.48743,912.9552,-1519.18372,NA,NA,NA,98.07133,726.5282,-1422.39868,NA,NA,NA,-141.28569,827.90509,-1376.84375,NA,NA,NA,-176.3889,862.95398,-1698.68799,-50.4528,407.00644,-1561.26147,-468.95782,80.20147,-1359.82788,-62.69558,56.60695,-1673.47925,-422.59958,439.58551,-1442.80994
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-409.13953,1218.51221,-1513.24597,NA,NA,NA,NA,NA,NA,64.62598,912.46082,-1513.66284,NA,NA,NA,96.86803,724.73535,-1420.16785,NA,NA,NA,-143.54536,826.33307,-1373.43201,NA,NA,NA,-178.93309,862.26355,-1693.9978,-51.362,407.0542,-1557.91614,-471.82312,82.2114,-1350.23669,-62.7998,56.89252,-1672.95422,-423.94797,437.47018,-1440.16455
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-412.72644,1217.06494,-1507.47351,NA,NA,NA,NA,NA,NA,62.00694,911.70081,-1507.60901,NA,NA,NA,95.17274,723.61664,-1415.9729,NA,NA,NA,-145.96947,826.15723,-1365.93628,-341.16922,826.94446,-1406.2052,-181.57632,861.38409,-1688.57385,-52.89745,406.53232,-1553.75818,-473.23651,79.92842,-1348.80115,-62.1636,59.05596,-1673.65833,-426.83078,439.60165,-1430.22107
