"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,-369.02026,1211.94653,-1564.32349,-9.35936,61.19383,-1694.48584,109.67358,910.01855,-1530.18054,-10.94033,402.97321,-1560.73877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-387.82666,440.97961,-1471.79175,10.34697,1226.43555,-1502.48035,NA,NA,NA,139.09679,719.84991,-1433.35425,-107.71198,829.53241,-1399.68237,-125.59003,856.0354,-1729.2157,NA,NA,NA,-301.76993,826.37274,-1455.44873,-450.18115,75.34263,-1413.12769
2,0.01,NA,NA,NA,NA,NA,NA,-373.00452,1211.80322,-1561.46033,-9.35936,61.19383,-1694.48584,106.58994,908.99744,-1524.18323,-12.50055,402.56952,-1557.10266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-392.14291,439.108,-1470.17505,7.55197,1225.6073,-1497.10693,NA,NA,NA,136.26134,720.28064,-1428.67993,-110.63736,828.54962,-1392.84021,-128.6691,855.27673,-1724.62708,NA,NA,NA,-305.45932,824.03046,-1448.92944,-456.02203,73.70106,-1410.1217
3,0.02,NA,NA,NA,NA,NA,NA,-376.75729,1210.31616,-1555.83826,-9.4081,61.66953,-1693.45276,103.48267,908.86053,-1519.57568,-15.34291,401.7706,-1554.29919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-395.73718,437.79929,-1470.1781,3.2789,1225.68091,-1493.85706,131.321,717.84607,-1421.86218,NA,NA,NA,-114.19472,827.20459,-1387.00781,-132.00339,854.27252,-1719.71313,NA,NA,NA,-308.38684,823.82886,-1447.25903,-460.54742,77.0499,-1398.59314
4,0.03,NA,NA,NA,NA,NA,NA,-380.16614,1208.78052,-1550.39832,-9.44759,63.89084,-1693.20227,100.10871,908.63904,-1514.80835,-17.6749,400.73276,-1550.27148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-399.6669,438.18509,-1459.78979,-0.75056,1223.83911,-1485.79932,128.86259,718.4704,-1416.28149,NA,NA,NA,-118.12545,826.58533,-1386.10754,-135.46335,853.69855,-1714.94788,NA,NA,NA,-312.77084,824.72723,-1438.22827,-464.92166,75.50471,-1396.51794
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.73022,65.69354,-1694.13647,96.2885,907.66724,-1508.46924,-19.62518,400.83356,-1547.98254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-403.17285,439.10269,-1449.87488,-4.34258,1223.55505,-1481.44775,NA,NA,NA,-122.17094,825.93103,-1380.74463,NA,NA,NA,-139.12715,852.96509,-1710.09119,NA,NA,NA,-315.97186,821.94263,-1437.08423,-468.26331,72.93998,-1399.60217
6,0.05,NA,NA,NA,NA,NA,NA,-388.49869,1208.13367,-1543.79871,-8.95867,67.49851,-1693.26428,92.71719,907.93457,-1504.50061,-22.50429,400.19821,-1544.45447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-407.39688,437.05069,-1452.51953,-8.87071,1222.95154,-1475.99048,NA,NA,NA,NA,NA,NA,-124.89881,824.96887,-1376.11743,-143.01097,852.03088,-1704.88989,119.97675,716.78705,-1405.35107,-319.13892,820.81866,-1432.505,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,-392.61887,1206.7229,-1538.19507,-9.05134,67.76596,-1692.74426,88.74339,907.24255,-1498.99194,-25.08318,399.65866,-1540.41919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-411.83307,434.90625,-1445.19861,-13.16466,1221.79712,-1469.49902,NA,NA,NA,NA,NA,NA,NA,NA,NA,-147.07289,851.43353,-1700.03381,115.77629,716.35101,-1401.51062,-324.9129,820.67133,-1421.66394,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,-396.86951,1206.07935,-1534.1106,-10.08265,68.02074,-1692.1189,84.45232,906.58624,-1492.73889,-28.9717,399.0961,-1536.77344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-414.40363,435.02426,-1439.33337,-18.12547,1222.81567,-1467.61377,NA,NA,NA,NA,NA,NA,-133.55811,824.02087,-1366.86914,-151.32661,850.48712,-1694.80164,110.8924,715.66223,-1394.53345,-328.61389,820.93683,-1417.96289,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,-401.64478,1204.8667,-1528.3418,-10.21879,68.98141,-1690.06677,80.16074,906.58795,-1488.1864,-30.81677,398.69836,-1533.98425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-417.49377,432.69595,-1435.30505,-22.36581,1221.66895,-1460.60681,NA,NA,NA,NA,NA,NA,-137.54607,823.27344,-1361.26196,-155.76762,850.17407,-1690.09998,107.34066,715.71265,-1389.6543,-331.6937,818.32941,-1416.20264,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,-406.0451,1204.07959,-1523.70093,-10.6539,70.39507,-1689.60352,72.83161,905.25006,-1476.10376,-34.25053,398.6532,-1531.27991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-423.3248,430.75772,-1430.33765,-27.14687,1221.09167,-1454.82288,NA,NA,NA,NA,NA,NA,-141.40857,821.51898,-1353.61804,-160.31839,849.27197,-1684.65723,103.2681,714.8208,-1385.22668,-336.63931,818.13806,-1410.41235,NA,NA,NA
