"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.40945,924.10754,-1578.06152,NA,NA,NA,-10.97559,748.31311,-1461.77771,-614.34979,960.07153,-1536.35046,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.4225,419.40799,-1512.59692,-492.86658,409.08548,-1500.21912,-184.13617,51.35024,-1548.98218,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.51059,924.20941,-1578.97131,NA,NA,NA,-10.78552,748.5755,-1463.43506,-614.35553,960.12012,-1536.08301,NA,NA,NA,NA,NA,NA,NA,NA,NA,-158.86093,419.62003,-1513.58228,-492.8613,409.08936,-1500.19263,-184.10588,51.19298,-1549.2699,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.54321,923.92444,-1579.32422,NA,NA,NA,-10.11619,748.60547,-1466.06616,-614.39093,960.03101,-1535.63867,NA,NA,NA,NA,NA,NA,NA,NA,NA,-158.84142,419.64334,-1513.60059,-492.85425,409.09454,-1500.15735,-184.10588,51.19298,-1549.2699,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.78512,924.11755,-1580.65369,NA,NA,NA,-10.03661,748.73248,-1466.51147,-614.40167,960.11511,-1535.38635,NA,NA,NA,NA,NA,NA,NA,NA,NA,-158.79991,419.54541,-1513.75916,-492.85425,409.09454,-1500.15735,-184.10588,51.19298,-1549.2699,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.92744,924.0564,-1581.35022,NA,NA,NA,-9.7203,748.56482,-1467.55115,-614.44659,960.0238,-1534.88452,NA,NA,NA,NA,NA,NA,NA,NA,NA,-158.88426,419.55768,-1514.0343,-492.38965,408.85733,-1502.16968,-184.10588,51.19298,-1549.2699,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.03522,923.97449,-1582.01331,NA,NA,NA,-9.60042,748.1225,-1468.44116,-614.42651,960.22314,-1534.90735,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.00368,419.51138,-1514.5769,-492.84357,409.10239,-1500.10388,-184.23558,51.12523,-1549.55933,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.15889,923.75531,-1582.5509,NA,NA,NA,-9.28336,748.43958,-1470.33997,-614.44055,960.25269,-1534.61365,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.13152,419.38257,-1515.09607,-492.37701,408.86661,-1502.10645,-184.10588,51.19298,-1549.2699,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.30197,923.68066,-1583.19202,NA,NA,NA,-9.2586,748.27185,-1471.09766,-614.4491,960.18561,-1534.15588,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.04813,419.80035,-1515.93286,-492.34387,408.89099,-1501.94019,-184.23558,51.12523,-1549.55933,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.59335,924.00403,-1584.54602,NA,NA,NA,-9.29627,748.02625,-1472.03784,-614.44501,960.3197,-1534.0542,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.08926,419.80872,-1515.95801,-492.34387,408.89099,-1501.94019,-184.23558,51.12523,-1549.55933,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.81018,923.78467,-1585.10693,NA,NA,NA,-9.13151,747.73743,-1472.52063,-614.45679,960.34125,-1533.78015,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.10385,419.76483,-1516.21008,-492.7764,409.1517,-1499.76733,-184.23558,51.12523,-1549.55933,NA,NA,NA
