"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.67342,1085.55164,-1366.33301,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.12862,1037.41736,-1369.4209,-235.38618,1023.27478,-1407.13049,-65.18022,917.28662,-1609.80334,68.40549,416.06616,-1434.50977,NA,NA,NA,61.65646,55.63513,-1471.54419,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.58113,1085.52576,-1360.75403,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.18067,1037.86951,-1361.94751,-238.72925,1024.49487,-1400.16602,-66.96706,916.68353,-1606.98462,66.14223,416.52713,-1431.49988,NA,NA,NA,61.63705,55.47498,-1471.69604,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.07562,1085.74719,-1355.90735,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.05809,1036.2749,-1363.42273,-241.46147,1022.35449,-1403.86218,-68.94207,916.13812,-1604.39294,64.93543,416.29147,-1430.0929,NA,NA,NA,60.97533,55.90485,-1469.40564,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.43417,1084.7594,-1355.26282,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.82591,1037.31702,-1355.79626,-243.69528,1021.80457,-1400.68396,-71.04276,915.75598,-1601.79272,62.12819,415.28699,-1425.63489,NA,NA,NA,60.99417,55.88103,-1469.23145,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.75292,1084.50781,-1350.22668,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.71117,1036.47119,-1358.03198,-246.38568,1022.35547,-1397.91699,-73.36121,915.29675,-1599.20276,59.91922,414.54691,-1423.33167,NA,NA,NA,61.56495,54.69791,-1470.99512,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.68849,1083.61011,-1344.68311,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.34573,1036.33728,-1351.91943,-249.56953,1020.82922,-1395.31824,-75.69945,914.76239,-1596.3075,58.47982,414.46768,-1421.72278,NA,NA,NA,61.4188,53.58648,-1469.67126,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.61552,1083.21387,-1341.55396,NA,NA,NA,NA,NA,NA,NA,NA,NA,-125.53561,1034.76318,-1350.73804,-252.46719,1020.4198,-1392.15625,-78.243,914.15985,-1593.15723,57.09967,414.33005,-1421.01196,NA,NA,NA,61.44974,53.52697,-1469.38391,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.01743,1083.54114,-1337.16199,NA,NA,NA,NA,NA,NA,NA,NA,NA,-129.92503,1034.41943,-1347.39661,-255.62341,1019.43463,-1391.05176,-80.91204,913.54327,-1590.07703,54.04081,414.61658,-1418.00208,NA,NA,NA,61.12617,53.18402,-1468.20898,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.21877,1082.50647,-1334.31287,NA,NA,NA,NA,NA,NA,NA,NA,NA,-131.63452,1034.03809,-1348.44324,-258.12112,1020.1673,-1387.16309,-83.79017,912.82867,-1587.14307,52.41097,413.20023,-1415.44751,NA,NA,NA,61.15128,53.11922,-1467.97351,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.75052,1081.25378,-1329.23792,NA,NA,NA,NA,NA,NA,NA,NA,NA,-136.933,1033.99707,-1339.65356,-262.71982,1019.14417,-1381.78625,-86.67561,912.01031,-1583.55005,51.23727,413.11057,-1413.95007,NA,NA,NA,61.15263,52.92027,-1467.93286,NA,NA,NA
11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.59014,1080.90332,-1323.15662,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139.38455,1032.94421,-1337.87964,-266.02344,1018.14551,-1379.35229,-89.9621,911.39679,-1580.9635,48.34951,412.73419,-1411.04199,NA,NA,NA,61.13139,52.70832,-1468.09375,NA,NA,NA
12,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.52312,1080.04871,-1319.61841,NA,NA,NA,NA,NA,NA,NA,NA,NA,-143.3477,1032.08545,-1337.65649,-269.83408,1018.19714,-1376.48816,-93.1684,910.32269,-1576.94788,46.58646,411.93106,-1409.19348,NA,NA,NA,61.10881,52.39761,-1468.25159,NA,NA,NA
13,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.28679,1079.21191,-1318.14233,NA,NA,NA,NA,NA,NA,NA,NA,NA,-147.60999,1031.16199,-1331.22412,-272.88644,1016.73145,-1373.17993,-96.67751,909.54016,-1573.92249,45.19612,412.18311,-1409.09692,NA,NA,NA,61.08849,52.04951,-1468.38208,NA,NA,NA
14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.34817,1078.12903,-1308.99426,NA,NA,NA,NA,NA,NA,NA,NA,NA,-152.17192,1030.1665,-1326.83032,-277.2829,1014.35431,-1373.78357,-100.22484,908.0752,-1569.56421,41.22486,410.4162,-1404.00696,NA,NA,NA,61.07242,51.86681,-1468.49902,NA,NA,NA
15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.40161,1077.49683,-1304.61902,NA,NA,NA,NA,NA,NA,NA,NA,NA,-155.24965,1028.66443,-1327.57007,-281.763,1015.505,-1367.18237,-104.04465,907.42877,-1566.52759,40.30811,410.71378,-1403.67346,NA,NA,NA,61.09278,51.80968,-1468.30481,NA,NA,NA
16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.89825,1076.03845,-1306.11609,NA,NA,NA,NA,NA,NA,NA,NA,NA,-160.21564,1027.40405,-1320.02417,-286.79745,1014.44635,-1360.39185,-107.92208,905.98395,-1562.12097,38.62554,410.14673,-1402.13916,NA,NA,NA,60.97511,50.93575,-1467.52942,NA,NA,NA
17,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.52151,1074.74609,-1296.76428,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.41006,1027.03528,-1317.77698,-291.18683,1011.94781,-1361.66785,-112.05964,905.29913,-1558.66589,35.07845,409.19598,-1399.14575,NA,NA,NA,61.03029,50.98888,-1467.03723,NA,NA,NA
18,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.83558,1074.26599,-1291.27466,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.11922,1025.77368,-1310.25244,-295.35074,1010.45367,-1357.57117,-116.38225,904.15057,-1554.48608,33.42748,407.49341,-1396.43457,NA,NA,NA,61.07126,51.04871,-1466.6748,NA,NA,NA
19,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.93969,1072.95142,-1287.46985,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.659,1025.30273,-1306.51782,-300.43979,1009.00299,-1355.28064,-120.73472,903.04797,-1550.14343,30.10126,407.20016,-1394.28955,NA,NA,NA,61.10181,51.0458,-1466.39697,NA,NA,NA
20,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66842,1071.94128,-1283.67932,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180.93433,1022.84241,-1305.94238,-305.78546,1009.51971,-1348.88196,-125.34326,902.16272,-1546.07043,27.49728,406.92987,-1392.20337,NA,NA,NA,61.12657,51.09348,-1466.17957,NA,NA,NA
21,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26658,1070.27124,-1277.55164,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.63174,1022.80731,-1298.11572,-312.19705,1007.20575,-1346.40088,-130.13268,901.203,-1541.81396,24.82378,406.49747,-1389.3468,NA,NA,NA,60.52324,51.49361,-1464.10815,NA,NA,NA
22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.35043,1069.28772,-1273.55383,NA,NA,NA,NA,NA,NA,NA,NA,NA,-193.05615,1020.92737,-1297.51208,-317.82126,1007.60596,-1341.70508,-135.09981,900.13696,-1537.2738,21.9261,405.36008,-1386.36267,NA,NA,NA,60.53198,51.5192,-1464.03296,NA,NA,NA
23,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.60036,1068.56104,-1268.94385,NA,NA,NA,NA,NA,NA,NA,NA,NA,-199.67429,1019.71667,-1290.21191,-323.99893,1006.42072,-1338.56665,-140.36368,899.11676,-1532.8634,19.48692,404.71246,-1384.47546,NA,NA,NA,60.5308,51.49142,-1464.03918,NA,NA,NA
