"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
19,0.18,"","","","","","","","","","","","","","","","-21.78924","1409.64856","2550.78320","","","","","","","","","","64.14768","1071.95898","2617.06177","","","","","","","","","","-197.25952","1009.44293","2666.08228","","","","","","","18.02565","526.59918","2430.50684","","","","-0.08940","218.29579","2575.87573",NA,"P3",18,5
20,0.19,"","","","","","","","","","","","","","","","-21.45382","1408.96387","2548.20483","","","","","","","","","","64.72775","1071.77966","2615.87061","","","","","","","","","","-196.99805","1009.39380","2663.70044","","","","","","","20.66879","527.66711","2425.89624","","","","1.61512","219.80666","2571.73828",NA,"P3",18,5
21,0.2,"","","","","","","","","","","","","","","","-20.67531","1408.68799","2545.73901","","","","","","","","","","64.80950","1071.53613","2615.35205","","","","","","","","","","-196.72298","1009.11340","2661.41016","","","","","","","23.07838","529.10278","2422.13965","","","","3.99466","221.42943","2565.40088",NA,"P3",18,5
22,0.21,"","","","","","","","","","","","","","","","-19.94101","1408.32813","2543.90918","","","","","","","","","","64.88006","1071.34009","2614.49390","","","","","","","","","","-196.56366","1009.35004","2659.96069","","","","","","","25.38225","530.46094","2418.30518","","","","6.56506","220.17865","2559.13965",NA,"P3",18,5
23,0.22,"","","","","","","","","","","","","","","","-18.88525","1407.99573","2541.49683","","","","","","","","","","65.08501","1071.05005","2613.33057","","","","","","","","","","-195.86183","1008.92505","2657.72363","","","","","","","27.86817","531.92902","2414.22729","","","","9.39322","220.80797","2552.47095",NA,"P3",18,5
24,0.23,"","","","","","","","","","","","","","","","-18.54731","1407.78601","2539.62207","","","","","","","","","","65.26751","1070.91638","2611.99878","","","","","","","","","","-195.63788","1008.75525","2655.40698","","","","","","","29.96456","533.15332","2410.73828","","","","12.97828","221.75629","2546.13428",NA,"P3",18,5
25,0.24,"","","","","","","","","","","","","","","","-17.57075","1407.11121","2536.73389","","","","","","","","","","65.94151","1070.42029","2610.23462","","","","","","","","","","-195.35484","1008.44751","2652.75708","","","","","","","32.40954","534.44214","2407.14453","","","","15.62740","220.36235","2537.88330",NA,"P3",18,5
26,0.25,"","","","","","","","","","","","","","","","-16.80764","1406.20630","2533.96069","","","","","","","","","","66.26264","1070.34387","2608.94702","","","","","","","","","","-194.89064","1008.06403","2649.95874","","","","","","","34.38813","535.17188","2402.64404","","","","20.23646","219.57471","2530.35547",NA,"P3",18,5
27,0.26,"","","","","","","","","","","","","","","","-15.81423","1405.51758","2531.31592","","","","","","","","","","66.64924","1070.00122","2607.84814","","","","","","","","","","-194.05406","1007.76886","2647.61670","","","","","","","36.73305","536.12396","2399.11035","","","","24.18412","218.04701","2521.55591",NA,"P3",18,5
28,0.27,"","","","","","","","","","","","","","","","-14.43285","1405.00745","2528.61304","","","","","","","","","","67.41353","1069.04480","2605.64844","","","","","","","","","","-193.63416","1007.83075","2645.37793","","","","","","","38.61914","536.81329","2394.92383","","","","28.01938","215.83858","2511.73804",NA,"P3",18,5
