"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","","","","","","","-239.90598","951.81921","-1635.46582","","","","-280.25598","768.06049","-1549.59766","","","","-388.12463","810.92529","-1574.29114","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
2,0.01,"","","","","","","","","","","","","","","","","","","","","","","","","-241.64952","951.98181","-1632.66455","","","","-281.21457","768.52460","-1547.68115","","","","-389.51212","810.92578","-1572.18250","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
3,0.02,"","","","","","","","","","","","","","","","","","","","","","","","","-243.34714","952.13849","-1629.87817","","","","-283.61392","768.52930","-1540.30359","","","","-390.92468","810.94025","-1570.36279","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
4,0.03,"","","","","","","","","","","","","","","","","","","","","","","","","-244.84686","952.85693","-1627.88733","","","","-283.90448","767.96655","-1541.87854","","","","-392.08826","810.95898","-1570.11938","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
5,0.04,"","","","","","","","","","","","","","","","","","","","","","","","","-245.66460","953.44904","-1625.76440","","","","-285.81094","768.84497","-1537.00720","","","","-394.16986","812.10242","-1565.12708","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
6,0.05,"","","","","","","","","","","","","","","","","","","","","","","","","-248.10214","951.82086","-1618.95715","","","","-287.27344","768.68195","-1534.30371","","","","-394.97147","812.12646","-1563.28174","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
7,0.06,"","","","","","","","","","","","","","","","","","","","","","","","","-249.06938","951.78589","-1615.37537","","","","-289.62939","769.18268","-1530.49902","","","","-396.48151","813.70190","-1557.67310","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
8,0.07,"","","","","","","","","","","","","","","","","","","","","","","","","-249.76445","952.46423","-1612.92712","","","","-290.88190","768.31494","-1530.98413","","","","-397.25668","813.79236","-1555.71045","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
9,0.08,"","","","","","","","","","","","","","","","","","","","","","","","","-251.23515","952.76147","-1609.58557","","","","-292.10818","767.45624","-1529.44836","","","","-398.33548","814.82593","-1552.15515","","","","","","","","","","","","","","","","","","",NA,"P3",23,3
10,0.09,"","","","","","","","","","","","","","","","-672.18439","1288.90564","-1659.16736","","","","","","","-252.61572","953.07953","-1606.15149","","","","-293.99838","767.74622","-1525.12134","","","","-399.75293","815.91541","-1546.78394","","","","","","","","","","","","","","","","","","",NA,"P3",23,4
11,0.1,"","","","","","","","","","","","","","","","-673.60547","1289.61389","-1656.36731","","","","","","","-253.26860","953.77484","-1603.64661","","","","-294.64545","767.40143","-1523.92249","","","","-401.23294","816.87787","-1540.68323","","","","","","","","","","","","","","","","","","",NA,"P3",23,4
12,0.11,"","","","","","","","","","","","","","","","-674.78265","1289.06128","-1651.35571","","","","","","","-254.46631","954.58197","-1601.29053","","","","-295.74326","767.70660","-1520.17676","","","","-401.65521","816.99829","-1538.44812","","","","","","","","","","","","","","","","","","",NA,"P3",23,4
13,0.12,"","","","","","","","","","","","","","","","-675.62323","1290.22839","-1650.45435","","","","","","","-255.04251","952.70526","-1594.16394","","","","-296.80283","768.17523","-1516.41064","","","","-402.10654","817.07526","-1536.35974","","","","","","","","","","","","","","","","","","",NA,"P3",23,4
14,0.13,"","","","","","","","","","","","","","","","-677.05933","1288.08191","-1642.08057","","","","","","","-256.75958","952.88293","-1590.42249","","","","-297.61343","768.27637","-1512.70520","","","","-403.55975","818.06647","-1530.16064","","","","","","","","","","","","","","","","","","",NA,"P3",23,4
15,0.14,"","","","","","","","","","","","","","","","-678.10052","1288.53430","-1639.85547","","","","","","","-257.55063","953.02222","-1587.10645","","","","-298.58984","767.20569","-1509.43347","","","","-404.43335","817.98694","-1526.99658","","","","","","","","","","","","","-399.36206","128.55910","-1522.79419","","","",NA,"P3",23,5
16,0.15,"","","","","","","","","","","","","","","","-679.30267","1287.63574","-1634.70251","","","","","","","-258.12299","953.65375","-1584.85046","","","","-299.09790","766.34955","-1507.38550","","","","-405.09491","818.00745","-1524.47058","","","","","","","","","","","","","-402.95367","126.30400","-1501.14685","","","",NA,"P3",23,5
17,0.16,"","","","","","","","","","","","","","","","-679.88385","1288.20203","-1633.49707","","","","","","","-258.91241","953.76727","-1581.64136","","","","-299.70499","765.50580","-1503.37952","","","","-405.93710","816.08179","-1522.07092","","","","","","","","","","","","","-407.73376","123.46080","-1478.49255","","","",NA,"P3",23,5
18,0.17,"","","","","","","","","","","","","","","","-681.82758","1285.83215","-1624.60474","","","","","","","-259.70410","950.61810","-1572.16309","","","","-300.38156","764.30273","-1499.40515","","","","-407.47437","816.47479","-1515.62952","","","","","","","","","","","","","-412.21664","119.82631","-1461.47559","","","",NA,"P3",23,5
19,0.18,"","","","","","","","","","","","","","","","-682.72253","1285.65894","-1621.47400","","","","","","","-261.05759","950.83783","-1569.10803","","","","-300.81763","764.25018","-1493.70752","","","","-408.67850","816.00946","-1510.34338","","","","","","","","","","","","","-416.15955","114.56306","-1446.29150","","","",NA,"P3",23,5
20,0.19,"","","","","","","","","","","","","","","","-683.86493","1286.20007","-1619.62061","","","","","","","-261.62045","951.46716","-1566.87891","","","","-301.12439","764.29279","-1487.31226","","","","-409.35999","815.48199","-1505.85486","","","","","","","","","","","","","-420.41553","112.18184","-1423.22351","","","",NA,"P3",23,5
21,0.2,"","","","","","","","","","","","","","","","-684.92914","1283.28027","-1610.14929","","","","","","","-262.32675","948.83887","-1558.42688","","","","-301.08792","762.12750","-1485.03430","","","","-410.36270","815.37433","-1502.22473","","","","","","","","","","","","","-424.48904","108.75908","-1408.01001","","","",NA,"P3",23,5
