"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","","","","","","","0.56569","973.38300","-1805.13879","","","","","","","","","","-133.48091","817.92755","-1685.08521","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
2,0.01,"","","","","","","","","","","","","","","","","","","","","","","","","0.55933","973.36554","-1805.21057","","","","","","","","","","-133.50569","817.88458","-1685.24341","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
3,0.02,"","","","","","","","","","","","","","","","","","","","","","","","","0.56027","973.34833","-1805.28479","","","","","","","","","","-133.43152","818.02356","-1684.77112","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
4,0.03,"","","","","","","","","","","","","","","","","","","","","","","","","0.54856","973.31714","-1805.41235","","","","","","","","","","-133.34360","818.14160","-1684.20667","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
5,0.04,"","","","","","","","","","","","","","","","","","","","","","","","","0.53625","973.29437","-1805.50403","","","","","","","","","","-132.59244","817.70569","-1686.40918","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
6,0.05,"","","","","","","","","","","","","","","","","","","","","","","","","0.53126","973.27039","-1805.60400","","","","","","","","","","-132.54614","817.76678","-1686.11157","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
7,0.06,"","","","","","","","","","","","","","","","","","","","","","","","","0.51343","973.25134","-1805.67688","","","","","","","","","","-132.47618","817.86218","-1685.66211","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
8,0.07,"","","","","","","","","","","","","","","","","","","","","","","","","0.51947","973.21692","-1805.82715","","","","","","","","","","-132.44205","817.93109","-1685.44482","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
9,0.08,"","","","","","","","","","","","","","","","","","","","","","","","","0.51883","973.19275","-1805.93042","","","","","","","","","","-132.41301","817.96832","-1685.25806","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
10,0.09,"","","","","","","","","","","","","","","","","","","","","","","","","0.53591","973.17310","-1806.02319","","","","","","","","","","-132.36461","818.05469","-1684.94910","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
11,0.1,"","","","","","","","","","","","","","","","","","","","","","","","","0.52750","973.15247","-1806.10742","","","","","","","","","","-132.35236","818.08075","-1684.87134","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
12,0.11,"","","","","","","","","","","","","","","","","","","","","","","","","0.55279","973.13757","-1806.18359","","","","","","","","","","-132.38937","818.04443","-1685.11060","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
13,0.12,"","","","","","","","","","","","","","","","","","","","","","","","","0.57661","973.11975","-1806.27185","","","","","","","","","","-132.30791","818.15576","-1684.58716","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
14,0.13,"","","","","","","","","","","","","","","","","","","","","","","","","0.60363","973.10919","-1806.33044","","","","","","","","","","-132.30965","818.17175","-1684.60010","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
15,0.14,"","","","","","","","","","","","","","","","","","","","","","","","","0.62707","973.09351","-1806.40930","","","","","","","","","","-132.26683","818.23822","-1684.32581","","","","","","","","","","","","","","","","","","",NA,"P3",2,2
