"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","-105.06440","1409.42102","2596.87939","","","","","","","","","","-24.43037","1073.88135","2676.25073","","","","","","","","","","","","","","","","","","","-32.88915","532.35718","2481.13330","","","","-29.89588","205.32103","2577.45142",NA,"P3",15,4
2,0.01,"","","","","","","","","","","","","","","","-103.44611","1408.48975","2593.83984","","","","","","","","","","-23.55371","1073.92261","2674.44629","","","","","","","","","","","","","","","","","","","-30.43577","532.32336","2478.82471","","","","-24.45214","203.59415","2568.55518",NA,"P3",15,4
3,0.02,"","","","","","","","","","","","","","","","-101.76372","1407.96545","2590.52515","","","","","","","","","","-22.14448","1073.28357","2672.30713","","","","","","","","","","","","","","","","","","","-28.01103","532.36902","2475.74170","","","","-18.60679","202.36398","2558.96582",NA,"P3",15,4
4,0.03,"","","","","","","","","","","","","","","","-100.15423","1407.24133","2588.02100","","","","","","","","","","-21.39705","1073.29553","2670.99902","","","","","","","","","","","","","","","","","","","-25.78097","532.74396","2473.53223","","","","-12.48228","200.63715","2549.24146",NA,"P3",15,4
5,0.04,"","","","","","","","","","","","","","","","-98.13469","1406.57019","2584.83130","","","","","","","","","","-19.52200","1072.41077","2668.17944","","","","","","","","","","","","","","","","","","","-23.78824","533.12329","2471.15942","","","","-6.60831","198.67166","2539.74854",NA,"P3",15,4
6,0.05,"","","","","","","","","","","","","","","","-95.89948","1406.14417","2581.52954","","","","","","","","","","-17.65938","1071.74097","2665.20044","","","","","","","","","","","","","","","","","","","-21.00904","532.40466","2468.50757","","","","-0.59607","197.45303","2529.46240",NA,"P3",15,4
7,0.06,"","","","","","","","","","","","","","","","-94.06044","1405.40259","2578.89209","","","","","","","","","","-16.44257","1071.27417","2663.30518","","","","","","","","","","","","","","","","","","","-17.86189","531.75018","2467.96997","","","","5.48641","196.35530","2519.41040",NA,"P3",15,4
8,0.07,"","","","","","","","","","","","","","","","-91.80107","1404.60681","2575.43872","","","","","","","","","","-14.67065","1070.58740","2660.38403","","","","","","","","","","","","","","","","","","","-15.45386","531.76440","2465.36548","","","","11.92822","195.32156","2508.92993",NA,"P3",15,4
9,0.08,"","","","","","","","","","","","","","","","-89.39249","1403.84900","2571.92554","","","","","","","","","","-12.88406","1069.84668","2657.73657","","","","","","","","","","","","","","","","","","","-13.16901","532.01544","2463.31128","","","","18.26386","194.44177","2499.29614",NA,"P3",15,4
10,0.09,"","","","","","","","","","","","","","","","-87.01494","1402.96399","2568.94849","","","","","","","","","","-10.70649","1069.10730","2654.93213","","","","","","","","","","","","","","","","","","","-10.84896","531.66272","2461.39063","","","","24.05088","193.77882","2489.17407",NA,"P3",15,4
