"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.49208,1211.81311,2346.24487,NA,NA,NA,NA,NA,NA,-323.18671,987.90027,2328.5,NA,NA,NA,NA,NA,NA,-391.1936,498.81863,2086.53516,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.71666,1211.43127,2341.87549,NA,NA,NA,NA,NA,NA,-323.02939,987.66925,2323.16919,NA,NA,NA,NA,NA,NA,-391.88907,498.57202,2083.62988,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.64357,1211.38538,2338.40771,NA,NA,NA,NA,NA,NA,-322.8006,987.75159,2318.10352,NA,NA,NA,NA,NA,NA,-392.4422,497.92538,2082.47437,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.93813,1210.99988,2334.46631,NA,NA,NA,NA,NA,NA,-322.50732,987.42773,2312.05005,NA,NA,NA,NA,NA,NA,-393.29663,498.19757,2080.01294,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-284.91937,1484.87244,2281.13452,NA,NA,NA,-13.85715,1210.63611,2330.29541,NA,NA,NA,NA,NA,NA,-322.31546,987.97839,2307.74194,NA,NA,NA,NA,NA,NA,-393.5874,497.33859,2077.50146,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-284.75058,1485.22278,2275.81836,NA,NA,NA,-15.39071,1209.91431,2326.21191,NA,NA,NA,NA,NA,NA,-321.76294,987.60748,2302.29492,NA,NA,NA,NA,NA,NA,-394.32208,497.77426,2074.75586,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-284.43555,1485.65356,2270.89258,NA,NA,NA,-16.72047,1209.48718,2322.47266,NA,NA,NA,NA,NA,NA,-320.77658,987.14703,2297.01001,NA,NA,NA,NA,NA,NA,-394.59109,497.55209,2074.55249,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-283.43826,1485.5885,2264.78491,NA,NA,NA,-18.23169,1209.2489,2318.69141,NA,NA,NA,NA,NA,NA,-320.43994,987.46027,2293.26343,NA,NA,NA,NA,NA,NA,-394.73929,497.33063,2074.25586,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-283.30423,1486.57849,2260.55322,NA,NA,NA,-19.66332,1208.20996,2313.80688,NA,NA,NA,NA,NA,NA,-318.90982,986.69574,2287.0293,NA,NA,NA,NA,NA,NA,-395.65112,498.27975,2071.96655,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-282.33228,1487.22327,2254.64551,NA,NA,NA,-20.99943,1208.21399,2310.32495,NA,NA,NA,NA,NA,NA,-318.03119,986.99463,2282.71606,NA,NA,NA,NA,NA,NA,-395.82211,498.11282,2070.01538,NA,NA,NA,NA,NA,NA,NA,NA,NA
