"Participant","TrialNum","ok","reason","n_rows","ConditionKey","TrialInBlock","ConditionID","ConditionLabel","Mode","Composition","Collider"
"P2",8,FALSE,"No BoxA/BoxB markers available; prop parse failed",932,"c10",1,10,"VR 2R0V + Collider2","VR","2R0V",2
"P2",9,FALSE,"No BoxA/BoxB markers available; prop parse failed",622,"c10",2,10,"VR 2R0V + Collider2","VR","2R0V",2
"P2",10,FALSE,"No BoxA/BoxB markers available; prop parse failed",837,"c10",3,10,"VR 2R0V + Collider2","VR","2R0V",2
"P2",11,FALSE,"No BoxA/BoxB markers available; prop parse failed",1163,"c12",1,12,"VR 2R0V + Collider1","VR","2R0V",1
"P2",12,FALSE,"No BoxA/BoxB markers available; prop parse failed",653,"c12",2,12,"VR 2R0V + Collider1","VR","2R0V",1
"P2",13,FALSE,"No BoxA/BoxB markers available; prop parse failed",567,"c12",3,12,"VR 2R0V + Collider1","VR","2R0V",1
"P2",14,FALSE,"No BoxA/BoxB markers available; prop parse failed",781,"c4",1,4,"AR 1R1V + Collider2","AR","1R1V",2
"P2",15,FALSE,"No BoxA/BoxB markers available; prop parse failed",440,"c4",2,4,"AR 1R1V + Collider2","AR","1R1V",2
"P2",16,FALSE,"No BoxA/BoxB markers available; prop parse failed",483,"c4",3,4,"AR 1R1V + Collider2","AR","1R1V",2
"P2",17,FALSE,"No BoxA/BoxB markers available; prop parse failed",1033,"c1",1,1,"AR 0R2V + Collider1","AR","0R2V",1
"P2",18,FALSE,"No BoxA/BoxB markers available; prop parse failed",433,"c1",2,1,"AR 0R2V + Collider1","AR","0R2V",1
"P2",19,FALSE,"No BoxA/BoxB markers available; prop parse failed",540,"c1",3,1,"AR 0R2V + Collider1","AR","0R2V",1
"P2",20,FALSE,"No BoxA/BoxB markers available; prop parse failed",787,"c6",1,6,"AR 2R0V + Collider2","AR","2R0V",2
"P2",21,FALSE,"No BoxA/BoxB markers available; prop parse failed",600,"c6",2,6,"AR 2R0V + Collider2","AR","2R0V",2
