"Participant","TrialNum","ok","reason","n_rows"
"P3",6,FALSE,"No BoxA/BoxB markers available; prop parse failed",530
"P3",7,FALSE,"No BoxA/BoxB markers available; prop parse failed",576
"P3",8,FALSE,"No BoxA/BoxB markers available; prop parse failed",593
"P3",9,FALSE,"No BoxA/BoxB markers available; prop parse failed",535
"P3",10,FALSE,"No BoxA/BoxB markers available; prop parse failed",633
"P3",11,FALSE,"No BoxA/BoxB markers available; prop parse failed",653
"P3",12,FALSE,"No BoxA/BoxB markers available; prop parse failed",593
"P3",13,FALSE,"No BoxA/BoxB markers available; prop parse failed",677
"P3",14,FALSE,"No BoxA/BoxB markers available; prop parse failed",672
"P3",15,FALSE,"No BoxA/BoxB markers available; prop parse failed",704
"P3",16,FALSE,"No BoxA/BoxB markers available; prop parse failed",708
"P3",17,FALSE,"No BoxA/BoxB markers available; prop parse failed",644
"P3",18,FALSE,"No BoxA/BoxB markers available; prop parse failed",649
"P3",19,FALSE,"No BoxA/BoxB markers available; prop parse failed",731
"P3",20,FALSE,"No BoxA/BoxB markers available; prop parse failed",795
"P3",21,FALSE,"No BoxA/BoxB markers available; prop parse failed",614
"P3",22,FALSE,"No BoxA/BoxB markers available; prop parse failed",708
"P3",23,FALSE,"No BoxA/BoxB markers available; prop parse failed",590
"P3",24,FALSE,"No BoxA/BoxB markers available; prop parse failed",609
"P3",25,FALSE,"No BoxA/BoxB markers available; prop parse failed",575
"P3",26,FALSE,"No BoxA/BoxB markers available; prop parse failed",638
"P3",27,FALSE,"No BoxA/BoxB markers available; prop parse failed",549
"P3",28,FALSE,"No BoxA/BoxB markers available; prop parse failed",602
"P3",29,FALSE,"No BoxA/BoxB markers available; prop parse failed",596
"P3",30,FALSE,"No BoxA/BoxB markers available; prop parse failed",524
"P3",31,FALSE,"No BoxA/BoxB markers available; prop parse failed",598
"P3",32,FALSE,"No BoxA/BoxB markers available; prop parse failed",671
"P3",33,FALSE,"No BoxA/BoxB markers available; prop parse failed",646
"P3",34,FALSE,"No BoxA/BoxB markers available; prop parse failed",648
"P3",35,FALSE,"No BoxA/BoxB markers available; prop parse failed",686
"P3",36,FALSE,"No BoxA/BoxB markers available; prop parse failed",584
"P3",37,FALSE,"No BoxA/BoxB markers available; prop parse failed",672
