"SourceFile","Frame","Time","C7_to_A","C7_to_B","S2_to_A","S2_to_B","TrialNum","Mean_to_A_frame","Mean_to_B_frame"
"P2_Trial8.csv",1,0,2914.30629039893,1738.14871980441,NA,NA,8,2914.30629039893,1738.14871980441
"P2_Trial8.csv",2,0.01,2910.5717913672,1735.12829526571,NA,NA,8,2910.5717913672,1735.12829526571
"P2_Trial8.csv",3,0.02,2905.54135893645,1730.99988389236,NA,NA,8,2905.54135893645,1730.99988389236
"P2_Trial8.csv",4,0.03,2901.70625150342,1728.05187307358,NA,NA,8,2901.70625150342,1728.05187307358
"P2_Trial8.csv",5,0.04,2896.08169800128,1723.53397562338,NA,NA,8,2896.08169800128,1723.53397562338
"P2_Trial8.csv",6,0.05,2891.92578659787,1720.28565841174,NA,NA,8,2891.92578659787,1720.28565841174
"P2_Trial8.csv",7,0.06,2887.27410677357,1716.41573657926,NA,NA,8,2887.27410677357,1716.41573657926
"P2_Trial8.csv",8,0.07,2881.78086831174,1711.91933289565,NA,NA,8,2881.78086831174,1711.91933289565
"P2_Trial8.csv",9,0.08,2877.2916658169,1708.26192253354,NA,NA,8,2877.2916658169,1708.26192253354
"P2_Trial8.csv",10,0.09,2871.18137159852,1703.32298019312,NA,NA,8,2871.18137159852,1703.32298019312
"P2_Trial8.csv",11,0.1,2866.07492862856,1699.09627369918,NA,NA,8,2866.07492862856,1699.09627369918
"P2_Trial8.csv",12,0.11,2860.66028116804,1694.67225556588,NA,NA,8,2860.66028116804,1694.67225556588
"P2_Trial8.csv",13,0.12,2855.34590732314,1690.1974860812,NA,NA,8,2855.34590732314,1690.1974860812
"P2_Trial8.csv",14,0.13,2849.40622420247,1685.30882166897,NA,NA,8,2849.40622420247,1685.30882166897
"P2_Trial8.csv",15,0.14,2842.97856649045,1680.00917253874,NA,NA,8,2842.97856649045,1680.00917253874
"P2_Trial8.csv",16,0.15,2837.57886480832,1675.39960261458,NA,NA,8,2837.57886480832,1675.39960261458
"P2_Trial8.csv",17,0.16,2831.23784785811,1670.09859987041,NA,NA,8,2831.23784785811,1670.09859987041
"P2_Trial8.csv",18,0.17,2825.43290685419,1665.33097846774,NA,NA,8,2825.43290685419,1665.33097846774
"P2_Trial8.csv",19,0.18,2819.26907013065,1660.04092323955,NA,NA,8,2819.26907013065,1660.04092323955
"P2_Trial8.csv",20,0.19,2812.24634022694,1654.10379088823,NA,NA,8,2812.24634022694,1654.10379088823
