"SourceFile","Frame","Time","C7_to_A","C7_to_B","S2_to_A","S2_to_B","TrialNum","Mean_to_A_frame","Mean_to_B_frame"
"P2_Trial11.csv",1,0,NA,NA,2683.48526280097,1427.41076253961,11,2683.48526280097,1427.41076253961
"P2_Trial11.csv",2,0.01,NA,NA,2684.52911447534,1428.38178623358,11,2684.52911447534,1428.38178623358
"P2_Trial11.csv",3,0.02,NA,NA,2685.89873297891,1429.68318807005,11,2685.89873297891,1429.68318807005
"P2_Trial11.csv",4,0.03,NA,NA,2687.30489300186,1431.01932500532,11,2687.30489300186,1431.01932500532
"P2_Trial11.csv",5,0.04,NA,NA,2688.64144226342,1432.27005208069,11,2688.64144226342,1432.27005208069
"P2_Trial11.csv",6,0.05,NA,NA,2689.05736814265,1432.67139239574,11,2689.05736814265,1432.67139239574
"P2_Trial11.csv",7,0.06,NA,NA,2690.4815424452,1433.84624365541,11,2690.4815424452,1433.84624365541
"P2_Trial11.csv",8,0.07,NA,NA,2691.95519153148,1435.15507758231,11,2691.95519153148,1435.15507758231
"P2_Trial11.csv",9,0.08,NA,NA,2693.41590708121,1436.4448789093,11,2693.41590708121,1436.4448789093
"P2_Trial11.csv",10,0.09,NA,NA,2694.31685845165,1437.26048545286,11,2694.31685845165,1437.26048545286
"P2_Trial11.csv",11,0.1,NA,NA,2696.2104719688,1438.68969709081,11,2696.2104719688,1438.68969709081
"P2_Trial11.csv",12,0.11,NA,NA,2698.03330901182,1440.19698593157,11,2698.03330901182,1440.19698593157
"P2_Trial11.csv",13,0.12,NA,NA,2699.37102138419,1441.36098260848,11,2699.37102138419,1441.36098260848
"P2_Trial11.csv",14,0.13,NA,NA,2700.91745319945,1442.47746383915,11,2700.91745319945,1442.47746383915
"P2_Trial11.csv",15,0.14,NA,NA,2702.74053873766,1443.72726379711,11,2702.74053873766,1443.72726379711
"P2_Trial11.csv",16,0.15,NA,NA,2704.86972444481,1445.23361865022,11,2704.86972444481,1445.23361865022
"P2_Trial11.csv",17,0.16,NA,NA,2706.02641296443,1446.12450172996,11,2706.02641296443,1446.12450172996
"P2_Trial11.csv",18,0.17,NA,NA,2707.62063918724,1447.12828747971,11,2707.62063918724,1447.12828747971
"P2_Trial11.csv",19,0.18,NA,NA,2709.32487264808,1448.23007360588,11,2709.32487264808,1448.23007360588
"P2_Trial11.csv",20,0.19,NA,NA,2711.0075509394,1449.1888121871,11,2711.0075509394,1449.1888121871
"P2_Trial11.csv",21,0.2,NA,NA,2712.43839990714,1450.01965571329,11,2712.43839990714,1450.01965571329
"P2_Trial11.csv",22,0.21,NA,NA,2714.31905372839,1451.09368866159,11,2714.31905372839,1451.09368866159
"P2_Trial11.csv",23,0.22,NA,NA,2716.62589093419,1452.47585799343,11,2716.62589093419,1452.47585799343
"P2_Trial11.csv",24,0.23,NA,NA,2717.82451897273,1453.10677966937,11,2717.82451897273,1453.10677966937
"P2_Trial11.csv",25,0.24,NA,NA,2719.53948700701,1454.09732516683,11,2719.53948700701,1454.09732516683
"P2_Trial11.csv",26,0.25,NA,NA,2721.90074477777,1455.51540221617,11,2721.90074477777,1455.51540221617
"P2_Trial11.csv",27,0.26,NA,NA,2723.701916164,1456.63988164545,11,2723.701916164,1456.63988164545
"P2_Trial11.csv",28,0.27,NA,NA,2725.86907213535,1457.92769415981,11,2725.86907213535,1457.92769415981
"P2_Trial11.csv",29,0.28,NA,NA,2728.38906427615,1459.50681236283,11,2728.38906427615,1459.50681236283
"P2_Trial11.csv",30,0.29,NA,NA,2729.90271583045,1460.30953619865,11,2729.90271583045,1460.30953619865
"P2_Trial11.csv",31,0.3,NA,NA,2732.72150968986,1462.00132540375,11,2732.72150968986,1462.00132540375
"P2_Trial11.csv",32,0.31,NA,NA,2734.59323014806,1463.01815685337,11,2734.59323014806,1463.01815685337
"P2_Trial11.csv",33,0.32,NA,NA,2736.88580677261,1464.37060753466,11,2736.88580677261,1464.37060753466
