"SourceFile","Frame","Time","C7_to_A","C7_to_B","S2_to_A","S2_to_B","TrialNum","Mean_to_A_frame","Mean_to_B_frame"
"P2_Trial23.csv",1,0,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",2,0.01,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",3,0.02,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",4,0.03,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",5,0.04,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",6,0.05,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",7,0.06,NA,NA,NA,NA,23,NA,NA
"P2_Trial23.csv",8,0.07,NA,NA,2800.44782861015,1428.01531020966,23,2800.44782861015,1428.01531020966
"P2_Trial23.csv",9,0.08,NA,NA,2797.47846570459,1426.15140304129,23,2797.47846570459,1426.15140304129
"P2_Trial23.csv",10,0.09,NA,NA,2795.969651003,1425.96780572238,23,2795.969651003,1425.96780572238
"P2_Trial23.csv",11,0.1,2913.73821441913,1681.31131840079,2792.71576477339,1423.95468906007,23,2853.22698959626,1552.63300373043
"P2_Trial23.csv",12,0.11,2910.30508550037,1679.34914775174,2789.48723784185,1422.04064420135,23,2849.89616167111,1550.69489597655
"P2_Trial23.csv",13,0.12,2907.53493430766,1677.91982483373,2787.87423432319,1421.82592633079,23,2847.70458431542,1549.87287558226
"P2_Trial23.csv",14,0.13,2904.9203693305,1676.68677081143,2785.38116173506,1420.58287118819,23,2845.15076553278,1548.63482099981
"P2_Trial23.csv",15,0.14,2902.60496532421,1675.77410098723,2782.50377731521,1419.18040986076,23,2842.55437131971,1547.47725542399
"P2_Trial23.csv",16,0.15,2900.19607797059,1674.97852402077,2780.48781480601,1418.57086867785,23,2840.3419463883,1546.77469634931
"P2_Trial23.csv",17,0.16,2897.58598063769,1673.89144926023,2777.8234263602,1417.46466780226,23,2837.70470349894,1545.67805853124
"P2_Trial23.csv",18,0.17,2894.69602718543,1672.879889639,2775.37890201612,1416.59047677216,23,2835.03746460078,1544.73518320558
"P2_Trial23.csv",19,0.18,2892.71753505043,1672.48170802607,2772.62591252411,1415.28790273515,23,2832.67172378727,1543.88480538061
"P2_Trial23.csv",20,0.19,2890.68477236089,1672.0712376804,2770.25505596821,1414.59042158806,23,2830.46991416455,1543.33082963423
"P2_Trial23.csv",21,0.2,2888.63748477528,1671.76705779502,2768.31119999431,1414.22062258901,23,2828.47434238479,1542.99384019201
"P2_Trial23.csv",22,0.21,2885.73626653803,1670.84716382513,2766.06512825797,1413.49828741853,23,2825.900697398,1542.17272562183
"P2_Trial23.csv",23,0.22,2883.61986683991,1670.6033344309,2763.60668122825,1412.74440450544,23,2823.61327403408,1541.67386946817
"P2_Trial23.csv",24,0.23,2881.69615198084,1670.67603659831,2761.56164503691,1412.34641304118,23,2821.62889850887,1541.51122481974
"P2_Trial23.csv",25,0.24,2879.6576934867,1670.68838081865,2759.59221287123,1411.9324670557,23,2819.62495317897,1541.31042393717
"P2_Trial23.csv",26,0.25,2877.64879395333,1670.66915164923,2757.74151579107,1411.86734247875,23,2817.6951548722,1541.26824706399
