"SourceFile","Frame","Time","C7_to_A","C7_to_B","S2_to_A","S2_to_B","TrialNum","Mean_to_A_frame","Mean_to_B_frame"
"P2_Trial21.csv",1,0,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",2,0.01,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",3,0.02,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",4,0.03,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",5,0.04,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",6,0.05,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",7,0.06,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",8,0.07,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",9,0.08,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",10,0.09,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",11,0.1,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",12,0.11,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",13,0.12,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",14,0.13,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",15,0.14,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",16,0.15,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",17,0.16,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",18,0.17,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",19,0.18,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",20,0.19,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",21,0.2,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",22,0.21,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",23,0.22,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",24,0.23,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",25,0.24,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",26,0.25,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",27,0.26,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",28,0.27,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",29,0.28,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",30,0.29,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",31,0.3,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",32,0.31,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",33,0.32,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",34,0.33,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",35,0.34,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",36,0.35,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",37,0.36,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",38,0.37,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",39,0.38,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",40,0.39,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",41,0.4,NA,NA,NA,NA,21,NA,NA
"P2_Trial21.csv",42,0.41,1409.13574410684,2641.85002599478,NA,NA,21,1409.13574410684,2641.85002599478
"P2_Trial21.csv",43,0.42,1402.89294673721,2633.98965652081,1309.70331289153,2590.27460552418,21,1356.29812981437,2612.1321310225
"P2_Trial21.csv",44,0.43,1396.74476452727,2626.45997059043,1304.68436447324,2583.65631255494,21,1350.71456450026,2605.05814157269
"P2_Trial21.csv",45,0.44,1389.73321121567,2617.74462853636,1299.31547116419,2575.7059040208,21,1344.52434118993,2596.72526627858
"P2_Trial21.csv",46,0.45,1383.36556932062,2609.6542700965,1293.89554302562,2568.46989691476,21,1338.63055617312,2589.06208350563
"P2_Trial21.csv",47,0.46,1376.76864710894,2601.2111688228,1291.08705485027,2564.35397071709,21,1333.9278509796,2582.78256976995
"P2_Trial21.csv",48,0.47,1370.02663545902,2592.39724249809,1285.31258771329,2556.37144719182,21,1327.66961158615,2574.38434484496
"P2_Trial21.csv",49,0.48,1364.10328993601,2584.39305408713,1285.18284242428,2555.55634776398,21,1324.64306618015,2569.97470092555
"P2_Trial21.csv",50,0.49,1357.40275379662,2575.1397314557,1280.42802648646,2548.621909041,21,1318.91539014154,2561.88082024835
"P2_Trial21.csv",51,0.5,1351.90577907061,2566.86098693275,1273.75770645475,2538.62283596251,21,1312.83174276268,2552.74191144763
"P2_Trial21.csv",52,0.51,1346.28005463204,2557.98901394855,1272.83102438765,2535.75370448253,21,1309.55553950984,2546.87135921554
"P2_Trial21.csv",53,0.52,1340.91395444984,2549.44937472398,1268.61441537639,2527.42341198598,21,1304.76418491312,2538.43639335498
"P2_Trial21.csv",54,0.53,1336.15310354861,2540.85889835703,1266.58285401906,2523.00960775335,21,1301.36797878384,2531.93425305519
"P2_Trial21.csv",55,0.54,1332.1299286855,2533.00648117017,1263.93187225976,2517.41487797034,21,1298.03090047263,2525.21067957025
"P2_Trial21.csv",56,0.55,1328.11282169621,2524.96129213679,1259.57258417647,2508.5959337769,21,1293.84270293634,2516.77861295685
"P2_Trial21.csv",57,0.56,1323.99501805741,2516.87480586696,1260.50691443992,2506.99672563877,21,1292.25096624866,2511.93576575286
"P2_Trial21.csv",58,0.57,1319.63439117883,2508.11840294359,1258.0542819201,2500.45891613998,21,1288.84433654946,2504.28865954178
"P2_Trial21.csv",59,0.58,1317.27400973314,2501.39978452473,1258.88328262719,2497.86355254988,21,1288.07864618016,2499.63166853731
"P2_Trial21.csv",60,0.59,1313.77735005618,2493.12218551961,1257.04880896182,2492.16458525494,21,1285.413079509,2492.64338538727
"P2_Trial21.csv",61,0.6,1311.76368029891,2486.74583810865,1257.55859964914,2489.17073120157,21,1284.66113997403,2487.95828465511
"P2_Trial21.csv",62,0.61,1308.08527418822,2478.63403212472,1255.5809464131,2482.56547948042,21,1281.83311030066,2480.59975580257
"P2_Trial21.csv",63,0.62,1305.42638402075,2471.59377537974,1255.08303063349,2477.98165617573,21,1280.25470732712,2474.78771577774
"P2_Trial21.csv",64,0.63,1302.7980688231,2464.31258480071,1256.55785955919,2476.05796205527,21,1279.67796419115,2470.18527342799
"P2_Trial21.csv",65,0.64,1300.64262617675,2457.83259443882,1254.15615557717,2468.91370950337,21,1277.39939087696,2463.37315197109
"P2_Trial21.csv",66,0.65,1298.42645751047,2451.16457373499,1255.62066770725,2468.15647994268,21,1277.02356260886,2459.66052683883
"P2_Trial21.csv",67,0.66,1296.47190290976,2444.66137296067,1254.78021416268,2463.08615594673,21,1275.62605853622,2453.8737644537
"P2_Trial21.csv",68,0.67,1294.39384990125,2437.64373914054,1252.0469763181,2456.27966402408,21,1273.22041310967,2446.96170158231
"P2_Trial21.csv",69,0.68,1293.14637576352,2432.0416037935,1254.79171666712,2456.96717155223,21,1273.96904621532,2444.50438767286
"P2_Trial21.csv",70,0.69,1291.72379329866,2426.13449563701,1253.82789624656,2453.11893592234,21,1272.77584477261,2439.62671577967
"P2_Trial21.csv",71,0.7,1288.92716112405,2418.64335555044,1251.89883409222,2447.80887256271,21,1270.41299760813,2433.22611405657
"P2_Trial21.csv",72,0.71,1288.81383724599,2413.92575487745,1253.1726644928,2446.90254334423,21,1270.99325086939,2430.41414911084
"P2_Trial21.csv",73,0.72,1286.69564256128,2407.26371625741,1253.5818912298,2445.72590650611,21,1270.13876689554,2426.49481138176
"P2_Trial21.csv",74,0.73,1285.80084815088,2402.00109449195,1251.62113909232,2440.26157462241,21,1268.7109936216,2421.13133455718
"P2_Trial21.csv",75,0.74,1285.97264492528,2397.47127457614,1251.70203640609,2437.42732492262,21,1268.83734066569,2417.44929974938
"P2_Trial21.csv",76,0.75,1284.47050891159,2391.20316325838,1253.62402614189,2436.76657428989,21,1269.04726752674,2413.98486877413
"P2_Trial21.csv",77,0.76,1283.57684449921,2385.76371332753,1255.01978186466,2437.13553458244,21,1269.29831318193,2411.44962395499
"P2_Trial21.csv",78,0.77,1282.23151247455,2379.81192899221,1253.07835663197,2430.15555231623,21,1267.65493455326,2404.98374065422
"P2_Trial21.csv",79,0.78,1280.79327230434,2373.73949090134,1254.76495953303,2429.45743644084,21,1267.77911591868,2401.59846367109
