Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,12
1,0,-204.72581,1607.43127,-1000.85461,,,,,,,,,,,,,-348.42447,1057.19458,-1020.52960,-93.23540,1312.41382,-1065.51355,,,,,,,-392.81894,1181.22827,-1220.94421,191.12271,1103.99524,-1004.57404,,,,42.78765,920.96771,-1054.08374,-227.24712,938.16412,-1064.80212,,,,115.74647,488.52689,-1116.67542,-277.11719,468.37286,-1100.79150,,,,-310.00345,77.41311,-1200.29407,NA,P5,12
2,0.01,-204.04529,1607.22668,-1000.07178,,,,,,,,,,,,,-347.62567,1056.95630,-1020.31989,-92.05513,1312.27869,-1064.50647,,,,,,,-391.86392,1181.34546,-1220.73608,190.41821,1104.19360,-1003.97919,,,,44.97486,921.55634,-1054.55859,-225.01210,939.79169,-1058.08923,,,,116.35683,487.84146,-1116.51038,-276.96646,468.35287,-1100.71899,,,,-309.96814,77.44158,-1200.30176,NA,P5,12
3,0.02,-203.41995,1607.10596,-999.98248,,,,,,,,,,,,,-346.37027,1056.62549,-1019.99365,-90.85576,1312.94922,-1064.10339,,,,,,,-391.00775,1181.31104,-1220.42700,191.32455,1104.18542,-1003.59106,,,,47.59315,921.62097,-1054.00049,-222.87994,940.22357,-1055.38257,,,,118.81823,488.03806,-1116.49731,-275.36462,469.24823,-1099.44580,,,,-309.68832,77.79417,-1200.15674,NA,P5,12
4,0.03,-202.62152,1607.09448,-998.77747,,,,,,,,,,,,,-346.00284,1056.70239,-1019.78186,-89.08112,1312.29932,-1063.45410,,,,,,,-389.39807,1180.85645,-1219.88708,192.71666,1104.18848,-1003.08295,,,,48.51020,921.45508,-1053.97363,-221.64362,938.90082,-1059.18201,,,,119.76019,487.10974,-1116.39868,-276.19882,470.61020,-1098.16394,,,,-309.16516,78.99790,-1199.12964,NA,P5,12
5,0.04,-202.13133,1606.82153,-998.35327,,,,,,,,,,,,,-345.57397,1056.60327,-1019.18964,-88.08103,1312.05371,-1063.05261,,,,,,,-387.94427,1180.84180,-1219.86792,194.07077,1104.61108,-1002.42090,,,,50.55827,921.40625,-1053.83557,-220.19232,938.90240,-1063.25354,,,,120.82269,486.42200,-1115.43164,-274.18835,471.00540,-1097.15063,,,,-308.97348,79.61365,-1198.47437,NA,P5,12
6,0.05,-201.68562,1606.27356,-997.53387,,,,,,,,,,,,,-345.09045,1056.21021,-1019.19507,-86.82809,1311.43152,-1062.54102,,,,,,,-386.74380,1180.41467,-1219.64331,195.25711,1104.81287,-1002.01007,,,,51.83670,920.25769,-1053.77466,-219.23547,938.83582,-1059.40771,,,,122.59868,486.39963,-1115.04846,-268.97156,469.66068,-1096.53662,,,,-307.44174,78.55936,-1198.68994,NA,P5,12
7,0.06,-201.26936,1606.02661,-996.82861,,,,,,,,,,,,,-344.96323,1056.12268,-1019.14032,-85.72050,1311.05945,-1061.89941,,,,,,,-386.05679,1180.30420,-1219.57288,196.02762,1104.84851,-1000.78705,,,,53.33033,920.11639,-1053.13892,-216.88521,939.60352,-1055.62158,,,,124.62275,486.00046,-1115.31750,-267.91458,471.00775,-1095.03088,,,,-307.42169,78.70826,-1198.16528,NA,P5,12
8,0.07,-201.02548,1605.86450,-996.81848,,,,,,,,,,,,,-345.02826,1055.92896,-1018.96497,-84.88889,1310.97363,-1061.19617,,,,,,,-384.83795,1180.41162,-1218.92505,196.91660,1104.96240,-999.75085,,,,54.31133,920.18628,-1052.91687,-214.25595,939.09290,-1057.11267,,,,126.16693,485.41858,-1114.99463,-266.49457,471.34415,-1092.61157,,,,-307.34976,78.70457,-1198.15625,NA,P5,12
9,0.08,-200.62732,1605.34473,-995.44678,,,,,,,,,,,,,-344.59814,1055.53857,-1018.74530,-82.89866,1310.55811,-1059.74133,,,,,,,-383.46829,1180.28162,-1218.95911,197.74263,1105.00952,-999.21576,,,,55.36870,920.18134,-1052.47961,-213.32317,939.14380,-1059.16235,,,,126.99191,485.61362,-1114.67358,-263.41650,471.47104,-1091.29346,,,,-307.11810,79.19131,-1197.23218,NA,P5,12
10,0.09,-200.44582,1605.11426,-994.88739,,,,,,,,,,,,,-344.48810,1055.14807,-1018.43085,-81.39942,1310.77026,-1058.91028,,,,,,,-382.28635,1180.03259,-1218.86182,199.16655,1104.79614,-998.02496,,,,57.29756,919.54205,-1051.97339,-213.19859,939.26117,-1058.53979,,,,127.30125,484.89236,-1113.00073,-261.46530,471.85214,-1088.65002,,,,-307.22778,80.80970,-1197.08374,NA,P5,12
11,0.1,-200.38370,1604.59082,-993.87006,,,,,,,,,,,,,-343.09055,1053.73938,-1017.97589,-80.28667,1310.59021,-1058.51416,,,,,,,-380.95639,1179.87964,-1218.93762,200.25893,1104.89661,-997.04944,,,,57.64480,919.19513,-1052.00366,-212.99237,938.13623,-1058.37231,,,,127.99123,485.24878,-1111.01526,-260.45874,473.04733,-1086.65417,,,,-306.72284,81.75674,-1196.31750,NA,P5,12
12,0.11,-200.49146,1604.34961,-993.76874,,,,,,,,,,,,,-343.05994,1053.67859,-1017.84406,-80.31712,1310.37244,-1057.32690,,,,,,,-379.51569,1179.74011,-1218.30579,200.63667,1104.75781,-994.97192,,,,58.12442,918.96527,-1052.10205,-212.05441,937.15491,-1061.56299,,,,128.68538,485.39267,-1110.35376,-258.02155,472.21164,-1083.53381,,,,-306.14014,82.58201,-1196.14624,NA,P5,12
13,0.12,-200.56798,1604.01587,-992.90973,,,,,,,,,,,,,-342.65518,1052.38733,-1017.31476,-78.67861,1309.83044,-1056.42810,,,,,,,-378.46588,1179.51367,-1218.30371,201.30760,1104.77612,-993.65607,,,,58.26138,918.47681,-1051.50439,-211.45256,936.52612,-1063.57129,,,,129.45589,485.35947,-1109.01978,-257.07834,473.67401,-1079.23914,,,,-305.37442,84.59280,-1194.99500,NA,P5,12
