Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,30
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-408.72015,1168.87292,-1201.86011,186.43793,990.79144,-1158.60742,-335.18988,995.47260,-1038.53650,,,,-227.47498,944.83984,-1071.22400,,,,84.60501,483.61795,-1169.74573,-294.69229,471.51202,-1120.26831,,,,-300.00308,73.82716,-1214.30798,NA,P5,30
2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,-407.79227,1168.56335,-1200.88586,186.74522,990.91113,-1158.60852,-334.29294,995.86346,-1037.70081,,,,-226.97479,944.30170,-1071.76282,,,,86.33224,483.62268,-1170.00403,-294.32211,471.58530,-1119.87463,,,,-299.99591,73.82661,-1214.30701,NA,P5,30
3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,-407.27078,1168.35291,-1199.42126,187.79672,990.85736,-1159.05493,-332.54456,995.99237,-1036.87695,,,,-226.80602,944.56860,-1070.94409,,,,89.09255,484.36734,-1170.32556,-293.31763,471.75964,-1119.79541,,,,-299.14294,73.37356,-1214.48645,NA,P5,30
4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,-406.87787,1168.22070,-1198.86072,188.41920,990.54877,-1159.13586,-331.84409,996.12006,-1036.31555,,,,-225.62822,942.98022,-1074.12805,,,,89.56813,484.48538,-1169.65869,-292.20895,470.65930,-1119.15894,,,,-298.89694,73.65298,-1214.38281,NA,P5,30
5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,-406.26688,1168.37805,-1197.97461,189.33104,990.69775,-1159.38904,-329.90158,995.86676,-1034.40027,,,,-224.44592,942.19537,-1072.87463,,,,89.99446,484.22253,-1169.57080,-291.03531,470.20004,-1118.89563,,,,-298.91122,73.68004,-1214.38855,NA,P5,30
6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-405.60980,1168.12939,-1196.71436,190.91086,991.08539,-1160.38794,-328.28616,995.12079,-1033.96277,,,,-221.69910,941.91730,-1072.10046,,,,90.44914,483.86401,-1169.71985,-289.88791,470.28882,-1118.59399,,,,-298.80182,73.97818,-1213.95117,NA,P5,30
7,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,-404.22910,1167.86047,-1195.33704,191.60979,990.82019,-1160.57458,-327.84470,995.04779,-1032.69165,,,,-220.50568,942.08893,-1067.07654,,,,93.24590,484.34854,-1170.01514,-289.24899,470.69022,-1118.53003,,,,-298.80103,73.96341,-1213.94885,NA,P5,30
8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,-403.00101,1167.23938,-1193.84326,192.46980,990.77460,-1161.92322,-325.97699,995.21643,-1031.50574,,,,-219.52121,942.16345,-1067.37073,,,,95.58765,484.04327,-1169.20325,-288.53522,470.94342,-1118.00500,,,,-298.36417,74.12705,-1214.18054,NA,P5,30
9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,-402.21967,1167.27637,-1192.55994,193.72762,990.39246,-1162.49170,-324.14700,994.64050,-1030.74902,,,,-218.60657,942.16327,-1067.67517,,,,96.45770,483.90909,-1169.20020,-287.85608,470.44989,-1117.73328,,,,-298.35745,74.16686,-1214.18579,NA,P5,30
10,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,-401.76764,1167.13306,-1191.42749,195.49979,991.24811,-1163.28528,-322.47705,994.75983,-1029.94849,,,,-216.22652,939.59375,-1071.88354,,,,97.09963,484.16077,-1169.60461,-287.06329,470.05472,-1117.72681,,,,-298.35156,74.18964,-1214.18848,NA,P5,30
11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-399.99002,1166.84180,-1190.08398,196.37691,991.18384,-1163.86316,-321.31201,994.61621,-1029.14246,,,,-214.52219,940.87805,-1067.33130,,,,99.29684,484.30997,-1170.15601,-285.84106,469.60944,-1116.86609,,,,-298.35837,74.22248,-1214.19421,NA,P5,30
12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,-398.54758,1166.63721,-1188.70251,196.87367,990.74078,-1164.97681,-319.27322,994.28778,-1028.10059,,,,-212.96736,941.77905,-1062.66772,,,,100.66630,484.16226,-1170.37708,-284.98666,469.39279,-1116.72839,,,,-298.36401,74.24935,-1214.19885,NA,P5,30
13,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,-397.05472,1166.51331,-1187.20215,199.37393,990.42218,-1165.89319,-317.55365,994.18420,-1026.68652,,,,-210.86359,940.81360,-1066.41296,,,,102.24201,483.97583,-1170.03320,-283.41495,469.10959,-1116.43054,,,,-298.33838,74.22575,-1214.19238,NA,P5,30
14,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,-395.49323,1166.47192,-1186.00232,200.49442,990.30597,-1166.49805,-316.53482,993.98999,-1025.44885,,,,-209.36572,939.80139,-1067.84460,,,,104.32732,484.51450,-1170.44275,-281.72171,469.13901,-1115.38623,,,,-298.36319,74.27794,-1214.20300,NA,P5,30
15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,-394.33734,1166.67896,-1184.48987,201.95947,990.02979,-1168.03540,-314.72168,993.95270,-1024.04517,,,,-207.40767,940.19427,-1065.02368,,,,106.34454,484.69861,-1170.59814,-280.06390,468.55829,-1115.04504,,,,-298.35391,74.30430,-1214.20593,NA,P5,30
16,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,-392.95679,1166.71716,-1183.00684,202.60263,989.51178,-1168.32739,-311.25723,993.07666,-1023.59241,,,,-205.68515,941.33789,-1058.91968,,,,107.99503,483.56937,-1171.20776,-279.23776,468.51538,-1114.91638,,,,-298.34790,74.34333,-1214.21106,NA,P5,30
17,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,-390.75537,1166.45178,-1181.34985,205.19701,989.88733,-1170.04651,-310.37119,992.99646,-1022.77570,,,,-202.68869,939.94836,-1064.69568,,,,109.14096,483.45175,-1171.05664,-277.27505,468.05515,-1113.84900,,,,-298.33536,74.36386,-1214.21265,NA,P5,30
18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,-389.04413,1166.44812,-1180.18884,206.91933,989.16180,-1171.70520,-308.09625,992.53607,-1021.55017,,,,-201.30562,939.66650,-1064.73633,,,,111.30580,483.61765,-1171.09521,-274.88022,468.02176,-1113.95129,,,,-298.18173,74.56175,-1214.41187,NA,P5,30
19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-387.49585,1166.46204,-1178.86279,208.00940,989.06042,-1172.43530,-305.77316,992.50031,-1020.72028,,,,-198.45157,939.82019,-1061.86060,,,,113.21044,483.51575,-1172.13367,-272.60831,467.46823,-1113.87231,,,,-298.16736,74.61909,-1214.41882,NA,P5,30
20,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,-385.81274,1166.31616,-1176.78101,210.43073,988.70142,-1174.02502,-303.59848,992.40271,-1019.75989,,,,-195.75197,940.44543,-1060.20703,,,,115.75175,483.50494,-1172.10791,-271.16745,467.53247,-1112.55847,,,,-298.17853,74.68052,-1214.42920,NA,P5,30
21,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-383.88449,1166.21533,-1175.95605,212.59802,988.44910,-1175.35388,-301.68015,992.58960,-1018.45184,,,,-194.07005,939.49506,-1061.22290,,,,116.15269,482.95157,-1172.87317,-268.86273,467.10239,-1112.20093,,,,-298.16168,74.69943,-1214.43018,NA,P5,30
22,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,-381.66156,1166.13904,-1174.56213,214.21654,988.30200,-1176.54138,-298.45886,991.99115,-1016.66614,,,,-190.05754,939.05542,-1061.88281,,,,118.75963,482.69855,-1173.34607,-265.49747,467.24655,-1111.54443,,,,-297.80887,75.17336,-1214.42566,NA,P5,30
23,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,-379.98257,1166.11914,-1173.14905,216.26653,987.80011,-1178.14026,-296.84415,991.60626,-1016.22064,,,,-187.76917,940.36664,-1057.40784,,,,121.17813,482.22342,-1174.32251,-262.86584,466.86877,-1110.80151,,,,-297.80948,75.21772,-1214.43237,NA,P5,30
24,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,-377.77530,1165.69189,-1171.72937,217.29988,987.46375,-1179.32849,-294.63367,991.48511,-1015.25195,,,,-184.46515,938.07080,-1064.15735,,,,122.97248,482.23245,-1174.33582,-261.15353,466.22873,-1110.20178,,,,-297.61014,75.49692,-1214.39880,NA,P5,30
25,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,-376.13733,1165.58179,-1169.97107,220.21535,986.79700,-1180.89661,-291.63574,991.86334,-1013.57355,,,,-181.65178,939.56848,-1056.93127,,,,125.84809,482.42722,-1174.77295,-257.68661,467.12558,-1109.22083,,,,-296.85995,75.25198,-1214.60327,NA,P5,30
26,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,-373.56091,1165.87256,-1169.29895,221.81996,986.37640,-1182.19373,-289.33469,991.29510,-1013.11169,,,,-178.16771,938.44574,-1059.27881,,,,127.60098,481.51111,-1175.42346,-255.42485,466.00662,-1108.65039,,,,-296.85330,75.30418,-1214.61023,NA,P5,30
27,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,-371.19800,1165.31140,-1167.57471,224.10361,985.53723,-1183.64160,-286.60980,991.46161,-1011.83575,,,,-176.18275,938.24182,-1059.78674,,,,129.76706,481.28687,-1176.47351,-252.87537,466.38019,-1106.64209,,,,-296.61362,76.27035,-1214.64099,NA,P5,30
28,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,-369.45361,1165.57886,-1165.91980,226.87593,985.52533,-1185.79272,-283.21997,991.20642,-1010.37244,,,,-171.47069,938.37378,-1055.82849,,,,132.29929,481.83475,-1177.24280,-249.42743,466.02545,-1106.02271,,,,-296.33072,76.80299,-1214.10864,NA,P5,30
29,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,-366.69424,1165.61633,-1164.20313,228.10945,985.02869,-1186.60315,-281.55621,990.84668,-1009.09399,,,,-169.65131,938.50903,-1057.24988,,,,134.06664,480.79263,-1177.64758,-246.44965,466.73645,-1104.26270,,,,-296.20779,77.15279,-1213.67737,NA,P5,30
