Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,13
1,0,163.85402,1648.25916,-910.20837,-74.34206,1505.37280,-1018.14545,,,,,,,,,,,,,74.91674,1295.60706,-885.81665,,,,205.28145,1203.99280,-1168.16064,-253.94771,1157.52380,-822.59363,265.28717,1069.06934,-993.59619,-115.95762,982.82312,-715.18005,164.83694,908.57092,-1004.27429,-21.92767,922.02448,-805.85358,-103.46748,966.65625,-1114.70667,105.44471,466.72629,-1058.53918,110.39130,536.87317,-759.87054,-71.23428,76.49351,-1174.40991,93.53089,106.65897,-808.11810,NA,P5,13
2,0.01,167.95142,1647.89868,-904.90759,-69.70505,1504.84009,-1013.05719,,,,,,,,,,,,,79.97758,1295.82056,-882.12714,,,,207.72873,1204.72510,-1167.07373,-250.74223,1156.99207,-818.34503,268.88138,1068.97009,-990.02374,-112.18810,982.80219,-710.52881,168.78877,908.15662,-1001.18420,-16.67136,920.93536,-801.39215,-99.93153,966.82721,-1110.82971,106.81385,466.30072,-1057.23450,114.72294,535.65143,-755.79694,-70.09464,78.00450,-1173.96387,107.68202,105.48985,-799.83008,NA,P5,13
3,0.02,172.31110,1647.43188,-898.27795,-65.18443,1504.22229,-1008.99011,,,,,,,,,,,,,84.94338,1294.93347,-878.49744,,,,213.04024,1204.78650,-1163.04395,-246.04559,1156.65076,-814.23035,271.28427,1069.16162,-985.16705,-108.00756,982.54987,-706.09381,172.13310,907.03564,-998.55536,-13.90640,919.36292,-800.66675,-96.15510,966.82037,-1106.70532,107.92120,465.12689,-1054.30933,116.06760,533.87097,-755.14520,-70.09464,78.00450,-1173.96387,121.17323,103.89242,-793.22681,NA,P5,13
4,0.03,176.46819,1647.07275,-892.55890,-60.45324,1504.08154,-1004.95087,,,,,,,,,,,,,88.77261,1293.88745,-873.86206,,,,218.41673,1204.82617,-1159.16687,-241.75127,1155.65479,-809.54327,275.72028,1068.41711,-980.65448,-104.75119,982.01074,-701.66498,176.88440,906.73816,-994.76721,-8.06390,919.58838,-794.09998,-92.33749,966.47070,-1102.22668,109.56271,464.44876,-1052.48267,120.64711,532.13013,-751.31238,-70.06076,78.78322,-1172.70996,134.92004,103.09958,-786.21991,NA,P5,13
5,0.04,180.90773,1646.62952,-884.99609,-55.79757,1503.21960,-1000.46686,,,,,,,,,,-108.20133,1418.47754,-781.04211,93.85912,1293.40845,-869.00983,,,,223.50990,1203.52637,-1151.72351,-238.28731,1155.04492,-806.04474,280.03745,1068.39514,-976.09497,-100.69450,981.94800,-697.00964,181.46935,907.20337,-992.06110,-3.89195,918.02972,-790.32550,-88.40533,966.54163,-1098.43652,111.51304,463.91034,-1051.04675,123.66700,530.50714,-749.15320,-69.52650,79.15154,-1173.35559,148.29788,102.47985,-779.20251,NA,P5,13
6,0.05,184.99281,1646.50757,-879.43530,-50.67548,1502.57727,-995.58411,,,,,,,,,,,,,99.58757,1293.23730,-864.16943,,,,229.26448,1203.68555,-1147.69275,-233.44324,1155.28870,-802.00470,284.53372,1067.92200,-971.05090,-97.40678,980.96942,-692.07629,186.45180,906.13715,-988.07440,3.07622,917.87817,-784.77191,-84.05779,966.34302,-1094.08923,113.22782,463.63333,-1049.27991,126.82192,528.01508,-746.70862,-68.74202,79.98775,-1172.16846,161.35564,100.42544,-773.27649,NA,P5,13
7,0.06,189.39749,1646.18970,-871.48401,-45.65542,1501.73853,-991.29059,,,,,,,,,,,,,105.10012,1293.15222,-859.90479,,,,235.29921,1202.61536,-1140.31885,-229.90561,1154.31128,-799.09729,289.26987,1068.15344,-964.87335,-93.54850,980.99670,-687.96509,190.89586,905.92145,-983.40375,6.90394,917.19165,-780.07959,-79.65142,966.06696,-1089.51355,115.14475,463.37836,-1047.66626,129.72105,526.32324,-744.41650,-68.24398,80.11223,-1172.49219,172.05978,100.31483,-768.68091,NA,P5,13
8,0.07,193.62292,1645.58191,-864.95795,-40.37299,1501.46155,-986.72070,,,,,,,,,,,,,109.35095,1292.47937,-855.14307,,,,241.22563,1202.82739,-1137.72180,-224.82028,1153.70496,-794.93469,294.53223,1067.50732,-959.63843,-90.42153,980.40155,-683.25098,193.08141,905.25177,-980.92725,12.41820,916.39685,-775.20544,-75.03585,965.96893,-1084.91101,117.33089,462.76184,-1045.87830,132.93651,524.27136,-741.26880,-68.74202,79.98775,-1172.16846,182.31871,98.93801,-765.29523,NA,P5,13
9,0.08,197.67256,1645.53052,-858.12415,-35.28124,1500.53650,-982.58936,,,,,,,,,,,,,114.56636,1291.35046,-848.85016,,,,247.83583,1202.79138,-1132.73730,-220.75595,1153.02405,-791.64612,299.53876,1067.81787,-953.64575,-86.91864,980.09503,-678.73669,197.63068,903.64618,-975.80957,17.02054,915.30634,-770.55554,-70.34521,965.85522,-1080.69458,118.65946,462.09943,-1042.89587,134.50793,521.48950,-740.79321,-68.24398,80.11223,-1172.49219,192.24185,97.28259,-762.54260,NA,P5,13
10,0.09,202.04660,1644.97766,-850.10419,-29.72158,1499.83618,-977.05194,,,,,,,,,,-86.25534,1415.20618,-759.11279,119.67002,1291.00537,-843.57886,,,,254.99849,1202.94629,-1126.54883,-217.36438,1152.64746,-787.63861,304.59964,1067.03015,-947.14685,-83.56622,979.26007,-673.91132,204.99220,904.76587,-971.88275,23.50220,914.81592,-765.68073,-65.39383,965.39130,-1075.50439,121.06876,461.92929,-1041.54614,137.62158,519.12061,-739.20337,-66.49664,82.43067,-1168.93689,199.96350,96.23585,-759.42432,NA,P5,13
11,0.1,205.98463,1644.94824,-843.34796,-24.45933,1499.01758,-972.71008,,,,,,,,,,-81.94768,1414.24121,-754.65649,125.51263,1290.90381,-838.08899,,,,262.55417,1202.98132,-1119.36926,-212.36311,1151.68982,-784.82568,309.58533,1067.46277,-940.92065,-80.76106,978.87030,-668.93622,209.83133,904.69696,-967.43793,29.03370,914.50275,-760.34949,-60.26893,965.23572,-1070.53467,123.60981,461.42038,-1039.57104,141.65785,516.86829,-735.68323,-66.94929,81.29878,-1171.58081,208.60985,94.84694,-758.24561,NA,P5,13
12,0.11,209.86867,1644.67664,-836.20984,-18.96033,1498.45874,-967.85406,,,,,,,219.16678,1477.10291,-1029.75342,-79.26225,1413.85083,-750.46259,132.03867,1291.38757,-832.83435,63.32594,1742.56262,-860.35870,269.80560,1203.39087,-1113.15710,-208.64958,1151.66077,-782.00201,315.33740,1067.21826,-934.74213,-77.37851,978.74341,-663.47998,212.99582,904.03076,-962.14972,34.75071,913.64331,-754.69659,-55.00025,964.92090,-1065.27222,126.25130,461.23233,-1038.10352,144.93456,514.45605,-733.45380,,,,214.82588,92.36430,-757.72211,NA,P5,13
13,0.12,213.70290,1644.40649,-828.67877,-13.43369,1496.97388,-961.91681,,,,,,,224.75175,1477.44019,-1024.43994,-73.94392,1412.82007,-746.19879,137.80629,1291.42542,-827.28436,67.27194,1741.86536,-854.74921,277.76077,1203.95959,-1107.02063,-203.80179,1150.53833,-778.72711,320.70303,1067.18286,-926.64166,-75.21122,978.56903,-658.95313,220.42332,905.24426,-958.21552,40.03486,913.04187,-748.86243,-49.67346,965.17963,-1060.78271,129.05446,460.40134,-1036.01538,149.32976,512.55048,-730.45703,,,,220.21643,90.61119,-757.36322,NA,P5,13
14,0.13,217.42764,1643.87769,-821.30597,-7.95069,1496.21204,-957.14465,,,,,,,230.51549,1477.63904,-1017.75159,-70.74548,1410.97253,-741.11121,143.41925,1290.97620,-820.30969,71.02702,1741.13245,-849.76379,285.24658,1204.74963,-1099.58801,-199.39526,1149.29590,-775.86896,326.55127,1067.36609,-918.84430,-71.31860,977.78632,-652.55627,224.59146,903.18182,-951.99597,45.05491,912.54352,-743.31732,-44.01866,964.68091,-1054.77686,132.29526,459.94757,-1033.09241,153.37990,510.17398,-728.70129,-71.60356,83.36318,-1173.11768,223.68507,89.02313,-756.74286,NA,P5,13
15,0.14,220.98474,1643.45300,-813.80414,-2.68035,1495.04443,-952.34155,,,,,,,236.62950,1477.41272,-1010.45557,-65.85421,1409.73633,-736.39380,147.65004,1290.53723,-812.87036,74.74181,1740.41638,-844.05591,293.56790,1204.42432,-1092.07544,-195.08534,1148.13464,-773.27258,331.56842,1067.29236,-910.83478,-67.59118,977.21851,-646.62451,232.57402,904.18237,-946.81104,50.73529,911.38922,-737.03992,-38.27690,964.59802,-1049.69336,135.68623,459.62222,-1031.65173,158.25461,508.30316,-725.92896,-69.39769,84.69555,-1172.67285,225.89693,86.96862,-756.69153,NA,P5,13
16,0.15,224.47192,1643.01965,-805.95929,2.78298,1493.49121,-946.86218,,,,,,,242.47139,1477.55359,-1003.25024,-59.90572,1409.00464,-731.94275,153.78610,1290.55518,-806.33618,78.20287,1740.15869,-838.30841,301.53339,1204.51257,-1083.33191,-190.74733,1146.80664,-770.74402,337.85330,1067.82373,-903.02386,-65.20196,976.67615,-641.03229,237.73102,903.88818,-942.70551,56.59097,910.24292,-731.39368,-32.35125,964.17218,-1044.00452,138.73799,459.08463,-1028.91223,163.92442,506.04642,-722.65387,-67.44682,86.86835,-1168.85986,228.81453,84.17320,-758.73657,NA,P5,13
17,0.16,227.81067,1642.87012,-798.28461,7.96707,1492.44177,-942.26782,,,,,,,248.34592,1477.90002,-995.82422,-56.85361,1407.80676,-727.59552,159.39760,1290.20056,-799.24249,81.82892,1739.05408,-832.18915,310.44012,1204.73450,-1074.69531,-186.78448,1145.36462,-767.97772,344.30795,1068.69360,-895.15112,-63.87278,975.65881,-636.97589,244.60855,904.15430,-936.36798,63.30820,909.96332,-724.99072,-26.14297,963.86676,-1038.14783,141.29567,458.69525,-1025.70886,167.68864,503.63565,-719.45197,-67.44682,86.86835,-1168.85986,231.78032,82.34760,-760.94226,NA,P5,13
18,0.17,230.96201,1642.73267,-790.79944,13.36291,1491.17969,-936.76532,,,,,,,254.14900,1478.38452,-988.31183,-52.94069,1405.50989,-722.94513,166.04303,1290.69873,-793.34412,85.23232,1738.26746,-825.91956,318.39108,1205.59314,-1066.94312,-181.94902,1143.87939,-765.12567,350.25159,1069.82825,-886.59222,-61.23732,975.05316,-631.53210,251.97482,904.59882,-931.88025,68.72688,909.32306,-719.51001,-19.68881,963.46851,-1032.24243,144.86522,457.91870,-1022.48492,172.65750,500.85843,-716.79901,-67.44682,86.86835,-1168.85986,235.95357,82.21868,-760.69763,NA,P5,13
19,0.18,234.29375,1642.71851,-782.21674,18.41823,1490.10120,-931.76166,,,,,,,259.98334,1478.80872,-980.87305,-50.27607,1404.58325,-718.34027,171.52205,1290.22229,-785.77545,88.59438,1737.68298,-819.81110,326.92746,1206.75720,-1058.85083,-176.95740,1141.52832,-762.21069,356.79492,1070.70276,-877.19574,-58.90394,975.05872,-625.69049,259.14865,905.46039,-924.47571,76.04759,907.69397,-713.13843,-12.78598,963.20721,-1025.59277,148.50455,457.07925,-1019.26611,178.60622,498.80481,-713.56604,-55.20393,97.54508,-1161.61780,239.75256,82.09246,-758.13757,NA,P5,13
20,0.19,237.55449,1642.71631,-773.75592,23.73200,1489.13232,-925.61255,,,,,,,265.75510,1479.64856,-972.97546,-45.60221,1402.39246,-712.92493,176.77959,1289.92468,-778.60632,91.86894,1737.49329,-813.88965,336.27786,1207.71033,-1049.06763,-174.04572,1139.96667,-759.28302,362.87411,1071.77539,-868.01208,-56.40017,974.23236,-620.79883,267.32599,906.49078,-917.82770,83.21297,907.77600,-706.13446,-5.97662,962.67224,-1019.43549,150.89743,455.92343,-1015.30103,184.31990,497.09924,-710.88348,-59.30605,94.08794,-1165.82922,242.98917,81.72478,-757.27576,NA,P5,13
21,0.2,240.54926,1643.20447,-766.38165,29.33022,1487.83887,-919.70807,,,,,,,271.41263,1480.76636,-965.25043,-41.34084,1400.77271,-708.16180,181.91980,1291.10486,-771.96954,95.31252,1737.39441,-807.09863,344.25531,1208.93481,-1040.23230,-169.84000,1139.25269,-755.87305,369.41580,1071.21265,-867.82184,-53.01020,973.45508,-614.31122,274.95581,908.20276,-910.49200,90.41391,906.53723,-699.65271,1.08788,962.68378,-1013.37860,154.38239,455.60144,-1011.79364,192.04428,497.02118,-710.08630,-55.74224,97.68465,-1163.82031,245.36884,82.28424,-756.70947,NA,P5,13
22,0.21,243.75233,1643.51807,-757.58844,34.50891,1487.46082,-914.22455,,,,,,,277.04486,1482.35522,-957.01483,-39.98365,1399.85742,-704.66553,186.48927,1291.07739,-764.82953,98.71416,1737.27051,-799.97223,351.87241,1210.67212,-1031.23926,-164.52666,1137.92493,-753.09918,376.30121,1073.42419,-857.15997,-51.48750,972.96228,-608.56378,283.20889,909.36584,-903.00861,99.08704,907.92041,-691.18811,8.45818,962.45978,-1006.70178,157.58594,455.45996,-1007.63782,201.50771,498.61826,-707.54810,-55.74224,97.68465,-1163.82031,246.80020,81.90189,-756.73724,NA,P5,13
