Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,35
18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,-104.92007,1297.91748,1630.23389,,,,-181.71806,1273.73828,1387.88989,,,,-319.08704,993.87323,1710.56152,,,,,,,-236.25343,537.28613,1800.94263,,,,-258.43933,138.36168,1935.15979,NA,P5,35
19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-106.40254,1296.50720,1626.84180,,,,-182.99355,1272.37817,1384.16382,,,,-321.00870,992.96442,1708.59875,,,,,,,-236.72600,537.00342,1798.16687,,,,-258.60779,138.49086,1935.15540,NA,P5,35
20,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.31683,1295.50842,1623.56934,,,,-183.17128,1271.21545,1381.55713,,,,-323.81787,992.20380,1707.37012,,,,,,,-237.39461,536.99591,1794.08850,,,,-258.72119,138.50476,1935.22253,NA,P5,35
21,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-109.71048,1294.72778,1620.26367,,,,-184.23604,1270.20642,1377.89697,,,,-325.61261,991.03894,1705.37134,,,,,,,-238.35220,536.61285,1789.65552,,,,-258.87576,138.50722,1935.28540,NA,P5,35
22,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111.28009,1293.77454,1617.20154,,,,-185.49142,1268.71375,1374.18579,,,,-328.47086,990.31653,1700.38525,,,,,,,-240.00169,535.44757,1785.47656,,,,-259.13046,138.45123,1935.58154,NA,P5,35
23,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.20625,1292.55054,1613.59778,,,,-185.72556,1267.62256,1371.60449,,,,-330.52664,989.26971,1698.61694,,,,,,,-241.56987,534.88971,1784.65942,,,,-259.41177,138.44305,1935.76416,NA,P5,35
24,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115.01881,1291.91138,1610.91589,,,,-188.53009,1266.37341,1368.14282,,,,-333.43671,989.30670,1694.15259,,,,,,,-243.21118,533.87323,1778.80371,,,,-259.71490,138.45604,1935.82275,NA,P5,35
25,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.07252,1290.98108,1607.85034,,,,-190.44177,1265.08215,1364.46680,,,,-335.59515,988.37543,1693.05090,,,,,,,-245.15714,533.23523,1776.29480,,,,-260.15112,139.10176,1935.69678,NA,P5,35
26,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,-119.18649,1289.88989,1603.98218,,,,-191.44614,1264.24109,1361.74451,,,,-338.44339,987.15106,1690.68188,,,,,,,-247.39417,531.38580,1775.04785,,,,-260.40912,139.14656,1935.52344,NA,P5,35
27,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.95638,1289.02808,1600.51758,,,,-191.67130,1263.31616,1357.97058,,,,-340.51904,986.37372,1687.36523,,,,,,,-249.87148,530.71790,1769.81433,,,,-260.94263,139.48337,1935.81628,NA,P5,35
28,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123.02662,1287.68359,1596.92944,,,,-193.87383,1262.49011,1353.98669,,,,-343.28833,985.00598,1685.18420,,,,,,,-252.51968,530.57080,1766.55750,,,,-261.68301,139.53334,1936.20288,NA,P5,35
29,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,-125.59553,1286.56665,1592.94958,,,,-195.15442,1262.06934,1350.16138,,,,-345.73395,984.60913,1680.61890,,,,,,,-254.71930,530.19952,1763.51440,,,,-262.34619,139.74797,1935.44653,NA,P5,35
30,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,-127.31051,1285.62817,1589.66052,,,,-196.59509,1261.27124,1346.25366,,,,-347.96979,982.94208,1676.56006,,,,,,,-257.40353,528.75024,1760.79175,,,,-262.75089,140.42215,1935.90161,NA,P5,35
31,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-129.84778,1284.53418,1586.08313,,,,-198.52541,1260.20117,1342.28467,,,,-350.90271,981.69507,1674.31335,,,,,,,-259.89020,527.11182,1759.55029,,,,-264.25101,140.71548,1935.23413,NA,P5,35
32,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-132.42252,1283.52197,1582.87378,,,,-199.26099,1260.35669,1338.71826,,,,-353.38354,980.86633,1671.90295,,,,,,,-262.74847,526.78711,1755.66711,,,,-264.74487,140.67082,1935.51624,NA,P5,35
