Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,15
1,0,-226.73727,1485.23083,-754.91870,-162.67062,1519.34534,-1125.21460,,,,-317.86249,1563.34070,-848.47290,-91.31572,973.81281,-1221.18298,,,,-194.19260,1299.74951,-934.05023,,,,137.49777,1206.78650,-1024.10156,-456.83661,1186.54883,-1137.56311,53.08886,1101.59717,-847.31891,-454.47339,1068.27100,-931.31372,-56.99292,906.05579,-947.29498,-332.15897,930.98462,-994.27637,,,,-18.49942,477.83411,-1004.62286,-377.96451,509.55624,-944.36761,-14.49152,69.25710,-1151.16272,,,,NA,P5,15
2,0.01,-229.46579,1484.88782,-752.85730,-164.89024,1518.83899,-1122.72791,,,,-321.23389,1563.43689,-847.15369,-92.26615,973.75549,-1219.10779,,,,-196.72130,1299.01709,-932.69861,,,,133.21683,1206.66479,-1020.87555,-458.78415,1186.08032,-1137.14294,49.72533,1100.97351,-844.73505,-455.45096,1066.49878,-931.10876,-60.19235,905.45496,-944.81812,-334.13486,930.43024,-993.26758,,,,-22.13454,477.42746,-1005.85480,-381.38040,509.66425,-944.50800,-13.25203,71.74891,-1147.98206,,,,NA,P5,15
3,0.02,-234.50017,1485.48474,-751.26715,-167.13632,1518.78711,-1120.47559,,,,-324.70752,1563.40894,-845.63263,-93.13831,974.00116,-1217.00854,,,,-201.11052,1299.68945,-930.95319,,,,133.37778,1207.60071,-1018.45374,-460.98495,1185.49060,-1136.83899,45.04914,1100.36646,-841.67523,-459.43365,1066.81104,-930.51593,-63.05435,905.27881,-942.03857,-338.16583,931.02045,-992.26532,,,,-24.37251,477.32053,-1005.34351,-384.06842,509.48367,-944.59222,,,,,,,NA,P5,15
4,0.03,-237.51445,1485.67664,-749.51978,-169.66818,1518.39905,-1118.41846,,,,-328.24747,1563.51672,-844.33344,-94.11724,973.62079,-1214.09277,,,,-203.04739,1299.16321,-929.17065,,,,128.61501,1207.58447,-1016.03436,-463.28952,1185.51001,-1136.42310,40.36487,1100.55139,-838.99255,-461.38278,1066.03418,-930.44049,-66.26208,905.01996,-939.87122,-340.00250,930.22540,-991.95612,,,,-27.38046,476.42038,-1005.17896,-386.81311,509.27121,-944.32343,-8.86866,75.69042,-1145.01575,,,,NA,P5,15
5,0.04,-242.49426,1485.88977,-748.38446,-172.24869,1518.34937,-1116.59021,,,,-331.88962,1563.46753,-842.88684,-95.46600,973.10242,-1211.39539,,,,-207.65060,1299.06262,-926.91711,,,,124.13815,1206.61011,-1011.82483,-465.84204,1184.99902,-1135.51135,36.25304,1100.05261,-836.34406,-466.62405,1065.87439,-930.00482,-68.89288,905.09253,-937.71619,-343.01001,929.43378,-990.72534,,,,-30.57026,476.44333,-1003.80023,-388.87955,508.63037,-943.90350,-14.95762,70.72584,-1148.11572,,,,NA,P5,15
6,0.05,-245.01152,1485.38867,-746.04230,-174.96249,1518.18848,-1114.74866,,,,-335.65179,1563.22937,-840.77191,-97.10390,973.26678,-1209.65857,,,,-211.41187,1298.73901,-924.85687,,,,122.50233,1205.23743,-1008.03619,-467.71396,1184.69910,-1135.07031,32.34299,1100.11914,-833.80035,-468.97977,1065.38586,-929.18176,-72.91895,904.81714,-934.60004,-345.71625,929.22186,-989.56555,,,,-33.01571,476.01956,-1004.36407,-391.64529,508.00830,-944.38855,,,,,,,NA,P5,15
7,0.06,-249.97330,1486.24121,-744.46637,-177.77814,1517.84985,-1112.35181,,,,-339.51376,1563.43713,-839.75836,-98.86153,973.05756,-1207.13232,,,,-215.10881,1298.00671,-923.27478,,,,117.37712,1206.03467,-1005.31262,-470.81839,1184.55652,-1134.45813,27.67662,1099.59180,-830.95007,-473.22000,1064.61255,-928.49939,-75.81206,904.96033,-931.10358,-350.55508,929.78766,-987.84930,,,,-35.60431,475.77966,-1002.24030,-393.64893,507.13638,-944.51147,,,,,,,NA,P5,15
8,0.07,-252.65193,1486.07434,-742.03131,-180.79153,1517.49121,-1110.19910,,,,-343.41962,1563.58130,-838.19464,-100.82951,973.03461,-1204.49072,,,,-219.20773,1298.20911,-920.55963,,,,113.22344,1206.04492,-1001.46552,-473.45471,1184.21826,-1133.61206,22.58866,1099.52686,-827.97198,-476.36905,1063.77356,-927.95215,-78.91331,904.93726,-928.22015,-352.42075,929.42493,-986.02106,,,,-37.94412,475.75101,-1001.77026,-394.85928,506.02274,-944.61694,,,,,,,NA,P5,15
9,0.08,-258.56467,1486.10840,-740.37903,-183.79399,1517.17383,-1107.47729,,,,-347.47903,1563.44690,-836.43915,-103.05983,973.10596,-1201.97595,,,,-222.53748,1297.48669,-919.03516,,,,110.62902,1204.19495,-997.93848,-475.94794,1183.48401,-1132.90771,17.92573,1099.36157,-825.41736,-480.02765,1063.59253,-926.98627,-83.26767,904.60016,-925.28009,-357.18475,928.93677,-984.70453,,,,-41.75972,475.38486,-1000.60260,-396.56174,504.76743,-945.03021,-16.97272,70.44504,-1149.29102,,,,NA,P5,15
10,0.09,-261.69171,1485.53564,-737.63739,-187.02475,1516.75696,-1105.23755,,,,-351.55829,1563.44714,-834.61969,-105.81502,972.54492,-1199.93872,,,,-227.86522,1297.90576,-917.32117,,,,106.05704,1204.93884,-994.14484,-479.22128,1182.93091,-1131.77234,12.34378,1098.75513,-822.58667,-484.32660,1063.19128,-925.67670,-86.80074,904.71899,-922.00464,-361.05820,929.15833,-983.13849,,,,-44.05178,475.25699,-999.29913,-398.22720,503.78818,-945.49188,-18.14203,70.07755,-1149.95410,,,,NA,P5,15
