Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,28
1,0,,,,-450.07867,75.77212,-1152.15588,,,,,,,-350.14102,1506.07471,-1213.36169,,,,,,,,,,-43.08662,1181.31201,-1199.99585,-561.77332,1148.68604,-1044.07629,9.88567,948.09161,-1131.72180,-538.63940,903.47577,-954.30573,-131.45068,927.14496,-1023.26257,-392.80307,939.48022,-954.38324,-302.79330,951.43384,-1274.13757,-80.43919,483.90250,-1084.56665,-460.76773,471.38623,-997.85394,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
2,0.01,,,,-450.11172,75.71336,-1152.29480,,,,,,,-350.59818,1506.00464,-1212.77124,,,,,,,,,,-44.20395,1182.61206,-1203.78894,-561.65186,1148.66138,-1043.26526,9.54927,948.07617,-1134.08179,-538.29724,903.62250,-953.76300,-131.06104,926.87817,-1024.20740,-392.71619,939.51569,-954.25781,-303.39590,951.40863,-1273.90576,-79.85963,484.37997,-1085.86133,-460.74927,471.37134,-997.84332,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
3,0.02,,,,-450.06982,75.77539,-1152.11560,,,,,,,-351.12198,1505.82764,-1212.55090,,,,,,,,,,-44.52839,1182.50000,-1204.20703,-561.33405,1148.79785,-1042.53125,8.86180,948.00098,-1134.53101,-537.89105,903.56036,-953.52759,-131.05145,926.89063,-1024.20178,-392.55191,939.63550,-954.06940,-303.99271,951.65204,-1273.94604,-79.43020,484.36179,-1086.76636,-460.70685,471.37683,-997.60297,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
4,0.03,,,,-450.05591,75.79008,-1152.05457,,,,,,,-351.50479,1505.87134,-1212.26050,,,,,,,,,,-44.85949,1182.39575,-1204.59045,-560.81006,1148.37354,-1042.22949,8.60013,947.86542,-1134.78345,-537.81934,902.88416,-952.35901,-131.13855,926.87524,-1024.25793,-392.51801,939.60718,-954.04938,-304.51700,951.48303,-1273.40503,-79.20109,484.06409,-1087.46375,-460.44833,471.14508,-997.54211,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
5,0.04,-153.91815,1610.22156,-909.09155,-450.04581,75.80099,-1152.01013,,,,,,,-351.96329,1505.81458,-1212.05200,,,,,,,,,,-45.20776,1182.26611,-1205.08020,-561.12280,1148.45972,-1041.82166,8.34790,947.70648,-1135.08142,-537.33319,903.02747,-951.61273,-130.97797,927.20428,-1024.23828,-392.34903,939.73065,-953.85101,-305.08795,951.50983,-1273.55017,-79.35760,484.09564,-1087.56262,-460.42023,471.14056,-997.52863,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
6,0.05,-154.26767,1610.36499,-909.29688,-450.03802,75.81586,-1151.97766,,,,,,,-352.37183,1505.80237,-1211.78296,,,,,,,,,,-45.53474,1182.14087,-1205.55530,-561.16614,1148.64417,-1041.06775,8.11694,947.57581,-1135.33850,-537.44458,903.26276,-951.39313,-130.47462,926.51563,-1025.36841,-392.87878,940.03748,-952.26630,-305.85260,951.37854,-1273.73218,-79.38325,483.99551,-1087.99402,-459.65503,470.44223,-997.02643,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
7,0.06,-154.59547,1610.77148,-909.64368,-450.06332,75.79007,-1152.08911,,,,,,,-352.81610,1505.83936,-1211.59277,,,,,,,,,,-45.82638,1182.02930,-1205.97925,-560.96692,1148.69580,-1040.43420,7.85477,947.78278,-1136.46814,-536.90009,902.73737,-950.79291,-130.53888,926.68378,-1026.29358,-392.78250,940.05652,-952.05859,-306.54315,951.40894,-1273.65393,-79.69163,483.45880,-1088.38379,-459.63715,470.44043,-997.01807,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
8,0.07,-155.05702,1610.89026,-910.20361,-450.05460,75.80257,-1152.05164,,,,,,,-353.28879,1505.80688,-1211.54407,,,,,,,,,,-46.13704,1181.92371,-1206.37378,-560.95935,1148.56396,-1039.68250,7.63211,947.67114,-1136.67700,-536.87616,902.67706,-949.55664,-130.48955,926.71307,-1026.26294,-391.66083,939.92896,-952.52887,-307.12979,951.65424,-1273.69202,-79.66870,483.74594,-1088.40540,-459.60587,470.40402,-996.99841,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
9,0.08,-155.39023,1611.52966,-910.95715,-450.07727,75.76183,-1152.14673,,,,,,,-353.72928,1505.90076,-1211.58081,-485.03632,1438.98718,-1022.18372,,,,,,,-46.46774,1181.82446,-1206.73792,-562.21448,1148.75317,-1039.38501,7.14718,947.39874,-1138.14490,-536.51385,902.85559,-949.06110,-130.53041,926.72327,-1026.29028,-391.74185,940.13440,-952.26550,-307.58588,951.04773,-1272.57886,-80.10473,483.56577,-1088.88208,-459.43582,470.53381,-996.71271,-156.00188,67.15536,-1171.97668,,,,NA,P5,28
