"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","","","","","","","-239.72467","956.68518","-1642.76196","","","","-266.21222","773.70233","-1549.62427","-758.90204","761.49023","-1609.42029","-395.96692","808.95105","-1561.34399","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
2,0.01,"","","","","","","","","","","","","","","","","","","","","","","","","-241.79378","956.48090","-1641.38196","","","","-268.57498","773.52301","-1547.96240","-759.47156","760.53107","-1611.61023","-397.34134","808.78772","-1558.30872","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
3,0.02,"","","","","","","","","","","","","","","","","","","","","","","","","-243.88402","956.26917","-1640.03247","","","","-270.60950","772.41321","-1545.99133","-761.73108","759.42963","-1608.57654","-398.83215","806.73755","-1558.29419","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
4,0.03,"","","","","","","","","","","","","","","","","","","","","","","","","-245.37738","955.73724","-1638.36829","","","","-270.98877","770.99231","-1547.97131","-764.24670","758.78516","-1607.87134","-401.55112","806.22302","-1556.40051","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
5,0.04,"","","","","","","","","","","","","","","","","","","","","","","","","-246.99185","953.27551","-1633.08813","","","","-273.29843","771.06079","-1541.02271","-765.31543","758.05957","-1608.37036","-404.80420","805.45837","-1552.93372","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
6,0.05,"","","","","","","","","","","","","","","","","","","","","","","","","-249.33698","952.60815","-1630.98926","","","","-274.37064","770.48950","-1538.62231","-766.61292","755.63977","-1608.46240","-406.44467","804.48242","-1552.89307","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
7,0.06,"","","","","","","","","","","","","","","","","","","","","","","","","-251.00223","953.41455","-1631.64160","","","","-276.15063","769.15698","-1534.96448","-768.06592","754.64758","-1607.21802","-407.58301","804.08356","-1550.23108","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
8,0.07,"","","","","","","","","","","","","","","","","","","","","","","","","-252.40282","953.12903","-1629.97412","","","","-278.15262","769.81348","-1530.60168","-769.37372","754.69202","-1602.42896","-408.55536","803.73572","-1547.50842","","","","","","","","","","","","","","","","","","",NA,"P3",22,4
9,0.08,"","","","","","","","","","","","","","","","-680.28247","1289.02820","-1662.62952","","","","","","","-254.84290","950.33325","-1623.16418","","","","-279.80054","769.12488","-1528.87927","-770.74927","755.61774","-1599.30261","-410.82568","803.83807","-1540.94238","","","","","","","","","","","","","","","","","","",NA,"P3",22,5
10,0.09,"","","","","","","","","","","","","","","","-682.29950","1288.20911","-1658.47852","","","","","","","-256.20514","950.13135","-1621.18530","","","","-281.56519","766.72784","-1530.50525","-772.05383","752.36188","-1598.52905","-411.24948","802.82581","-1542.96619","","","","","","","","","","","","","","","","","","",NA,"P3",22,5
11,0.1,"","","","","","","","","","","","","","","","-683.11047","1287.79736","-1655.70081","","","","","","","-257.59232","949.99896","-1618.95874","","","","-284.02072","765.66949","-1528.81750","-773.15063","752.16064","-1597.59045","-413.03152","803.72925","-1537.84570","","","","","","","","","","","","","","","","","","",NA,"P3",22,5
