"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
21,0.2,"","","","","","","","","","","","","","","","-631.01398","1283.78882","-1596.91711","","","","","","","-208.12547","955.74017","-1530.10706","","","","-242.16695","765.99664","-1450.65173","","","","-356.20969","811.64935","-1488.02991","","","","","","","","","","","","","-380.32806","96.52708","-1391.04102","","","",NA,"P3",5,5
22,0.21,"","","","","","","","","","","","","","","","-632.14197","1281.23035","-1587.77026","","","","","","","-209.44780","954.91431","-1523.75452","","","","-243.23375","765.13129","-1445.07410","","","","-357.59369","810.89764","-1481.68860","","","","","","","","","","","","","-384.67023","96.54437","-1366.95825","","","",NA,"P3",5,5
23,0.22,"","","","","","","","","","","","","","","","-633.97284","1281.38525","-1583.71277","","","","","","","-209.75093","953.62317","-1516.10388","","","","-243.73528","762.72540","-1441.29639","","","","-360.38242","810.29022","-1473.28137","","","","","","","","","","","","","-388.94904","95.50264","-1347.39343","","","",NA,"P3",5,5
24,0.23,"","","","","","","","","","","","","","","","-635.11768","1280.86438","-1578.66235","","","","","","","-211.14342","954.24493","-1511.88782","","","","-244.11270","761.69080","-1436.23438","","","","-361.88568","807.74445","-1471.31421","","","","","","","","","","","","","-394.03952","95.38757","-1328.82080","","","",NA,"P3",5,5
25,0.24,"","","","","","","","","","","","","","","","-635.73035","1278.99756","-1571.05139","","","","","","","-212.52158","952.08447","-1502.26294","","","","-243.35487","760.92438","-1429.26367","","","","-364.15845","808.24652","-1462.02136","","","","","","","","","","","","","-398.61734","96.44823","-1310.80212","","","",NA,"P3",5,5
26,0.25,"","","","","","","","","","","","","-287.38669","1281.84888","-1474.40063","-637.41168","1279.17517","-1566.75708","","","","","","","-213.87189","953.10822","-1499.15613","","","","-242.88264","758.86035","-1423.76013","","","","-366.14514","808.42755","-1440.47278","","","","","","","","","","","","","-402.43521","97.22317","-1297.00720","","","",NA,"P3",5,6
27,0.26,"","","","","","","","","","","","","-288.67532","1281.55725","-1468.37744","-638.40112","1278.65210","-1561.57117","","","","","","","-214.47166","950.85968","-1489.79321","","","","-243.72702","758.01947","-1414.93115","","","","-369.21051","807.46472","-1434.39136","","","","","","","","","","","","","-406.82800","98.94562","-1278.29846","","","",NA,"P3",5,6
28,0.27,"","","","","","","","","","","","","-289.58786","1279.45789","-1457.90784","-638.87921","1276.82996","-1553.72192","","","","","","","-215.61168","951.06110","-1484.30396","","","","-244.49677","757.13489","-1409.40442","","","","-371.63394","806.33887","-1427.91101","","","","","","","","","","","","","-410.06274","99.49460","-1266.44543","","","",NA,"P3",5,6
29,0.28,"","","","","","","","","","","","","-291.67523","1279.96960","-1453.52893","-640.42297","1277.04321","-1549.15979","","","","","","","-216.69676","949.83228","-1475.96094","","","","-245.26816","755.23004","-1403.74133","","","","-373.65967","805.58209","-1418.29822","","","","","","","","","","","","","-414.22791","99.61703","-1255.78333","","","",NA,"P3",5,6
30,0.29,"","","","","","","","","","","","","-292.46307","1277.69128","-1442.82397","-641.24097","1275.68640","-1541.56470","","","","","","","-216.48695","948.20264","-1467.03052","","","","-246.51517","753.81360","-1397.22046","","","","-376.90915","802.72485","-1411.87256","","","","","","","","","","","","","-416.79413","100.09763","-1244.01282","","","",NA,"P3",5,6
31,0.3,"","","","","","","","","","","","","-293.57318","1278.05237","-1438.44202","-641.72449","1274.89160","-1535.38147","","","","","","","-217.16656","946.96478","-1459.26892","","","","-245.71298","750.80280","-1392.10535","","","","-378.94742","801.95056","-1403.35913","","","","","","","","","","","","","-419.86273","99.09705","-1236.77441","","","",NA,"P3",5,6
32,0.31,"","","","","","","","","","","","","-294.92477","1275.42053","-1426.27307","-642.23004","1275.25378","-1531.06152","","","","","","","-218.05717","946.11859","-1451.47070","","","","-245.85829","750.77203","-1383.32031","-679.50787","732.85437","-1449.55591","-380.95624","801.71802","-1394.73413","","","","","","","","","","","","","-422.38013","96.39959","-1231.42554","","","",NA,"P3",5,7
33,0.32,"","","","","","","","","","","","","-295.72919","1274.61731","-1418.80774","-643.89636","1274.10022","-1521.88843","","","","","","","-219.40091","945.25720","-1443.62732","","","","-246.10211","751.58948","-1367.04724","-682.52448","731.00958","-1445.79346","-383.48788","800.52069","-1388.46118","","","","","","","","","","","","","-423.40805","94.59572","-1227.05701","","","",NA,"P3",5,7
34,0.33,"","","","","","","","","","","","","-297.49014","1272.76697","-1408.10657","-644.29285","1273.53735","-1514.87732","","","","","","","-220.34631","944.74597","-1437.19971","","","","-247.55974","749.11353","-1359.10547","-681.29187","731.59723","-1431.39575","-386.70267","799.47443","-1376.62561","","","","","","","","","","","","","-425.15897","93.83433","-1221.72388","","","",NA,"P3",5,7
35,0.34,"","","","","","","","","","","","","-298.64157","1272.61145","-1401.62598","-644.78815","1274.14893","-1509.73669","","","","","","","-221.27779","943.34064","-1428.18579","","","","-248.46565","747.98901","-1353.35522","-684.66913","729.07507","-1431.36316","-389.27463","798.65405","-1367.61865","","","","","","","","","","","","","-426.49982","90.55701","-1220.78552","","","",NA,"P3",5,7
36,0.35,"","","","","","","","","","","","","-299.22165","1271.14661","-1392.05457","-646.32465","1272.35059","-1497.64502","","","","","","","-222.14987","942.57892","-1419.53528","","","","-249.63803","748.07538","-1343.68689","-684.39996","729.94556","-1421.08862","-391.00421","797.82648","-1361.06726","","","","","","","","","","","","","-427.66626","89.36526","-1215.85510","","","",NA,"P3",5,7
37,0.36,"","","","","","","","","","","","","-301.24991","1271.39014","-1385.46167","-646.67291","1272.95129","-1491.73328","-502.68213","1139.21875","-1342.78674","","","","-223.03152","942.14142","-1411.27063","","","","-250.85133","746.76141","-1335.47913","-684.93256","732.09631","-1408.88538","-393.88358","797.48676","-1349.79907","","","","","","","","","","","","","-428.95316","88.28689","-1214.27356","","","",NA,"P3",5,8
38,0.37,"","","","","","","","","","","","","-301.63864","1270.04199","-1375.38818","-648.02130","1273.82739","-1484.78040","-504.59317","1141.06506","-1331.85266","","","","-223.97426","941.07294","-1401.62439","","","","-251.94456","746.38550","-1328.18103","-687.94733","732.36761","-1404.28748","-395.31207","798.32855","-1339.07422","","","","","","","","","","","","","-431.55249","86.65482","-1210.80420","","","",NA,"P3",5,8
39,0.38,"","","","","","","","","","","","","-302.52887","1270.11719","-1367.91675","-648.67035","1273.22131","-1474.69006","-506.00491","1140.75964","-1323.12122","","","","-224.86130","939.69482","-1390.88135","","","","-253.04745","744.27179","-1317.59216","-689.04724","730.92792","-1395.03271","-398.27359","797.78839","-1333.04431","","","","","","","","","","","","","-433.10864","84.85418","-1206.92212","","","",NA,"P3",5,8
40,0.39,"","","","","","","","","","","","","-303.92786","1268.65149","-1355.64221","-648.91779","1273.23560","-1465.72656","-506.94986","1141.18652","-1314.86304","","","","-226.61427","940.46252","-1384.70605","","","","-253.97606","744.02429","-1309.04260","-688.48041","732.08289","-1379.93384","-399.42307","797.58374","-1321.20508","","","","","","","","","","","","","-434.07379","83.81428","-1204.37842","","","",NA,"P3",5,8
41,0.4,"","","","","","","","","","","","","-304.07791","1268.77832","-1347.61584","-650.73132","1274.44690","-1456.92151","-508.02094","1143.12451","-1305.50073","","","","-227.94566","940.09723","-1375.32214","","","","-255.55667","744.31683","-1298.06995","-690.02356","734.08411","-1374.15747","-402.35779","798.90887","-1311.23303","","","","","","","","","","","","","-435.96292","83.59178","-1200.70435","","","",NA,"P3",5,8
42,0.41,"","","","","","","","","","","","","-304.97931","1270.27258","-1342.00488","-651.29706","1276.26257","-1450.24988","-508.80820","1144.46289","-1289.70068","","","","-229.66124","940.22913","-1365.72693","","","","-256.96448","743.81256","-1290.36572","-692.26355","734.59363","-1366.44299","-403.48822","799.48035","-1303.54443","","","","","","","","","","","","","-436.10138","83.41504","-1197.14893","","","",NA,"P3",5,8
43,0.42,"","","","","","","","","","","","","-306.35507","1269.95642","-1330.79248","-652.44836","1277.66589","-1441.36401","-509.71036","1145.44067","-1280.65674","","","","-230.42870","941.06494","-1357.52380","","","","-259.77026","744.02899","-1281.61499","-694.73712","737.22601","-1357.41821","-405.79654","801.63385","-1293.49365","","","","","","","","","","","","","-435.69800","83.72469","-1194.44006","","","",NA,"P3",5,8
44,0.43,"","","","","","","","","","","","","-306.47986","1269.98035","-1320.89099","-652.57635","1279.02588","-1432.79199","-510.27911","1146.65735","-1272.02832","","","","-231.83057","939.86420","-1343.75916","","","","-262.87558","744.47809","-1271.66797","-696.40454","738.27930","-1348.06982","-406.54413","804.44110","-1281.92627","","","","","","","","","","","","","-435.89230","83.88441","-1193.68848","","","",NA,"P3",5,8
45,0.44,"","","","","","","","","","","","","-307.30814","1271.20667","-1313.06165","-654.30823","1280.94495","-1423.26025","-512.12744","1148.67883","-1263.41052","","","","-233.10909","941.66833","-1336.83154","","","","-263.71069","745.57410","-1261.99414","-698.39905","740.67938","-1337.51282","-408.56421","806.44226","-1273.78650","","","","","","","","","","","","","-436.37784","83.01888","-1192.19165","","","",NA,"P3",5,8
46,0.45,"","","","","","","","","","","","","-308.05222","1272.46521","-1305.06409","-654.37848","1282.44177","-1414.13892","-512.32703","1150.62878","-1254.73096","","","","-235.02025","942.33661","-1326.22058","","","","-266.63913","747.69263","-1253.20447","-699.52045","743.09619","-1328.35999","-408.41177","807.34656","-1263.82556","","","","","","","","","","","","","-436.29782","83.50698","-1189.20117","","","",NA,"P3",5,8
47,0.46,"","","","","","","","","","","","","-308.41873","1274.71948","-1299.41687","-655.00409","1285.70044","-1408.06458","-513.93677","1153.33325","-1246.08447","","","","-236.09613","942.44373","-1314.01282","","","","-269.22235","748.29639","-1242.65063","-700.07178","745.29895","-1320.27271","-410.35403","810.58588","-1253.34558","","","","","","","","","","","","","-436.00958","83.94139","-1187.64490","","","",NA,"P3",5,8
48,0.47,"","","","","","","","","","","","","-309.39365","1276.66565","-1292.01440","-656.04681","1287.01074","-1396.41443","-514.02362","1155.61401","-1237.81616","","","","-238.50259","944.76935","-1306.58435","","","","-270.99576","750.89453","-1230.53455","-703.19891","747.81604","-1309.92542","-410.73944","811.68726","-1243.16431","","","","","","","","","","","","","-435.98819","83.75385","-1187.07532","","","",NA,"P3",5,8
49,0.48,"","","","","","","","","","","","","-309.96466","1278.05286","-1283.41284","-656.51117","1291.41052","-1392.45044","-515.31744","1158.25378","-1228.39661","","","","-240.11794","946.91858","-1297.79407","","","","-274.68799","751.83551","-1220.46753","-704.98303","749.52911","-1298.65820","-412.47354","813.33801","-1236.24133","","","","","","","","","","","","","-435.17181","83.49357","-1186.41003","","","",NA,"P3",5,8
