"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","-484.39725","1157.82300","-1512.70300","","","","-233.26283","944.64697","-1600.91040","","","","-268.26648","759.44672","-1515.70752","-751.88452","754.42719","-1602.02881","-385.99420","794.86328","-1558.52026","","","","","","","","","","-650.20526","443.91113","-1447.57593","","","","-648.34851","99.20916","-1472.57178",NA,"P3",31,7
2,0.01,"","","","","","","","","","","","","","","","-652.77832","1289.86145","-1643.50464","-484.90295","1156.58936","-1510.08826","","","","-233.59927","942.85858","-1595.03455","","","","-269.46030","758.47345","-1508.76038","-753.04773","755.20233","-1595.91541","-386.22528","792.60944","-1555.66101","","","","","","","","","","-650.38989","442.36084","-1441.96753","","","","-651.29565","99.30814","-1454.02795",NA,"P3",31,8
3,0.02,"","","","","","","","","","","","","","","","-653.57428","1289.66614","-1640.27026","-485.79044","1155.21790","-1504.90686","","","","-233.98790","942.27081","-1590.72168","","","","-269.91196","757.55225","-1505.36646","-753.76758","754.49695","-1593.61438","-386.86734","792.74066","-1550.42114","","","","","","","","","","-651.41956","440.18918","-1442.80969","","","","-653.63971","96.52124","-1440.59351",NA,"P3",31,8
4,0.03,"","","","","","","","","","","","","","","","-654.92743","1287.43469","-1632.11438","-487.35757","1156.18237","-1494.75342","","","","-235.60460","942.90881","-1589.68713","","","","-270.99286","757.19391","-1499.13525","-755.13660","752.29327","-1590.57080","-386.79169","792.52032","-1545.95898","","","","","","","","","","-651.66315","437.46515","-1442.01599","","","","-655.68689","95.32349","-1428.04834",NA,"P3",31,8
5,0.04,"","","","","","","","","","","","","","","","-655.66266","1287.09937","-1628.74512","-487.87500","1154.33057","-1491.50378","","","","-236.08995","938.97607","-1579.11304","","","","-271.69919","756.28461","-1494.95544","-755.96387","750.67578","-1589.33740","-387.76050","792.50714","-1538.61646","","","","","","","","","","-652.37341","436.56082","-1432.77625","","","","-659.03320","96.52936","-1412.41968",NA,"P3",31,8
6,0.05,"","","","","","","","","","","","","","","","-656.87463","1286.37500","-1624.40295","-488.75784","1152.30200","-1489.99438","","","","-238.48366","939.66724","-1578.07092","","","","-272.45026","754.00476","-1491.84888","-756.47156","749.44238","-1586.83911","-388.34665","791.15552","-1533.46863","","","","","","","","","","-653.49835","435.08463","-1430.54102","","","","-660.76654","93.05205","-1404.85620",NA,"P3",31,8
7,0.06,"","","","","","","","","","","","","","","","-658.70367","1284.70630","-1617.03625","-490.71368","1153.04993","-1481.74841","","","","-238.84476","937.99225","-1571.60034","","","","-273.57724","754.21655","-1484.98914","-757.35419","747.51825","-1581.80347","-389.33154","791.52264","-1524.62500","","","","","","","","","","-654.02454","432.73398","-1429.50354","","","","-663.43951","94.80113","-1389.67566",NA,"P3",31,8
8,0.07,"","","","","","","","","","","","","","","","-659.62872","1284.37793","-1613.89612","-491.88385","1152.46716","-1475.36316","","","","-240.34767","936.92603","-1566.69336","","","","-274.63028","753.09644","-1482.25793","-759.67999","747.51453","-1575.32434","-389.86880","790.42804","-1520.54028","","","","","","","","","","-654.54810","431.55585","-1425.98022","","","","-666.23273","94.33132","-1376.96179",NA,"P3",31,8
9,0.08,"","","","","","","","","","","","","","","","-660.91486","1283.71606","-1609.46155","-492.39795","1150.75439","-1472.14783","","","","-242.52792","936.69269","-1563.02844","","","","-275.79660","751.34406","-1477.14966","-760.43451","745.95428","-1573.26367","-390.12384","787.83044","-1519.19751","","","","","","","","","","-655.84857","430.81235","-1424.58521","","","","-667.84314","93.97107","-1366.93567",NA,"P3",31,8
10,0.09,"","","","","","","","","","","","","","","","-662.72229","1281.20447","-1600.66577","-494.57260","1150.72412","-1464.89001","","","","-243.77382","933.93604","-1555.19189","","","","-277.20923","749.01062","-1473.04431","-761.37213","744.25409","-1571.94482","-392.81287","788.28790","-1508.57898","","","","","","","","","","-657.49188","429.45587","-1420.90662","","","","-670.07751","94.47772","-1356.94055",NA,"P3",31,8
11,0.1,"","","","","","","","","","","","","","","","-664.26904","1281.27393","-1597.50220","-496.10413","1149.78040","-1460.22717","","","","-245.24879","934.01807","-1552.30774","","","","-278.44925","748.01312","-1468.50049","-763.51691","744.28333","-1564.74219","-393.79636","787.25696","-1503.60315","","","","","","","","","","-657.31592","427.02432","-1415.14185","","","","-671.65314","94.67172","-1346.43225",NA,"P3",31,8
12,0.11,"","","","","","","","","","","","","","","","-665.39777","1281.22717","-1594.58179","-497.53619","1149.02698","-1455.13489","","","","-247.67935","933.42651","-1547.71472","","","","-280.65146","747.66760","-1462.83728","-764.79724","741.85498","-1561.30603","-394.66254","786.55273","-1499.61084","","","","","","","","","","-659.23914","424.76578","-1411.63696","","","","-673.51782","94.24432","-1337.08386",NA,"P3",31,8
13,0.12,"-305.59738","1268.88928","-1538.53271","","","","","","","","","","","","","-667.72681","1278.81592","-1585.10962","-499.65469","1148.55322","-1446.34863","","","","-248.75317","931.09009","-1540.17957","","","","-282.45868","745.00763","-1459.27942","-765.63165","740.22858","-1560.11597","-397.13434","786.57770","-1490.91467","","","","","","","","","","-659.90228","424.34082","-1404.97375","","","","-674.93292","95.26617","-1327.58325",NA,"P3",31,9
14,0.13,"-307.06238","1267.37781","-1531.65247","","","","","","","","","","","","","-669.29266","1278.27991","-1580.65015","-501.20145","1145.80591","-1443.85107","","","","-251.15634","931.10345","-1536.48547","","","","-284.18286","744.26727","-1455.77307","-768.07935","739.11816","-1554.22852","-398.58667","784.46021","-1485.71521","","","","","","","","","","-661.15393","423.23792","-1399.73486","","","","-674.71826","93.54855","-1322.66870",NA,"P3",31,9
15,0.14,"-308.64536","1265.91125","-1524.66809","","","","","","","","","","","","","-671.34784","1275.93726","-1571.71277","-503.50467","1146.07666","-1437.38123","","","","-253.17099","928.43402","-1527.78308","","","","-286.76517","744.15607","-1447.00415","-769.92450","738.20502","-1545.87769","-399.83505","784.49829","-1480.04248","","","","","","","","","","-663.09180","421.27206","-1396.89587","","","","-674.99530","92.66224","-1315.48950",NA,"P3",31,9
16,0.15,"-311.33075","1265.60168","-1519.53748","","","","","","","","","","","","","-673.17297","1276.17456","-1568.35803","-505.61014","1144.97180","-1431.44934","","","","-254.78819","928.66199","-1524.38159","","","","-288.28949","742.11310","-1445.77734","-770.93066","736.44342","-1542.30188","-402.24777","784.39136","-1470.94165","","","","","","","","","","-663.78693","418.75064","-1390.51257","","","","-675.62036","91.97587","-1305.41528",NA,"P3",31,9
17,0.16,"-312.42371","1264.43506","-1512.99902","","","","","","","","","","","","","-675.24023","1274.64258","-1561.03479","-508.42502","1143.78149","-1425.95093","","","","-257.95432","928.20764","-1518.88513","","","","-290.27902","740.48584","-1439.99194","-773.98132","737.05670","-1530.97168","-403.60898","782.54553","-1468.87317","","","","","","","","","","-665.92145","417.44592","-1386.04517","","","","-675.56055","91.17792","-1300.60486",NA,"P3",31,9
18,0.17,"-315.31741","1264.18750","-1507.72693","","","","","","","","","","","","","-678.14325","1274.57336","-1556.03223","-509.53818","1142.45300","-1423.36633","","","","-259.49570","927.37683","-1513.23718","","","","-292.10013","740.16846","-1434.29382","-774.75232","734.72015","-1529.35254","-406.65067","782.48224","-1455.41272","","","","","","","","","","-666.75195","414.75024","-1380.86292","","","","-675.80731","88.06549","-1296.66492",NA,"P3",31,9
19,0.18,"-317.28055","1263.83264","-1502.33496","","","","","","","","","","","","","-679.75006","1274.89600","-1553.20544","-512.07068","1141.52344","-1414.06787","","","","-262.51917","927.49677","-1508.47791","","","","-294.30045","738.55951","-1428.05310","-776.16895","733.30865","-1521.73682","-407.78195","781.79132","-1445.07544","","","","","","","","","","-668.83679","412.59775","-1375.33984","","","","-675.77887","85.36935","-1296.38672",NA,"P3",31,9
20,0.19,"-319.87640","1261.84937","-1492.30786","","","","","","","","","","","","","-682.81183","1272.08154","-1541.77734","-514.12140","1142.48462","-1408.83545","","","","-264.14243","925.15094","-1499.45947","","","","-297.27078","738.97772","-1418.71265","-778.13824","732.70172","-1514.09778","-411.15414","781.57013","-1438.18872","","","","","","","","","","-670.59491","411.30875","-1370.58325","","","","-675.51843","82.28215","-1295.13696",NA,"P3",31,9
21,0.2,"-322.79285","1262.91504","-1489.46033","","","","","","","","","","","","","-685.43762","1272.50732","-1537.75208","-516.67780","1141.75134","-1399.47693","","","","-266.74857","925.30975","-1494.51221","","","","-299.01956","737.24121","-1413.60059","-780.07019","731.64990","-1506.21753","-412.60788","780.79462","-1431.30542","","","","","","","","","","-672.44049","408.71985","-1366.70776","","","","-675.56445","78.51036","-1295.43176",NA,"P3",31,9
22,0.21,"-325.52054","1261.00671","-1479.22974","","","","","","","","","","","","","-687.73834","1269.77649","-1527.33801","-518.36353","1140.26416","-1394.45508","","","","-268.92331","924.06598","-1486.68335","","","","-301.91956","738.29590","-1404.07422","-781.66089","733.58606","-1492.00330","-416.00546","780.81897","-1423.29626","","","","","","","-396.15054","379.85941","-1606.76184","-673.54517","407.57358","-1361.17114","","","","-675.03955","77.49797","-1291.39526",NA,"P3",31,10
23,0.22,"-328.15839","1260.91272","-1473.21472","","","","","","","","","","","","","-690.81409","1269.76123","-1521.66321","-521.84186","1141.51013","-1383.14038","","","","-271.12363","923.87427","-1480.37732","","","","-303.44788","737.10858","-1391.77637","-783.84741","732.50818","-1488.81201","-418.64105","781.03778","-1416.11902","","","","","","","-396.95541","379.83826","-1601.49634","-673.85034","405.09225","-1353.04089","","","","-673.87775","76.53913","-1287.12439",NA,"P3",31,10
24,0.23,"-330.82074","1260.89697","-1466.91077","","","","","","","","","","","","","-692.99072","1270.64709","-1519.02466","-524.13843","1140.25867","-1378.27148","","","","-273.96735","924.79901","-1475.54858","","","","-306.70203","737.01044","-1384.01648","-785.39417","731.70978","-1477.14795","-421.45999","780.62714","-1406.76172","","","","","","","-397.09073","378.73090","-1600.54626","-675.55725","405.13257","-1348.37439","","","","-673.48102","75.35440","-1280.32349",NA,"P3",31,10
25,0.24,"-334.38885","1260.53174","-1458.61243","","","","","","","","","","","","","-696.59863","1268.81519","-1508.43848","-527.32452","1140.91675","-1373.02795","","","","-276.80991","924.05334","-1466.90271","","","","-309.93829","736.91675","-1379.41199","-787.46338","730.99249","-1465.72644","-425.50848","780.59253","-1399.13306","","","","","","","-400.05496","381.00961","-1588.65247","-677.49774","406.06009","-1339.32849","","","","-673.52411","74.84055","-1277.07629",NA,"P3",31,10
26,0.25,"-336.55734","1260.61938","-1451.69116","","","","","","","","","","","","","-699.75470","1268.99207","-1502.26868","-531.45374","1141.29199","-1364.72729","","","","-278.32437","924.05505","-1459.44971","","","","-312.64508","736.50635","-1371.56226","-789.25763","729.28015","-1462.41479","-427.24136","780.98926","-1390.35156","","","","","","","-401.51233","379.25546","-1585.14551","-678.38586","405.07074","-1334.38953","","","","-674.02405","74.61680","-1273.44250",NA,"P3",31,10
27,0.26,"-339.66183","1260.98376","-1444.09937","","","","","","","","","","","","","-701.91138","1270.13782","-1498.80908","-534.13513","1141.81592","-1358.61011","","","","-281.62738","925.46826","-1453.31689","","","","-316.55029","736.14673","-1367.37659","-791.71466","729.26416","-1449.22400","-430.09842","780.29742","-1380.91943","","","","","","","-403.04105","379.62207","-1577.89429","-680.56555","405.93167","-1328.58264","","","","-674.50122","73.84445","-1271.99097",NA,"P3",31,10
28,0.27,"-343.34375","1263.45471","-1440.21887","","","","","","","","","","","","","-705.16412","1269.28076","-1488.98633","-536.58466","1142.33508","-1350.26758","","","","-283.90173","925.56085","-1444.15735","","","","-318.74234","737.58142","-1357.28748","-793.02795","729.05530","-1448.22388","-433.72678","781.61206","-1372.22595","","","","","","","-404.89703","382.08017","-1564.87695","-681.75873","406.59131","-1319.48010","","","","-675.30377","72.21469","-1268.09668",NA,"P3",31,10
29,0.28,"-345.00940","1263.49487","-1430.95862","","","","","","","","","","","","","-708.19342","1269.64221","-1481.49988","-539.61810","1144.93542","-1338.69495","","","","-286.43521","925.69952","-1434.29126","","","","-321.38885","738.23175","-1351.48242","-795.32928","731.45203","-1430.59863","-436.81509","782.05634","-1363.04114","","","","","","","-406.62531","380.84402","-1556.94287","-683.63605","408.38016","-1310.13574","","","","-676.43433","72.22830","-1265.40710",NA,"P3",31,10
30,0.29,"-348.64105","1264.64893","-1422.31055","","","","","","","","","","","","","-710.91022","1271.29150","-1476.65320","-542.81384","1147.24683","-1330.52869","","","","-288.92343","927.89520","-1427.73132","","","","-325.25482","740.58972","-1342.14307","-798.25916","733.98700","-1422.71484","-440.13193","782.57495","-1359.46082","","","","","","","-408.43018","382.68008","-1549.09070","-684.71094","409.40781","-1300.53247","","","","-677.41229","71.70954","-1264.68860",NA,"P3",31,10
31,0.3,"-352.31140","1266.80347","-1415.33252","","","","","","","","","","","","","-714.10193","1273.57324","-1471.75818","-546.89233","1149.01733","-1323.99890","","","","-291.38394","930.17645","-1420.87183","","","","-326.30344","741.57727","-1335.58167","-800.53558","734.90942","-1417.41797","-444.13214","784.82605","-1346.07202","","","","","","","-410.30472","381.36588","-1536.55957","-686.60132","410.24222","-1293.10400","","","","-678.62067","71.91904","-1261.39282",NA,"P3",31,10
32,0.31,"-354.26324","1267.61316","-1405.56604","","","","","","","","","","","","","-717.10272","1274.39050","-1463.42676","-549.77332","1150.40820","-1322.40820","","","","-294.93863","932.75989","-1413.73486","","","","-329.29840","743.88379","-1329.53271","-803.61066","736.79480","-1403.64233","-447.62555","785.86389","-1335.41223","","","","","","","-411.65002","382.64340","-1524.03589","-688.88300","410.42050","-1288.17175","","","","-679.40009","71.90610","-1260.01575",NA,"P3",31,10
33,0.32,"-357.52972","1271.03931","-1400.97375","","","","","","","","","","","","","-719.79907","1276.87451","-1458.40771","-552.78217","1153.21130","-1313.61157","","","","-297.61682","934.76093","-1405.47681","","","","-332.49197","746.28729","-1320.54541","-807.48608","738.20746","-1399.39844","-451.68124","787.12244","-1324.79871","","","","","","","-413.53235","384.12256","-1508.10010","-691.00098","410.44009","-1285.02173","","","","-679.81677","70.35889","-1258.27393",NA,"P3",31,10
34,0.33,"-361.11884","1273.41650","-1393.03003","","","","","","","","","","","","","-722.56763","1278.19897","-1450.49927","-556.11761","1157.10547","-1300.84985","","","","-299.69843","937.63879","-1398.87549","","","","-334.32266","749.05536","-1314.13257","-810.74457","740.97363","-1385.81921","-455.18436","789.31305","-1318.37024","","","","","","","-414.53461","382.84650","-1497.51526","-692.65704","411.03113","-1277.43640","","","","-680.43256","70.19528","-1257.14001",NA,"P3",31,10
35,0.34,"-364.27408","1275.26050","-1383.92993","","","","","","","","","","","","","-725.41772","1280.43408","-1444.19324","-559.70306","1160.99011","-1289.61694","","","","-303.11884","940.36713","-1391.15747","","","","-337.40146","751.59619","-1305.16101","-810.42755","745.08075","-1370.37708","-457.20093","791.12292","-1307.98999","","","","","","","-415.41599","382.28891","-1486.92261","-695.21777","410.96753","-1273.78296","","","","-680.63971","69.79100","-1257.93896",NA,"P3",31,10
36,0.35,"-366.21506","1277.89124","-1377.74036","","","","","","","","","","","","","-728.06641","1283.01184","-1438.84009","-562.19470","1163.66455","-1282.63159","","","","-305.39700","942.93610","-1383.25342","","","","-339.15717","752.95673","-1299.01099","-813.35681","748.98993","-1359.91199","-460.07275","793.06055","-1297.95679","","","","","","","-416.08035","383.83676","-1470.38159","-696.80988","411.83160","-1269.93799","","","","-681.10071","69.91314","-1256.20422",NA,"P3",31,10
