"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","","","","","","","-231.25966","958.05347","-1729.32813","","","","","","","-722.15265","777.08795","-1649.98352","","","","","","","","","","","","","-624.79297","390.27396","-1721.07971","","","","","","",NA,"P3",29,3
2,0.01,"","","","","","","","","","","","","","","","","","","","","","","","","-230.29007","957.16541","-1726.64673","","","","","","","-721.88538","777.30780","-1648.86926","","","","","","","","","","","","","-624.28552","390.12436","-1716.77454","","","","","","",NA,"P3",29,3
3,0.02,"","","","","","","","","","","","","","","","","","","","","","","","","-229.61330","957.41150","-1725.64001","","","","","","","-721.60706","777.56635","-1647.71619","","","","","","","","","","","","","-622.95251","388.42337","-1718.26160","","","","","","",NA,"P3",29,3
4,0.03,"","","","","","","","","","","","","","","","","","","","","","","","","-228.98128","957.64679","-1724.67993","","","","","","","-721.34961","777.76025","-1646.63879","","","","","","","","","","","","","-623.05896","388.20056","-1712.59973","","","","","","",NA,"P3",29,3
5,0.04,"","","","","","","","","","","","","","","","","","","","","","","","","-228.35341","957.88708","-1723.70190","","","","","","","-721.10516","777.92474","-1645.61108","","","","","","","","","","","","","-621.89844","389.36432","-1707.37195","","","","","","",NA,"P3",29,3
6,0.05,"","","","","","","","","","","","","","","","","","","","","","","","","-228.29344","957.96393","-1723.26819","","","","","","","-720.89050","778.04871","-1644.70361","","","","","","","","","","","","","-620.00757","387.76141","-1700.11658","","","","","","",NA,"P3",29,3
7,0.06,"","","","","","","","","","","","","","","","","","","","","","","","","-226.22113","956.55438","-1719.47021","","","","","","","-720.66888","778.19586","-1643.77100","","","","","","","","","","","","","-619.14703","387.19104","-1694.03418","","","","","","",NA,"P3",29,3
8,0.07,"","","","","","","","","","","","","","","","","","","","","","","","","-224.07138","956.00201","-1717.17908","","","","","","","-720.46228","778.32300","-1642.89905","","","","","","","","","","","","","-619.12201","387.61008","-1689.78125","","","","","","",NA,"P3",29,3
9,0.08,"","","","","","","","","","","","","","","","","","","","","","","","","-223.11768","955.42737","-1714.94287","","","","","","","-720.31433","778.36420","-1642.26270","","","","","","","","","","","","","-617.82520","385.81818","-1685.29944","","","","","","",NA,"P3",29,3
10,0.09,"","","","","","","","","","","","","","","","","","","","","","","","","-222.50201","955.59674","-1714.24658","","","","-366.44955","806.64771","-1648.33325","-720.12469","778.47900","-1641.46179","","","","","","","","","","","","","-616.62183","386.85550","-1673.76025","","","","","","",NA,"P3",29,4
11,0.1,"","","","","","","","","","","","","","","","","","","","","","","","","-221.43907","955.08929","-1712.50000","","","","-278.50549","771.61566","-1628.03809","-719.88904","776.63446","-1642.08301","","","","","","","","","","","","","-615.53424","387.04462","-1668.64075","","","","","","",NA,"P3",29,4
12,0.11,"","","","","","","","","","","","","","","","","","","","","","","","","-221.12285","955.16589","-1712.51575","","","","-277.48260","770.44348","-1629.57715","-720.29364","776.42462","-1639.90967","","","","","","","","","","","","","-614.99323","383.90222","-1667.41907","","","","","","",NA,"P3",29,4
13,0.12,"","","","","","","","","","","","","","","","","","","","","","","","","-220.09920","954.67865","-1710.49780","","","","-276.02005","767.38202","-1629.59644","-720.08331","776.45331","-1638.99902","","","","","","","","","","","","","-615.10333","383.58044","-1661.79907","","","","","","",NA,"P3",29,4
14,0.13,"","","","","","","","","","","","","","","","","","","","","","","","","-219.19087","953.17908","-1706.52771","","","","-275.21707","768.24042","-1625.05164","-719.97632","775.21411","-1637.15588","","","","","","","","","","","","","-614.19269","385.38248","-1653.70776","","","","","","",NA,"P3",29,4
15,0.14,"","","","","","","","","","","","","","","","","","","","","","","","","-217.08102","950.66656","-1701.57666","","","","-273.80176","768.54498","-1621.85645","-719.73297","774.34943","-1635.16846","","","","","","","","","","","","","-613.47858","386.50055","-1643.08179","","","","","","",NA,"P3",29,4
16,0.15,"","","","","","","","","","","","","","","","","","","","","","","","","-216.08672","950.73029","-1700.70032","","","","-272.97479","766.49927","-1620.71899","-719.32129","774.36914","-1633.37805","","","","","","","","","","","","","-613.31519","387.58350","-1635.30176","","","","","","",NA,"P3",29,4
17,0.16,"","","","","","","","","","","","","","","","","","","","","","","","","-215.10493","950.28210","-1698.64648","","","","-272.66498","765.87115","-1618.60168","-718.97308","774.44708","-1631.87671","","","","","","","","","","","","","-613.16010","387.71405","-1631.01355","","","","","","",NA,"P3",29,4
18,0.17,"","","","","","","","","","","","","","","","","","","","","","","","","-214.62164","950.55670","-1697.55994","","","","-271.79321","764.77405","-1620.24182","-718.90900","774.33466","-1631.56970","","","","","","","","","","","","","-614.11725","389.98810","-1622.34155","","","","","","",NA,"P3",29,4
19,0.18,"","","","","","","","","","","","","","","","","","","","","","","","","-214.58180","950.61383","-1696.73743","","","","-271.44614","762.36163","-1619.14795","-718.85895","774.34082","-1631.35229","","","","","","","","","","","","","-612.84766","391.64374","-1616.74988","","","","","","",NA,"P3",29,4
20,0.19,"","","","","","","","","","","","","","","","","","","","","","","","","-213.77441","949.88898","-1693.09192","","","","-271.65720","762.00067","-1616.01221","-718.75317","774.37225","-1630.89783","","","","","","","","","","","","","-611.59723","394.13464","-1607.28870","","","","","","",NA,"P3",29,4
21,0.2,"","","","","","","","","","","","","","","","","","","","","","","","","-213.00243","949.28540","-1689.47437","","","","-270.50296","761.26965","-1616.05737","-718.31464","773.35956","-1631.98901","","","","","","","","","","","","","-611.69366","397.49948","-1595.49438","","","","","","",NA,"P3",29,4
22,0.21,"","","","","","","","","","","","","","","","","","","","","","","","","-212.27663","949.22815","-1686.71204","","","","-269.87909","761.18372","-1612.18481","-718.39392","772.61804","-1630.99890","","","","","","","","","","","","","-611.78412","399.43008","-1590.49622","","","","","","",NA,"P3",29,4
23,0.22,"","","","","","","","","","","","","","","","","","","","","","","","","-211.67125","948.35004","-1682.56055","","","","-269.29584","761.92731","-1608.89160","-718.36719","772.56818","-1630.87024","-364.39359","802.73346","-1622.92798","","","","","","","","","","-612.49493","403.93735","-1581.86707","","","","","","",NA,"P3",29,5
24,0.23,"","","","","","","","","","","","","","","","","","","","","","","","","-211.26018","948.81256","-1680.75732","","","","-268.97253","761.93884","-1605.39587","-718.35687","772.53931","-1630.81836","-365.02142","802.95844","-1620.60681","","","","","","","","","","-611.84521","405.16049","-1579.11450","","","","","","",NA,"P3",29,5
25,0.24,"","","","","","","","","","","","","","","","","","","","","","","","","-211.61084","950.10968","-1680.87488","","","","-267.58936","759.61005","-1607.57495","-718.77234","772.37421","-1628.70935","-365.59958","801.54175","-1618.12976","","","","","","","","","","-612.90552","410.32077","-1564.95068","","","","","","",NA,"P3",29,5
26,0.25,"","","","","","","","","","","","","","","","","","","","","","","","","-210.94493","949.98132","-1677.97998","","","","-267.32486","759.92499","-1606.07715","-719.27185","772.12488","-1626.94788","-366.71866","801.94299","-1613.65051","","","","","","","","","","-612.90527","413.63919","-1558.47095","","","","","","",NA,"P3",29,5
27,0.26,"","","","","","","","","","","","","","","","","","","","","","","","","-209.81070","949.69232","-1673.67749","","","","-267.11758","760.10132","-1604.89319","-719.34021","771.97345","-1627.21021","-366.80515","801.72192","-1614.08301","","","","","","","","","","-613.78680","416.27005","-1549.76392","","","","","","",NA,"P3",29,5
28,0.27,"","","","","","","","","","","","","","","","","","","","","","","","","-209.47638","950.24548","-1671.52930","","","","-267.52313","760.27362","-1602.27930","-719.47034","771.77899","-1627.73145","-367.56628","801.36243","-1610.37537","","","","","","","","","","-615.69318","420.14597","-1541.48657","","","","","","",NA,"P3",29,5
29,0.28,"","","","","","","","","","","","","","","","","","","","","","","","","-209.78423","950.66431","-1669.30518","","","","-268.25955","760.52417","-1597.82373","-720.13489","772.44220","-1625.09326","-368.34296","800.71564","-1606.70984","","","","","","","","","","-616.44037","420.07416","-1540.87756","","","","","","",NA,"P3",29,5
30,0.29,"","","","","","","","","","","","","","","","","","","","","","","","","-209.33917","950.93683","-1666.20764","","","","-268.17130","760.41132","-1597.29346","-720.38055","771.71649","-1624.32922","-368.26138","799.27844","-1607.01782","","","","","","","","","","-618.87799","423.81842","-1533.95020","","","","","","",NA,"P3",29,5
31,0.3,"","","","","","","","","","","","","","","","","","","","","","","","","-208.56871","949.39819","-1659.66833","","","","-268.01129","759.53815","-1596.01160","-721.03955","771.85858","-1621.92249","-369.16049","799.34296","-1602.20105","","","","","","","","","","-620.06720","424.56796","-1531.50293","","","","","","",NA,"P3",29,5
