"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","","","","","","","-193.65440","957.45361","-1583.08350","","","","-247.61719","765.22260","-1514.69006","-713.49976","770.11365","-1599.79297","-359.60620","809.16931","-1526.53894","","","","","","","","","","-638.74969","419.97995","-1494.14612","","","","-620.10077","102.11483","-1610.51196",NA,"P3",16,6
2,0.01,"","","","","","","","","","","","","","","","","","","","","","","","","-195.87044","957.31946","-1579.20886","","","","-249.64366","767.03125","-1507.84570","-715.12793","770.48383","-1596.78369","-360.61673","809.21637","-1522.82275","","","","","","","","","","-641.32281","421.51294","-1490.08704","","","","-624.03601","102.89374","-1600.25452",NA,"P3",16,6
3,0.02,"","","","","","","","","","","","","","","","","","","","","","","","","-196.29062","957.84351","-1576.24280","","","","-250.85695","766.90564","-1504.62268","-716.64758","771.39880","-1593.83496","-361.46249","807.53760","-1520.44299","","","","","","","","","","-644.17859","425.23560","-1480.47217","","","","-628.74487","99.67937","-1592.06421",NA,"P3",16,6
4,0.03,"","","","","","","","","","","","","","","","","","","","","","","","","-196.93742","958.04968","-1572.65308","","","","-251.48302","767.20770","-1503.48303","-717.98737","770.91791","-1592.24097","-362.19901","807.61713","-1518.26807","","","","","","","","","","-647.11731","424.17862","-1483.06628","","","","-635.64178","98.48266","-1580.81726",NA,"P3",16,6
5,0.04,"","","","","","","","","","","","","","","","","","","","","","","","","-197.48920","958.46265","-1569.73169","","","","-253.33952","767.53644","-1496.77661","-720.02222","770.55151","-1591.28882","-363.26953","807.29785","-1516.05688","","","","","","","","","","-651.67987","425.73993","-1480.19495","","","","-641.41577","98.54464","-1564.73401",NA,"P3",16,6
6,0.05,"","","","","","","","","","","","","","","","","","","","","","","","","-198.97682","959.03894","-1566.57397","","","","-254.35132","767.39008","-1494.12341","-722.26752","769.16980","-1590.85657","-365.24268","806.82928","-1512.28943","","","","","","","","","","-653.72510","427.87231","-1474.78516","","","","-646.76929","96.49789","-1553.15442",NA,"P3",16,6
7,0.06,"","","","","","","","","","","","","","","","","","","","","","","","","-200.33014","959.19922","-1562.80957","","","","-255.94600","768.25757","-1488.15796","-724.67096","769.53021","-1586.04834","-366.77573","806.49603","-1511.34277","","","","","","","","","","-656.27972","429.93646","-1467.76270","","","","-654.10529","96.85687","-1544.28406",NA,"P3",16,6
8,0.07,"","","","","","","","","","","","","","","","","","","","","","","","","-201.20445","957.89813","-1556.79419","","","","-256.48267","768.16919","-1486.36243","-725.09155","768.52875","-1587.62744","-368.10577","804.53308","-1509.94885","","","","","","","","","","-659.45636","428.67429","-1469.44299","","","","-659.40149","94.93051","-1532.63110",NA,"P3",16,6
9,0.08,"","","","","","","","","","","","","","","","","","","","","","","","","-202.24890","957.83728","-1553.02478","","","","-258.01962","767.65723","-1481.71338","-727.46161","770.46954","-1578.53674","-369.78644","803.04858","-1506.90845","","","","","","","","","","-662.92926","427.85138","-1469.01660","","","","-665.73517","93.00857","-1522.94336",NA,"P3",16,6
10,0.09,"","","","","","","","","","","","","","","","","","","","","","","","","-203.84827","957.86664","-1549.17517","","","","-259.20822","765.79413","-1479.63940","-729.17078","769.18781","-1578.36060","-371.98761","803.05597","-1503.82800","","","","","","","","","","-666.03369","429.33408","-1459.52087","","","","-672.90210","94.22129","-1509.89185",NA,"P3",16,6
11,0.1,"","","","","","","","","","","","","","","","","","","","","","","","","-205.51590","958.18860","-1545.75696","","","","-260.99500","765.71423","-1474.69495","-730.84064","767.77917","-1577.59241","-373.06705","802.17767","-1502.52429","","","","","","","","","","-667.44464","428.61447","-1457.53552","","","","-679.59784","93.93700","-1493.15466",NA,"P3",16,6
12,0.11,"","","","","","","","","","","","","","","","","","","","","","","","","-206.98973","956.36377","-1538.80176","","","","-262.21973","765.30536","-1471.97864","-734.41138","768.11267","-1571.90759","-374.60367","801.74158","-1497.06885","","","","","","","","","","-671.08722","430.16107","-1451.12415","","","","-686.85303","90.93009","-1487.02136",NA,"P3",16,6
13,0.12,"","","","-627.03381","1290.62097","-1625.65845","","","","","","","","","","","","","","","","","","","-208.86420","956.33807","-1534.98438","","","","-264.08163","765.15216","-1466.51416","-736.22876","767.15765","-1573.69568","-376.56842","802.46417","-1489.02795","","","","","","","","","","-674.49500","429.17654","-1455.31384","","","","-691.75092","90.11833","-1474.31189",NA,"P3",16,7
14,0.13,"","","","-629.18304","1290.49158","-1622.48755","","","","","","","","","","","","","","","","","","","-210.83839","956.38354","-1531.19568","","","","-266.52481","764.76398","-1459.54187","-738.42743","766.39789","-1566.75635","-377.41879","800.85815","-1488.76025","","","","","","","","","","-677.19458","429.15015","-1448.37854","","","","-698.59973","87.91282","-1467.84692",NA,"P3",16,7
15,0.14,"","","","-631.04993","1289.64331","-1617.93921","","","","","","","","","","","","","","","","","","","-212.25677","955.66730","-1526.19812","","","","-267.17691","763.39050","-1458.24548","-740.56287","765.80499","-1559.61182","-379.26535","800.03290","-1483.44763","","","","","","","","","","-678.89655","428.44409","-1445.13721","","","","-705.97668","91.61793","-1447.21899",NA,"P3",16,7
16,0.15,"","","","-633.31104","1289.33081","-1614.16772","","","","","","","","","","","","","","","","","","","-214.84598","954.47638","-1519.71045","","","","-269.81339","763.48383","-1449.93713","-741.52484","764.24615","-1563.34167","-380.81894","800.22156","-1476.79138","","","","","","","","","","-682.27673","429.46786","-1437.50122","","","","-711.69470","90.69919","-1436.32861",NA,"P3",16,7
